smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2027414772.7,2848702.09589,-2028016592.08,-2023728195.24,-2029897711.37,-2029824067.75,-2024162930.49,4.0,8115103631120.0,0.250453720508,104,0.00391289118068,1.7334191682000001e-13,0.124994709051,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2036704895.07,2844683.64482,-2036272218.02,-2033846087.78,-2040429056.46,-2039950189.31,-2034065348.7,4.0,8092225039120.0,0.125226860254,91,0.00782621714084,1.7334191682000001e-13,0.250003306843,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2042014711.22,2533750.75679,-2041405599.11,-2039732179.08,-2045515467.59,-2045007796.55,-2039874382.85,4.0,6419892897550.0,0.125226860254,76,0.00391289118068,1.7334191682000001e-13,0.124994709051,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2042701858.02,2854955.57158,-2042686152.93,-2039388203.23,-2046046922.97,-2045703035.73,-2039722667.42,4.0,8150771315720.0,0.250453720508,114,0.00782621714084,1.7334191682000001e-13,0.250003306843,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2065922703.61,6509880.8835,-2066112255.89,-2057817281.61,-2073649021.05,-2072655571.32,-2058924462.7,4.0,42378549117300.0,0.125226860254,96,0.00391311892231,1.7334191682000001e-13,0.125001984106,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2067062276.37,5724734.48212,-2067054106.22,-2061356308.45,-2072784584.6,-2072534451.78,-2061601539.17,4.0,32772584890800.0,0.250453720508,119,0.00782621714084,1.7334191682000001e-13,0.250003306843,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2104494840.71,8164864.00573,-2105410490.6,-2095079561.2,-2112078820.44,-2111844555.23,-2095863216.34,4.0,66665004232100.0,0.250453720508,124,0.00391311892231,1.7334191682000001e-13,0.125001984106,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2150132297.65,6464625.62386,-2149918008.31,-2143083021.62,-2157610152.36,-2156926763.25,-2143637837.12,4.0,41791384456600.0,0.249546279492,108,0.00779765499392,1.7334191682000001e-13,0.249996693157,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2174728542.21,2718137.71166,-2174305024.79,-2172024972.1,-2178279147.16,-2177828845.35,-2172221163.46,4.0,7388272619530.0,0.249546279492,103,0.00389871403872,1.7334191682000001e-13,0.124994709051,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2182400809.94,1436494.66983,-2181805811.49,-2181469848.81,-2184521767.98,-2184150709.33,-2181483908.38,4.0,2063516936460.0,0.249546279492,113,0.00779786128164,1.7334191682000001e-13,0.250003306843,0.124990974078
