npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability
894.0,-541.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1430207579.28,20222117.6091,1430207579.28,1444506775.78,1415908382.79,1417338302.44,1443076856.13,2.0,408934040596000.0,40,0.125,0.25,0.00781242372286,0.249997559131,9.0090706851e-14
894.0,-718.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1403999152.98,5004545.66141,1403999152.98,1407537901.15,1400460404.81,1400814279.62,1407184026.34,2.0,25045477277200.0,59,0.25,0.25,0.0156251864552,0.250002983284,9.0090706851e-14
894.0,-365.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1397186675.11,954618.710841,1397186675.11,1397861692.47,1396511657.75,1396579159.48,1397794190.74,2.0,911296883088.0,95,0.125,0.25,0.00781257627714,0.250002440869,9.0090706851e-14
894.0,-894.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1392290031.7,9463571.32246,1392290031.7,1398981787.16,1385598276.25,1386267451.79,1398312611.61,2.0,89559182175300.0,78,0.25,0.124645892351,0.00779044433302,0.250002440869,9.0090706851e-14
894.0,-541.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1376281478.55,4603510.13761,1376281478.55,1379536651.79,1373026305.32,1373351822.64,1379211134.47,2.0,21192305587100.0,114,0.25,0.25,0.00781257627714,0.125001220434,9.0090706851e-14
894.0,-541.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1335641626.4,18861005.5877,1335641626.4,1348978371.35,1322304881.45,1323638555.95,1347644696.86,2.0,355737531781000.0,65,0.125,0.25,0.00781259322762,0.250002983284,9.0090706851e-14
894.0,-894.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1334078560.52,796071.152933,1334078560.52,1334641467.84,1333515653.21,1333571943.95,1334585177.1,2.0,633729280532.0,29,0.25,0.124645892351,0.00779029221089,0.249997559131,9.0090706851e-14
894.0,-365.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1315998998.34,8731874.66497,1315998998.34,1322173366.13,1309824630.55,1310442067.33,1321555929.35,2.0,76245635164700.0,120,0.125,0.25,0.00390628813857,0.125001220434,9.0090706851e-14
894.0,-718.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1313471253.43,1499997.8012,1313471253.43,1314531912.05,1312410594.81,1312516660.68,1314425846.19,2.0,2249993403610.0,84,0.25,0.25,0.0156251525543,0.250002440869,9.0090706851e-14
894.0,-894.0,-13077.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1290443373.9,1980208.16876,1290443373.9,1291843592.52,1289043155.28,1289183177.14,1291703570.66,2.0,3921224391620.0,103,0.25,0.124645892351,0.00389522216651,0.125001220434,9.0090706851e-14
894.0,-894.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1289877735.1,11866041.6731,1289877735.1,1298268293.64,1281487176.57,1282326232.42,1297429237.78,2.0,140802944988000.0,4,0.25,0.124645892351,0.00389505314193,0.124995796282,9.0090706851e-14
894.0,-718.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1249810551.61,1043874.70329,1249810551.61,1250548682.49,1249072420.73,1249146233.81,1250474869.4,2.0,1089674396170.0,10,0.125,0.25,0.00390611863381,0.124995796282,9.0090706851e-14
894.0,-718.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1245258241.85,1528058.26141,1245258241.85,1246338742.21,1244177741.49,1244285791.53,1246230692.17,2.0,2334962050250.0,35,0.125,0.25,0.00781242372286,0.249997559131,9.0090706851e-14
894.0,-894.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1231159317.66,509042.978821,1231159317.66,1231519265.41,1230799369.92,1230835364.69,1231483270.63,2.0,259124754287.0,54,0.25,0.124645892351,0.00779046123547,0.250002983284,9.0090706851e-14
894.0,-541.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1228430153.09,2089744.36558,1228430153.09,1229907825.51,1226952480.68,1227100247.92,1229760058.26,2.0,4367031513490.0,90,0.125,0.25,0.00781257627714,0.250002440869,9.0090706851e-14
894.0,-718.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1214130617.21,374646.072104,1214130617.21,1214395531.99,1213865702.43,1213892193.91,1214369040.51,2.0,140359679343.0,109,0.25,0.25,0.00781257627714,0.125001220434,9.0090706851e-14
894.0,-718.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1179060595.18,6559227.10209,1179060595.18,1183698669.15,1174422521.22,1174886328.62,1183234861.75,2.0,43023460176800.0,60,0.125,0.25,0.00781259322762,0.250002983284,9.0090706851e-14
894.0,-541.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1159061522.12,3750861.50643,1159061522.12,1161713781.73,1156409262.52,1156674488.48,1161448555.77,2.0,14068962040400.0,115,0.125,0.25,0.00390628813857,0.125001220434,9.0090706851e-14
894.0,-894.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1139226475.79,6641667.46969,1139226475.79,1143922843.9,1134530107.69,1134999744.5,1143453207.09,2.0,44111746778000.0,79,0.25,0.124645892351,0.00779044433302,0.250002440869,9.0090706851e-14
894.0,-894.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1076190258.65,6946713.64634,1076190258.65,1081102326.98,1071278190.33,1071769397.16,1080611120.15,2.0,48256830484200.0,5,0.125,0.124645892351,0.00194752657096,0.124995796282,9.0090706851e-14
894.0,-894.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,230453.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1074216597.38,5361828.93986,1074216597.38,1078007982.98,1070425211.78,1070804350.34,1077628844.42,2.0,28749209580300.0,30,0.125,0.124645892351,0.00389514610545,0.249997559131,9.0090706851e-14
894.0,-718.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1057789222.89,12747677.1323,1057789222.89,1066803191.84,1048775253.95,1049676650.84,1065901794.94,2.0,162503272269000.0,85,0.125,0.25,0.00781257627714,0.250002440869,9.0090706851e-14
894.0,-894.0,-8813.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1047918690.5,1102390.42172,1047918690.5,1048698198.24,1047139182.76,1047217133.53,1048620247.47,2.0,1215264641910.0,104,0.25,0.124645892351,0.00389522216651,0.125001220434,9.0090706851e-14
894.0,-894.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,460907.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,992177204.968,13218542.0225,992177204.968,1001524125.67,982830284.266,983764976.337,1000589433.6,2.0,174729853200000.0,55,0.125,0.124645892351,0.00389523061774,0.250002983284,9.0090706851e-14
894.0,-718.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,971993434.558,17377047.6807,971993434.558,984280862.81,959706006.306,960934749.132,983052119.985,2.0,301961786098000.0,110,0.125,0.25,0.00390628813857,0.125001220434,9.0090706851e-14
894.0,-894.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,691360.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,890350862.861,24711931.8494,890350862.861,907824837.448,872876888.274,874624285.733,906077439.989,2.0,610679575729000.0,80,0.125,0.124645892351,0.00389522216651,0.250002440869,9.0090706851e-14
894.0,-894.0,-4549.0,-1e+200,-1e+200,-1e+200,-1e+200,921813.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,798550853.84,3346444.38023,798550853.84,800917147.355,796184560.326,796421189.678,800680518.003,2.0,11198689990000.0,105,0.125,0.124645892351,0.00194761108325,0.125001220434,9.0090706851e-14
