smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2753116238.49,28109535.3019,-2759887665.55,-2691680443.91,-2787061725.55,-2780990954.1,-2707398473.67,10.0,790145974886000.0,91,0.125226860254,0.250000425161,2.4762864257000002e-14,0.249981948155,0.00782612693135
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2779874326.61,32341883.5209,-2778225958.86,-2742754954.52,-2839623445.79,-2828861226.47,-2744001067.49,10.0,1045997429680000.0,125,0.125226860254,0.12500016534,2.4762864257000002e-14,0.124990974078,0.00195653099342
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2780579362.23,14339491.6811,-2782606738.34,-2761224159.33,-2803270384.06,-2798867433.74,-2761679076.09,10.0,205621021672000.0,41,0.125226860254,0.250000425161,2.4762864257000002e-14,0.250018051845,0.0078272572212
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2789762946.66,42105704.6458,-2783322771.2,-2727164801.9,-2850177007.26,-2844993931.77,-2739596220.51,10.0,1772890363720000.0,116,0.125226860254,0.250000425161,2.4762864257000002e-14,0.124990974078,0.00391306346567
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2866431031.63,4245452.7576,-2865008464.99,-2861687229.68,-2874290377.3,-2873048475.33,-2861871643.88,10.0,18023869117000.0,16,0.125226860254,0.250000425161,2.4762864257000002e-14,0.124990974078,0.00391306346567
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2924150317.15,35708638.7145,-2942037103.71,-2857541786.78,-2953173629.71,-2953012811.55,-2865243079.15,10.0,1275106878840000.0,99,0.250453720508,0.12500016534,2.4762864257000002e-14,0.249981948155,0.0078261239737
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2927588047.08,40429896.8177,-2915438855.1,-2876406571.61,-2980980953.66,-2977278514.58,-2882222863.91,10.0,1634576556690000.0,124,0.250453720508,0.12500016534,2.4762864257000002e-14,0.124990974078,0.00391306198685
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3041370948.03,25659769.5439,-3049501581.79,-3004919720.43,-3073688657.71,-3069949880.99,-3008927693.3,10.0,658423773048000.0,98,0.249546279492,0.12500016534,2.4762864257000002e-14,0.249981948155,0.00779776845205
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3058151330.27,36298172.836,-3056387497.7,-2984386757.19,-3104136285.59,-3102810095.85,-3003554182.59,10.0,1317557351240000.0,123,0.249546279492,0.12500016534,2.4762864257000002e-14,0.124990974078,0.00389888422603
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3070258454.89,27137178.4388,-3071564805.55,-3039305853.14,-3111882689.94,-3106356963.69,-3039387960.81,10.0,736426453619000.0,73,0.249546279492,0.12500016534,2.4762864257000002e-14,0.250018051845,0.00779889464623
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3180649992.04,40733442.5673,-3170060199.29,-3118765908.61,-3249466319.64,-3243885124.04,-3133611521.13,10.0,1659213343380000.0,97,0.249546279492,0.12500016534,2.4762864257000002e-14,0.249981948155,0.00779776845205
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3196376621.77,24760216.8157,-3195125020.72,-3154831968.98,-3234119691.32,-3231557204.99,-3159098071.19,10.0,613068336760000.0,72,0.249546279492,0.12500016534,2.4762864257000002e-14,0.250018051845,0.00779889464623
