smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1200.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1521696511.23,70831526.4205,-1509198217.51,-1416973829.51,-1654963202.87,-1631151930.83,-1434107059.92,10.0,5017105135060000.0,6.6445189699799995e-15,0.000771605877516,0.0555555555556,0.0555555555556,0.250000304315,31
1200.0,-185.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1527964419.01,58570538.8646,-1527889512.22,-1449146102.46,-1633880800.69,-1619072549.47,-1458764223.45,10.0,3430508022890000.0,6.6445189699799995e-15,0.00308642351006,0.111111111111,0.111111111111,0.250000304315,139
1200.0,-485.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1528642121.19,40088209.0012,-1519822444.71,-1472615370.9,-1601186654.14,-1598771924.62,-1486676702.65,10.0,1607064500920000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,166
1200.0,-585.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1550380672.68,45454782.9403,-1551913878.97,-1460785008.83,-1620820517.0,-1610279586.76,-1486359104.54,10.0,2066137292150000.0,6.6445189699799995e-15,0.00308641599611,0.111111111111,0.111111111111,0.249999695685,165
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1588957430.07,26100608.4791,-1589899155.29,-1554408706.18,-1625712179.87,-1622724863.79,-1556445966.63,10.0,681241762980000.0,6.6445189699799995e-15,0.00154320340619,0.111111111111,0.111111111111,0.124999475902,102
1200.0,-685.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1591241175.51,71815164.5558,-1577363303.3,-1483066774.82,-1691389875.72,-1688544475.79,-1502191835.41,10.0,5157417860170000.0,6.6445189699799995e-15,0.00308642351006,0.111111111111,0.111111111111,0.250000304315,84
1200.0,-385.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1608945953.82,73869669.7091,-1604919155.86,-1522496878.15,-1729309022.77,-1711120996.87,-1525473791.43,10.0,5456728102940000.0,6.6445189699799995e-15,0.000771605877516,0.111111111111,0.0555555555556,0.125000152158,47
1200.0,-685.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1609540735.77,66684659.6512,-1612009107.18,-1474286462.75,-1690381379.09,-1685376668.24,-1508250741.97,10.0,4446843832800000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,124
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1610335296.56,48959187.9064,-1602186431.36,-1533166504.99,-1715411426.65,-1686242646.79,-1550946223.4,10.0,2397002080460000.0,6.6445189699799995e-15,0.00154320799805,0.0555555555556,0.111111111111,0.249999695685,111
1200.0,-385.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1613147626.01,80623758.2442,-1628348951.62,-1501555002.89,-1725208501.25,-1713886522.62,-1503486436.37,10.0,6500190393420000.0,6.6445189699799995e-15,0.00308642434495,0.111111111111,0.111111111111,0.250000371941,177
1200.0,-85.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1615176291.78,61898407.2548,-1610620918.28,-1523866649.76,-1705565829.13,-1704160846.31,-1528627555.51,10.0,3831412820680000.0,6.6445189699799995e-15,0.00154321217247,0.0555555555556,0.111111111111,0.250000371941,230
