npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,84828079.9529,580096.010164,85003250.7891,85285435.0463,84020383.1871,84136597.3305,85274323.4047,4.0,336511381008.0,114,0.125026522385,1.04066742269e-12,0.250009196248,0.250666666667,0.00783528361303
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,76282842.1667,501313.168191,76249167.7078,76908276.8023,75724756.4488,75779927.7863,76832900.7896,4.0,251314892602.0,86,0.25,1.04066742269e-12,0.250009196248,0.125333333333,0.00783362148244
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,55555465.9631,462862.26750200003,55492978.5466,56126695.8103,55109210.9488,55131683.1396,56066731.1696,4.0,214241478678.0,119,0.125026522385,1.04066742269e-12,0.250009196248,0.250666666667,0.00783528361303
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,46714167.6289,182495.594438,46696902.6181,46953071.8911,46509793.3881,46535551.3121,46916954.9607,4.0,33304641989.3,91,0.25,1.04066742269e-12,0.250009196248,0.125333333333,0.00783362148244
522.0,-226.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,25933945.1809,600193.056197,25925755.8115,26652638.5253,25231630.5752,25307528.0149,26571827.464,4.0,360231704708.0,124,0.125026522385,1.04066742269e-12,0.125004598124,0.250666666667,0.00391764180651
522.0,-507.0,-5674.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,16922817.2685,590973.0641689999,16826887.2225,17617190.6037,16420304.0253,16423715.2937,17556221.3076,4.0,349249162573.0,96,0.25,1.04066742269e-12,0.125004598124,0.125333333333,0.00391681074122
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,15279524.5834,555040.272676,15347451.4165,15878883.8467,14544311.6542,14651701.0078,15812250.5929,4.0,308069704293.0,103,0.125026522385,1.04066742269e-12,0.12498620562799999,0.24933333333299998,0.0038962299318499997
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,3810451.1836300003,241081.427403,3846686.71014,4063152.56234,3485278.7519099996,3534583.7302,4035588.89995,4.0,58120254638.7,108,0.125026522385,1.04066742269e-12,0.249990803752,0.24933333333299998,0.00779303321812
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,-25843900.7822,451471.11275100004,-25729745.5999,-25461801.9403,-26454309.9888,-26373042.2698,-25474576.5499,4.0,203826165648.0,113,0.125026522385,1.04066742269e-12,0.250009196248,0.24933333333299998,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,203895.0,ref,prairie_island,minnesota,covid,-55847864.0589,628310.559512,-55711529.1388,-55251960.8792,-56716437.0789,-56586275.6083,-55300321.3978,4.0,394774159194.0,118,0.125026522385,1.04066742269e-12,0.250009196248,0.24933333333299998,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,271860.0,ref,prairie_island,minnesota,covid,-86326031.1059,170724.785745,-86298548.3256,-86162129.8636,-86544897.9087,-86519152.3669,-86171385.7373,4.0,29146952467.6,123,0.125026522385,1.04066742269e-12,0.125004598124,0.24933333333299998,0.00389680328627
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,prairie_island,minnesota,covid,-96440204.7383,351214.233726,-96539141.9682,-95942491.7957,-96740043.2211,-96721934.1955,-96019963.1591,4.0,123351437972.0,102,0.125026522385,1.04066742269e-12,0.12498620562799999,0.24933333333299998,0.0038962299318499997
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67965.0,ref,prairie_island,minnesota,covid,-104909286.60700001,274584.134118,-104943217.72399999,-104557202.435,-105193508.544,-105170639.386,-104600430.264,4.0,75396446709.2,107,0.125026522385,1.04066742269e-12,0.249990803752,0.24933333333299998,0.00779303321812
522.0,-413.0,-3317.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,135930.0,ref,prairie_island,minnesota,covid,-134980100.368,442957.07145299995,-134890874.051,-134541696.44,-135596956.93,-135491092.965,-134594024.615,4.0,196210967150.0,112,0.125026522385,1.04066742269e-12,0.250009196248,0.24933333333299998,0.00779360657253
