npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171562724492.0,24012699.898,-171562724492.0,-171545744949.0,-171579704035.0,-171578006081.0,-171547442903.0,2.0,576609756390000.0,0.25,58,0.25,0.249994792742,1.17734560967e-13,0.0156246745464
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171585680833.0,9937093.13731,-171585680833.0,-171578654247.0,-171592707419.0,-171592004760.0,-171579356906.0,2.0,98745820019500.0,0.125,1,0.125,0.124993135887,1.17734560967e-13,0.00195301774823
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171599740452.0,59696089.5036,-171599740452.0,-171557528942.0,-171641951962.0,-171637730811.0,-171561750093.0,2.0,3563623102020000.0,0.125,115,0.125,0.250004260484,1.17734560967e-13,0.00390631657006
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171600451067.0,35883422.7683,-171600451067.0,-171575077655.0,-171625824479.0,-171623287137.0,-171577614997.0,2.0,1287620029570000.0,0.25,84,0.25,0.249994792742,1.17734560967e-13,0.0156246745464
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171611895619.0,106719525.647,-171611895619.0,-171536433519.0,-171687357719.0,-171679811509.0,-171543979729.0,2.0,1.13890571544e+16,0.25,94,0.25,0.250005207258,1.17734560967e-13,0.0156253254536
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171622917585.0,15799787.4619,-171622917585.0,-171611745448.0,-171634089722.0,-171632972508.0,-171612862662.0,2.0,249633283841000.0,0.25,32,0.25,0.249994792742,1.17734560967e-13,0.0156246745464
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171631369741.0,63133582.63,-171631369741.0,-171586727557.0,-171676011926.0,-171671547707.0,-171591191775.0,2.0,3985849255700000.0,0.25,89,0.25,0.250004260484,1.17734560967e-13,0.0156252662803
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171637172649.0,4599834.76773,-171637172649.0,-171633920075.0,-171640425223.0,-171640099966.0,-171634245332.0,2.0,21158479890400.0,0.125,6,0.125,0.249994792742,1.17734560967e-13,0.00390616863659
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171672919850.0,16418539.6432,-171672919850.0,-171661310189.0,-171684529511.0,-171683368545.0,-171662471155.0,2.0,269568444016000.0,0.25,37,0.25,0.250004260484,1.17734560967e-13,0.0156252662803
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171677684813.0,10042944.2956,-171677684813.0,-171670583379.0,-171684786247.0,-171684076103.0,-171671293522.0,2.0,100860730124000.0,0.25,63,0.25,0.250004260484,1.17734560967e-13,0.0156252662803
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171683803773.0,15839505.1537,-171683803773.0,-171672603552.0,-171695003995.0,-171693883973.0,-171673723574.0,2.0,250889923513000.0,0.25,68,0.25,0.250005207258,1.17734560967e-13,0.0156253254536
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171700945262.0,15019128.2831,-171700945262.0,-171690325135.0,-171711565389.0,-171710503377.0,-171691387147.0,2.0,225574214385000.0,0.125,11,0.125,0.250004260484,1.17734560967e-13,0.00390631657006
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171720129467.0,51653989.8971,-171720129467.0,-171683604580.0,-171756654353.0,-171753001865.0,-171687257069.0,2.0,2668134672290000.0,0.25,73,0.25,0.125002603629,1.17734560967e-13,0.00781266272682
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171725048316.0,121853579.989,-171725048316.0,-171638884823.0,-171811211808.0,-171802595459.0,-171647501172.0,2.0,1.48482949562e+16,0.25,99,0.25,0.125002603629,1.17734560967e-13,0.00781266272682
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171729542361.0,30999381.1495,-171729542361.0,-171707622489.0,-171751462234.0,-171749270247.0,-171709814476.0,2.0,960961631649000.0,0.125,125,0.125,0.125002603629,1.17734560967e-13,0.00195316568171
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-171736967313.0,22007704.6633,-171736967313.0,-171721405516.0,-171752529110.0,-171750972931.0,-171722961696.0,2.0,484339064549000.0,0.125,120,0.125,0.250005207258,1.17734560967e-13,0.00390633136341
