npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1585296382.66,904121.3943889999,1585488433.82,1586097607.93,1584111055.05,1584256586.29,1586067307.4,4.0,817435495791.0,8.47275451554e-14,0.25,0.015625149192700003,0.25,0.250002387083,87
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1549361050.55,3757203.2411800004,1549874754.75,1552891467.13,1544803225.58,1545253191.75,1552749723.47,4.0,14116576195500.0,8.47275451554e-14,0.25,0.0156251823466,0.25,0.250002917546,92
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1532078215.71,5007020.24804,1532290259.77,1536680450.56,1527051892.74,1527269661.13,1536589908.6,4.0,25070251764300.0,8.47275451554e-14,0.25,0.007812259634,0.25,0.124996154144,77
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1522847410.9,2227288.85264,1522354566.56,1525961914.82,1520718595.65,1520920950.6,1525463853.27,4.0,4960815633110.0,8.47275451554e-14,0.25,0.00781259117331,0.25,0.125001458773,97
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1502177320.45,8431459.911689999,1500458078.44,1513921867.55,1493871257.39,1494789575.52,1511972004.21,4.0,71089516242500.0,8.47275451554e-14,0.25,0.007812408826689999,0.125,0.249997082454,109
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1479273091.12,6830789.27141,1481467995.91,1484587617.64,1469568755.04,1471055041.29,1484418274.26,4.0,46659682070400.0,8.47275451554e-14,0.25,0.003906129817,0.125,0.124996154144,104
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1472998833.18,8697373.24546,1472360350.78,1483700197.25,1463574433.92,1464386095.45,1482505446.28,4.0,75644301370800.0,8.47275451554e-14,0.25,0.00781257459634,0.125,0.250002387083,114
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1440346544.01,4168521.6065300005,1442012113.97,1443208232.16,1434153715.95,1435310974.81,1443050315.26,4.0,17376572384100.0,8.47275451554e-14,0.12464589235099999,0.00779027735693,0.25,0.249997082454,81
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1436760749.86,9660134.653239999,1437935490.39,1446553623.61,1424618395.08,1425998791.69,1445878071.31,4.0,93318201518700.0,8.47275451554e-14,0.25,0.00781259117331,0.125,0.250002917546,119
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1413854524.25,6347031.29659,1414376851.73,1420479708.56,1406184684.99,1406968673.81,1420009116.23,4.0,40284806279800.0,8.47275451554e-14,0.12464589235099999,0.00779044265698,0.25,0.250002387083,86
