npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,707487.0,1e+200,-1e+200,ref,cooper,nebraska,covid,246440386.62,52297243.0687,263827793.224,288122425.019,169983535.012,183618773.44,284919630.553,4.0,2735001632590000.0,0.125,0.00391280129954,0.125210084034,0.249999116588,3.9741070500699994e-14,106
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,226308245.888,46848507.3662,234758894.048,272312643.827,163402551.628,172071331.59,268714252.761,4.0,2194782642440000.0,0.125,0.00779939730813,0.249579831933,0.250000883412,3.9741070500699994e-14,113
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,217341066.912,9048457.621,216040488.034,228921500.217,208361791.364,208957310.998,227545633.256,4.0,81874585319100.0,0.125,0.00391282895256,0.125210084034,0.250000883412,3.9741070500699994e-14,120
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,216757301.694,16599962.8929,223277607.458,228271864.229,192202127.63,196601361.228,227784814.089,4.0,275558768047000.0,0.25,0.00391282618726,0.125210084034,0.125000353365,3.9741070500699994e-14,71
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,206463008.495,9792945.54362,205483281.181,216932846.173,197952625.447,198001903.566,216295731.665,4.0,95901782420300.0,0.25,0.0155987946163,0.249579831933,0.250000883412,3.9741070500699994e-14,92
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,161328061.627,29611183.3684,163515049.475,194636583.644,123645563.913,128611558.379,190982781.887,4.0,876822180479000.0,0.25,0.00782565237452,0.250420168067,0.125000353365,3.9741070500699994e-14,99
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,120281483.823,16594775.3325,123697613.119,136481291.025,97249418.0314,100882749.547,134897637.086,4.0,275386568336000.0,0.125,0.00779939730813,0.249579831933,0.250000883412,3.9741070500699994e-14,112
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,103971838.826,11681561.5001,106179841.356,115592634.464,87935038.1268,90383145.6116,114469328.497,4.0,136458879082000.0,0.25,0.00782565790513,0.125210084034,0.250000883412,3.9741070500699994e-14,91
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,77313264.9844,37579540.7414,73938306.8513,119442886.914,41933559.321,43079598.5669,116271872.788,4.0,1412221882340000.0,0.125,0.00782565790513,0.250420168067,0.250000883412,3.9741070500699994e-14,119
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,66662904.4061,14500754.6188,69169422.4612,79789305.7696,48523466.9323,50473528.1845,79343155.3505,4.0,210271884513000.0,0.25,0.00779939179609,0.249579831933,0.125000353365,3.9741070500699994e-14,98
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1414973.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-35848713.8309,13091305.6655,-37560272.2337,-18312676.2571,-49961634.5992,-48235629.5931,-21065616.3048,4.0,171382284029000.0,0.125,0.00391282895256,0.125210084034,0.250000883412,3.9741070500699994e-14,111
769.0,-457.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-67161488.3157,26018669.7406,-65784162.8544,-37265029.5759,-99812597.9783,-95577985.2286,-40673247.0489,4.0,676971175070000.0,0.125,0.00779939730813,0.249579831933,0.250000883412,3.9741070500699994e-14,118
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-68074601.6189,16218481.1125,-68080253.3749,-51367159.6919,-84770740.034,-83879990.2743,-52261300.5052,4.0,263039129596000.0,0.25,0.00779939179609,0.249579831933,0.125000353365,3.9741070500699994e-14,97
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-88767399.4855,42107098.849,-90049520.5303,-48576337.448,-126394219.434,-126012244.552,-49727584.9568,4.0,1773007773480000.0,0.125,0.00195641309363,0.125210084034,0.125000353365,3.9741070500699994e-14,125
769.0,-605.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2122460.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-176415541.392,8233909.37663,-173536269.49,-170163993.158,-188425633.429,-186390297.333,-170471766.113,4.0,67797263622600.0,0.125,0.00779939730813,0.249579831933,0.250000883412,3.9741070500699994e-14,117
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2829946.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-187400039.153,9565880.98542,-184993936.875,-179609339.414,-200002943.449,-198450432.962,-179718188.534,4.0,91506079027100.0,0.125,0.00391282618726,0.250420168067,0.125000353365,3.9741070500699994e-14,124
