smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1981041041.59,63828810.3755,-1981299869.22,-1877890454.03,-2075662213.25,-2066050656.85,-1896678947.04,10.0,4074117033950000.0,0.249981948155,2.4762864257000002e-14,0.00782610031248,81,0.249999574839,0.125226860254
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1982972072.92,36833982.9119,-1976482173.51,-1939312315.15,-2034222607.6,-2033937132.79,-1940204199.3,10.0,1356742297150000.0,0.250018051845,2.4762864257000002e-14,0.00779889464623,48,0.12500016534,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1987930328.54,46651288.2306,-1979486914.03,-1913188775.21,-2057471678.37,-2051463192.75,-1926144001.39,10.0,2176342693570000.0,0.124990974078,2.4762864257000002e-14,0.00391305015624,110,0.249999574839,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2020688017.33,45033411.2287,-2018991916.62,-1946967368.01,-2083918322.38,-2077372255.93,-1961537666.35,10.0,2028008126900000.0,0.249981948155,2.4762864257000002e-14,0.015652259778,89,0.250000519641,0.250453720508
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2031844485.07,24174405.953,-2026835026.35,-1998900705.99,-2065055560.29,-2062861405.23,-2000129235.96,10.0,584401903179000.0,0.124990974078,2.4762864257000002e-14,0.00389885770361,103,0.124999315018,0.249546279492
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2065685667.24,53404772.1863,-2052299509.96,-1997957578.07,-2150119705.07,-2142748682.21,-2004829081.4,10.0,2852069692270000.0,0.250018051845,2.4762864257000002e-14,0.0155977951872,68,0.250000425161,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2112328166.69,58228811.094,-2120561214.36,-2025878646.31,-2190580107.73,-2182601601.24,-2029278735.94,10.0,3390594441420000.0,0.250018051845,2.4762864257000002e-14,0.00779889464623,47,0.12500016534,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2122320057.25,48712296.7502,-2117833468.08,-2067335453.82,-2217884662.8,-2194557635.83,-2069595536.91,10.0,2372887854680000.0,0.124990974078,2.4762864257000002e-14,0.00782610031248,109,0.249999574839,0.250453720508
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2145841232.51,32634960.0645,-2159369658.32,-2081061137.5,-2180957030.4,-2177082721.56,-2096398314.12,10.0,1065040618410000.0,0.124990974078,2.4762864257000002e-14,0.00389885770361,102,0.124999315018,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2195516520.72,35523175.3148,-2192628564.79,-2135914197.22,-2253866345.44,-2242350474.89,-2150396746.41,10.0,1261895984440000.0,0.249981948155,2.4762864257000002e-14,0.0155955486918,88,0.250000519641,0.249546279492
