npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,274636866.391,803102.9055,274636866.391,275204745.901,274068986.88,274125774.831,275147957.95,2.0,644974276822.0,40,0.00778969230155,0.24999086758,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,264251912.114,1199724.09361,264251912.114,265100245.156,263403579.072,263488412.376,265015411.852,2.0,1439337900790.0,15,0.00389456158541,0.12498630137,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,258169970.841,1125574.7992,258169970.841,258965872.414,257374069.267,257453659.425,258886282.257,2.0,1266918628590.0,54,0.0078336194825,0.25000913242,0.125333333333,1.0563053673200001e-12,0.25
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,255440079.12,1871.99102996,255440079.12,255441402.817,255438755.422,255438887.792,255441270.447,2.0,3504350.41627,4,0.00391623744292,0.12498630137,0.125333333333,1.0563053673200001e-12,0.25
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,245617393.027,1772877.01009,245617393.027,246871006.383,244363779.671,244489141.007,246745645.048,2.0,3143092892890.0,65,0.00779026143228,0.25000913242,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,230808561.583,456934.67578,230808561.583,231131663.191,230485459.975,230517770.136,231099353.03,2.0,208789297930.0,79,0.0078336194825,0.25000913242,0.125333333333,1.0563053673200001e-12,0.25
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,217021349.927,524216.908888,217021349.927,217392027.259,216650672.596,216687740.329,217354959.525,2.0,274803367564.0,90,0.00779026143228,0.25000913242,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,201813712.173,1643676.76724,201813712.173,202975967.161,200651457.185,200767682.684,202859741.663,2.0,2701673315160.0,104,0.00391680974125,0.12500456621,0.125333333333,1.0563053673200001e-12,0.25
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,191167266.437,1321348.90065,191167266.437,192101601.205,190232931.669,190326365.146,192008167.729,2.0,1745962917240.0,115,0.00389513071614,0.12500456621,0.249333333333,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,179572994.381,182080.711286,179572994.381,179701744.887,179444243.875,179457118.926,179688869.836,2.0,33153385422.5,35,0.00783134841011,0.24999086758,0.250666666667,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,164265331.568,1623242.57549,164265331.568,165413137.4,163117525.735,163232306.318,165298356.817,2.0,2634916458880.0,10,0.00391538811795,0.12498630137,0.250666666667,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,153826751.601,1956401.47397,153826751.601,155210136.349,152443366.852,152581705.326,155071797.875,2.0,3827506727330.0,60,0.00783192058432,0.25000913242,0.250666666667,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,126133866.067,1147428.6855,126133866.067,126945220.671,125322511.462,125403646.923,126864085.211,2.0,1316592588300.0,85,0.00783192058432,0.25000913242,0.250666666667,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,96342610.0609,700483.545302,96342610.0609,96837926.7259,95847293.3959,95896825.0624,96788395.0594,2.0,490677197239.0,110,0.00391596029216,0.12500456621,0.250666666667,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,87861545.0536,2003977.55197,87861545.0536,89278571.1699,86444518.9372,86586221.5489,89136868.5583,2.0,4015926028810.0,30,0.00391567420506,0.24999086758,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,67950213.9783,415151.228894,67950213.9783,68243770.2275,67656657.7291,67686013.3541,68214414.6026,2.0,172350542852.0,5,0.00195769405898,0.12498630137,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,59633634.341,32412.0421667,59633634.341,59656553.1158,59610715.5662,59613007.4437,59654261.2383,2.0,1050540477.42,55,0.00391596029216,0.25000913242,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,31549385.6059,1617691.76104,31549385.6059,32693266.42,30405504.7918,30519892.8732,32578878.3386,2.0,2616926633730.0,80,0.00391596029216,0.25000913242,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,2792424.54185,519279.305133,2792424.54185,3159610.45984,2425238.62386,2461957.21566,3122891.86804,2.0,269650996740.0,105,0.00195798014608,0.12500456621,0.125333333333,1.0563053673200001e-12,0.124972890913
522.0,-428.0,-12833.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-104649070965000.0,257577.588309,-104649070965000.0,-104649070783000.0,-104649071147000.0,-104649071129000.0,-104649070801000.0,2.0,66346213999.1,106,0.00391765919034,0.12500456621,0.250666666667,1.0563053673200001e-12,0.125027109087
