npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,983115569.452,5978173.35852,983115569.452,987342776.373,978888362.532,979311083.224,986920055.681,2.0,35738556704500.0,0.125,0.00195316568171,1.17734560967e-13,121,0.125002603629,0.125
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152038475401.0,1560856.60776,-152038475401.0,-152037371709.0,-152039579093.0,-152039468724.0,-152037482078.0,2.0,2436273350000.0,0.125,0.00195301774823,1.17734560967e-13,1,0.124993135887,0.125
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152093561208.0,623388.789497,-152093561208.0,-152093120406.0,-152094002011.0,-152093957931.0,-152093164486.0,2.0,388613582870.0,0.125,0.00390616863659,1.17734560967e-13,6,0.249994792742,0.125
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152150509827.0,471093.998729,-152150509827.0,-152150176713.0,-152150842940.0,-152150809629.0,-152150210024.0,2.0,221929555639.0,0.125,0.00390631657006,1.17734560967e-13,11,0.250004260484,0.125
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152210905305.0,2194385.74453,-152210905305.0,-152209353640.0,-152212456970.0,-152212301803.0,-152209508806.0,2.0,4815328795800.0,0.125,0.00390633136341,1.17734560967e-13,16,0.250005207258,0.125
1193.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152264448490.0,1015959.37545,-152264448490.0,-152263730098.0,-152265166881.0,-152265095042.0,-152263801937.0,2.0,1032173452570.0,0.125,0.00195316568171,1.17734560967e-13,21,0.125002603629,0.125
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152264988396.0,4957581.17329,-152264988396.0,-152261482857.0,-152268493935.0,-152268143381.0,-152261833411.0,2.0,24577611089700.0,0.25,0.00781207099292,1.17734560967e-13,27,0.124993135887,0.25
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152322972479.0,9831978.99986,-152322972479.0,-152316020220.0,-152329924739.0,-152329229513.0,-152316715446.0,2.0,96667811053700.0,0.25,0.0156246745464,1.17734560967e-13,32,0.249994792742,0.25
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152382417409.0,17403.7249731,-152382417409.0,-152382405103.0,-152382429716.0,-152382428485.0,-152382406334.0,2.0,302889642.941,0.25,0.0156252662803,1.17734560967e-13,37,0.250004260484,0.25
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152436711819.0,6974780.6823,-152436711819.0,-152431779905.0,-152441643734.0,-152441150542.0,-152432273096.0,2.0,48647565566200.0,0.25,0.0156253254536,1.17734560967e-13,42,0.250005207258,0.25
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152492035472.0,730833.767356,-152492035472.0,-152491518695.0,-152492552250.0,-152492500572.0,-152491570373.0,2.0,534117995507.0,0.25,0.00781266272682,1.17734560967e-13,47,0.125002603629,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152492879518.0,10770762.9302,-152492879518.0,-152485263438.0,-152500495597.0,-152499733989.0,-152486025046.0,2.0,116009334100000.0,0.25,0.00781207099292,1.17734560967e-13,53,0.124993135887,0.25
