smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-624614945.614,3020819.17663,-624614945.614,-622478903.889,-626750987.338,-626537383.166,-622692508.062,2.0,9125348497920.0,120,1.83230531396e-13,0.125001398296,0.0038997672965,0.249546279492,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-634159225.205,314521.528785,-634159225.205,-633936824.899,-634381625.511,-634359385.48,-633959064.93,2.0,98923792069.4,65,1.83230531396e-13,0.250003495741,0.00779955640487,0.249546279492,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-647001823.283,5263775.59835,-647001823.283,-643279771.862,-650723874.703,-650351669.561,-643651977.004,2.0,27707333549800.0,79,1.83230531396e-13,0.250003495741,0.00782678820604,0.125226860254,0.25
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-691925543.876,4826121.83928,-691925543.876,-688512960.397,-695338127.355,-694996869.007,-688854218.745,2.0,23291452007600.0,10,1.83230531396e-13,0.124995105963,0.00391375124775,0.250453720508,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-703284055.615,2995342.16752,-703284055.615,-701166028.856,-705402082.374,-705190279.698,-701377831.532,2.0,8972074700520.0,90,1.83230531396e-13,0.250003495741,0.00779955640487,0.249546279492,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-711108986.5,2615503.78702,-711108986.5,-709259546.036,-712958426.964,-712773482.918,-709444490.083,2.0,6840860059920.0,35,1.83230531396e-13,0.249996504259,0.00782769951624,0.250453720508,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-723045239.354,150715.528323,-723045239.354,-722938667.382,-723151811.326,-723141154.129,-722949324.579,2.0,22715170477.6,104,1.83230531396e-13,0.125001398296,0.003913383159,0.125226860254,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-780507916.305,1004314.4654,-780507916.305,-779797758.736,-781218073.874,-781147058.117,-779868774.493,2.0,1008647545420.0,115,1.83230531396e-13,0.125001398296,0.0038997672965,0.249546279492,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-783361819.118,1702523.48774,-783361819.118,-782157953.215,-784565685.022,-784445298.431,-782278339.805,2.0,2898586226310.0,60,1.83230531396e-13,0.250003495741,0.00782791842816,0.250453720508,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-848452037.339,4218070.68279,-848452037.339,-845469410.956,-851434663.723,-851136401.084,-845767673.594,2.0,17792120285000.0,5,1.83230531396e-13,0.124995105963,0.00195687562387,0.125226860254,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-856533785.483,2660706.05577,-856533785.483,-854652382.188,-858415188.778,-858227048.448,-854840522.518,2.0,7079356715220.0,30,1.83230531396e-13,0.249996504259,0.00391384975812,0.125226860254,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-860030407.071,2026572.87901,-860030407.071,-858597403.646,-861463410.497,-861320110.154,-858740703.989,2.0,4106997633930.0,85,1.83230531396e-13,0.250003495741,0.00782791842816,0.250453720508,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-926324243.548,2483522.86275,-926324243.548,-924568127.69,-928080359.405,-927904747.82,-924743739.276,2.0,6167885809790.0,110,1.83230531396e-13,0.125001398296,0.00391394826849,0.250453720508,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-934466832.416,967024.890058,-934466832.416,-933783042.559,-935150622.273,-935082243.288,-933851421.544,2.0,935137137992.0,55,1.83230531396e-13,0.250003495741,0.00391395921408,0.125226860254,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1014743386.06,1386560.0908,-1014743386.06,-1013762940.02,-1015723832.11,-1015625787.5,-1013860984.62,2.0,1922548885400.0,80,1.83230531396e-13,0.250003495741,0.00391395921408,0.125226860254,0.125018050542
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1088464805.53,3976577.06457,-1088464805.53,-1085652940.92,-1091276670.14,-1090995483.68,-1085934127.38,2.0,15813165150400.0,105,1.83230531396e-13,0.125001398296,0.00195697413424,0.125226860254,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-16988327525.0,400683.528362,-16988327525.0,-16988044199.0,-16988610851.0,-16988582518.4,-16988072531.6,2.0,160547289900.0,1,1.83230531396e-13,0.124995105963,0.00195687562387,0.125226860254,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-320855722881.0,1675287.02688,-320855722881.0,-320854538274.0,-320856907488.0,-320856789027.0,-320854656735.0,2.0,2806586622420.0,7,1.83230531396e-13,0.124995105963,0.00782637233343,0.250453720508,0.25
