npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-403724856.44,1275985.11699,-403724856.44,-402822598.711,-404627114.169,-404536888.396,-402912824.484,2.0,1628138018770.0,72,0.00781250950985,0.25,0.25,8.40946932138e-15,0.125000152158
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-538244197.621,14194448.1576,-538244197.621,-528207207.074,-548281188.169,-547277489.114,-529210906.128,2.0,201482358499000.0,125,0.00195312737746,0.125,0.125,8.40946932138e-15,0.125000152158
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-543727503.853,68651710.7652,-543727503.853,-495183413.631,-592271594.075,-587417185.053,-500037822.653,2.0,4713057390980000.0,98,0.00781250950985,0.25,0.25,8.40946932138e-15,0.125000152158
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-568873115.799,92954890.3176,-568873115.799,-503144082.511,-634602149.087,-628029245.758,-509716985.839,2.0,8640611633960000.0,71,0.00390625475492,0.25,0.125,8.40946932138e-15,0.125000152158
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-633892558.646,127503515.016,-633892558.646,-543733958.553,-724051158.739,-715035298.729,-552749818.562,2.0,1.62571463414e+16,116,0.00390625475492,0.125,0.125,8.40946932138e-15,0.250000304315
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-738928987.114,28280847.0804,-738928987.114,-718931408.366,-758926565.862,-756926807.987,-720931166.24,2.0,799806311587000.0,124,0.00390625475492,0.125,0.25,8.40946932138e-15,0.125000152158
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-775428678.848,12503328.5093,-775428678.848,-766587490.471,-784269867.224,-783385748.386,-767471609.309,2.0,156333223811000.0,97,0.00781250950985,0.25,0.25,8.40946932138e-15,0.125000152158
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-877287138.634,2813337.86906,-877287138.634,-875297808.349,-879276468.919,-879077535.891,-875496741.378,2.0,7914869965500.0,96,0.00390625475492,0.25,0.125,8.40946932138e-15,0.125000152158
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-959837321.969,8891111.00485,-959837321.969,-953550357.086,-966124286.853,-965495590.365,-954179053.574,2.0,79051854900500.0,123,0.00390625475492,0.125,0.25,8.40946932138e-15,0.125000152158
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1055373200.8,56993050.9174,-1055373200.8,-1015073028.01,-1095673373.58,-1091643356.3,-1019103045.29,2.0,3248207852870000.0,122,0.00390625475492,0.125,0.25,8.40946932138e-15,0.125000152158
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,7393661.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1258021393.19,121807635.828,-1258021393.19,-1171890387.9,-1344152398.49,-1335539297.96,-1180503488.43,2.0,1.48371001459e+16,121,0.00195312737746,0.125,0.125,8.40946932138e-15,0.125000152158
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-170613838204.0,14162243.4318,-170613838204.0,-170603823986.0,-170623852423.0,-170622851001.0,-170604825408.0,2.0,200569139021000.0,1,0.00195311681096,0.125,0.125,8.40946932138e-15,0.124999475902
