smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,47453362.4184,3150444.73611,48170658.8747,50457592.8516,43014539.0726,43773599.0954,50128910.7025,4.0,9925302035310.0,76,0.00391289118068,0.124994709051,1.7334191682000001e-13,0.125226860254,0.249981948155
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,41097395.6374,4921792.65521,39352882.1404,48090599.233,37593219.0359,37610663.1375,47026447.0332,4.0,24224042940900.0,125,0.00195655946116,0.125001984106,1.7334191682000001e-13,0.125226860254,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,3877581.27496,4783384.09446,4195586.71394,9324684.66664,-2205532.99467,-1386270.08712,8696225.02248,4.0,22880763395100.0,103,0.00389871403872,0.124994709051,1.7334191682000001e-13,0.249546279492,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-9478212.27817,2651570.01325,-8828169.34127,-7326557.21285,-12929953.2173,-12518796.5598,-7347688.10818,4.0,7030823535150.0,86,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.125226860254,0.249981948155
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-13368048.2351,6114426.80156,-14620976.982,-5281375.38565,-18948863.5907,-18674368.5691,-6307627.65535,4.0,37386215111600.0,108,0.00779765499392,0.249996693157,1.7334191682000001e-13,0.249546279492,0.124990974078
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-15412841.3257,3320890.71625,-16310515.8412,-10763378.8225,-18266954.7979,-18112181.8248,-11456756.5048,4.0,11028315149300.0,97,0.00779788191041,0.125001984106,1.7334191682000001e-13,0.249546279492,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-17893693.6256,5608717.02775,-19827359.6461,-9782880.92775,-22137174.2824,-21977528.3012,-11102726.5212,4.0,31457706697300.0,119,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.250453720508,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-92117879.2798,2030894.54868,-92061562.9332,-90109660.8382,-94238730.4147,-94119901.342,-90194700.103,4.0,4124532667850.0,91,0.00782621714084,0.250003306843,1.7334191682000001e-13,0.125226860254,0.249981948155
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-97473019.2922,6696761.9488,-98497864.8113,-88383032.3711,-104513315.175,-103663563.662,-89847691.1959,4.0,44846620598900.0,113,0.00779786128164,0.250003306843,1.7334191682000001e-13,0.249546279492,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-103394830.087,4964566.42397,-104885745.152,-96261673.8546,-107546156.189,-107271679.337,-97430699.7453,4.0,24646919778000.0,124,0.00391311892231,0.125001984106,1.7334191682000001e-13,0.250453720508,0.124990974078
