smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1559543027.6,1997946.75438,-1559543027.6,-1558130265.9,-1560955789.3,-1560814513.13,-1558271542.07,2.0,3991791233320.0,268,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-155.6,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1561241674.5,873311.196296,-1561241674.5,-1560624150.23,-1561859198.77,-1561797446.34,-1560685902.66,2.0,762672445575.0,110,0.142857142857,1.07010398565e-12,0.00291595300158,0.142844106523,0.142894736842
480.0,-209.9,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1563034635.25,1574239.4777,-1563034635.25,-1561921479.84,-1564147790.66,-1564036475.12,-1562032795.38,2.0,2478229933140.0,357,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1568387883.69,1563171.73278,-1568387883.69,-1567282554.36,-1569493213.02,-1569382680.09,-1567393087.29,2.0,2443505866160.0,221,0.142857142857,1.07010398565e-12,0.00291362434441,0.142861580758,0.142763157895
480.0,-372.7,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1574294828.7,265737.270298,-1574294828.7,-1574106924.07,-1574482733.32,-1574463942.86,-1574125714.54,2.0,70616296825.3,332,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1574472981.26,413226.996821,-1574472981.26,-1574180785.65,-1574765176.87,-1574735957.31,-1574210005.21,2.0,170756550902.0,132,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-155.6,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1579677420.93,534162.567318,-1579677420.93,-1579299710.95,-1580055130.9,-1580017359.9,-1579337481.95,2.0,285329648324.0,174,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-318.4,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1585235938.13,3208704.36707,-1585235938.13,-1582967041.51,-1587504834.74,-1587277945.08,-1583193931.17,2.0,10295783715300.0,85,0.142857142857,1.07010398565e-12,0.00291595300158,0.142844106523,0.142894736842
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1585609408.79,740891.868837,-1585609408.79,-1585085519.13,-1586133298.46,-1586080909.49,-1585137908.09,2.0,548920761309.0,285,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1592378771.09,1300741.4884,-1592378771.09,-1591459007.96,-1593298534.21,-1593206557.9,-1591550984.27,2.0,1691928419660.0,196,0.142857142857,1.07010398565e-12,0.00145815485623,0.142861580758,0.0714473684211
480.0,-155.6,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1597601104.7,162502.958532,-1597601104.7,-1597486197.76,-1597716011.65,-1597704520.95,-1597497688.45,2.0,26407211531.7,238,0.142857142857,1.07010398565e-12,0.00291630971247,0.142861580758,0.142894736842
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1598178371.77,1021612.35225,-1598178371.77,-1597455982.75,-1598900760.79,-1598828521.89,-1597528221.65,2.0,1043691798270.0,4,0.142857142857,1.07010398565e-12,0.0007288792554,0.0714113745622,0.0714473684211
480.0,-318.4,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1599686343.41,2721870.71345,-1599686343.41,-1597761690.17,-1601610996.65,-1601418531.33,-1597954155.5,2.0,7408580180760.0,149,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-264.1,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1603084117.15,526673.642259,-1603084117.15,-1602711702.65,-1603456531.65,-1603419290.2,-1602748944.1,2.0,277385125450.0,349,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-101.3,-2545.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1604167950.28,429534.794995,-1604167950.28,-1603864223.31,-1604471677.24,-1604441304.55,-1603894596.01,2.0,184500140111.0,55,0.142857142857,1.07010398565e-12,0.0014577585108,0.0714113745622,0.142894736842
480.0,-209.9,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1606131639.94,1560974.88566,-1606131639.94,-1605027864.01,-1607235415.87,-1607125038.27,-1605138241.61,2.0,2436642593650.0,102,0.142857142857,1.07010398565e-12,0.00291326796198,0.142844106523,0.142763157895
480.0,-209.9,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1608844327.0,3618377.96412,-1608844327.0,-1606285747.4,-1611402906.59,-1611147048.63,-1606541605.36,2.0,13092659091200.0,38,0.142857142857,1.07010398565e-12,0.00145641619173,0.0714113745622,0.142763157895
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1610460384.75,3614086.75545,-1610460384.75,-1607904839.5,-1613015930.0,-1612760375.48,-1608160394.02,2.0,13061623075900.0,260,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
480.0,-318.4,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1611165778.14,1194626.13895,-1611165778.14,-1610321049.9,-1612010506.38,-1611926033.56,-1610405522.72,2.0,1427131611860.0,21,0.142857142857,1.07010398565e-12,0.0014577585108,0.0714113745622,0.142894736842
480.0,-155.6,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1617414550.24,1292370.85056,-1617414550.24,-1616500706.05,-1618328394.43,-1618237010.01,-1616592090.47,2.0,1670222415380.0,302,0.142857142857,1.07010398565e-12,0.00291634934701,0.14286352234,0.142894736842
480.0,-318.4,-5273.7,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1617423330.74,882668.844197,-1617423330.74,-1616799189.61,-1618047471.86,-1617985057.75,-1616861603.72,2.0,779104288516.0,213,0.142857142857,1.07010398565e-12,0.00291630971247,0.142861580758,0.142894736842
480.0,-101.3,-2545.3,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1620628119.25,4146230.54552,-1620628119.25,-1617696291.52,-1623559946.99,-1623266764.21,-1617989474.29,2.0,17191227736600.0,119,0.142857142857,1.07010398565e-12,0.00291595300158,0.142844106523,0.142894736842
480.0,-209.9,-3909.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1623826323.91,1975437.32265,-1623826323.91,-1622429478.78,-1625223169.03,-1625083484.52,-1622569163.29,2.0,3902352615710.0,166,0.142857142857,1.07010398565e-12,0.00291366394246,0.14286352234,0.142763157895
480.0,-427.0,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,183952.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1628016048.51,1400169.47204,-1628016048.51,-1627025979.18,-1629006117.84,-1628907110.9,-1627124986.11,2.0,1960474550430.0,324,0.142857142857,1.07010398565e-12,0.00145817467351,0.14286352234,0.0714473684211
