smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2703083801.65,41973513.8068,-2703083801.65,-2673404045.41,-2732763557.9,-2729795582.27,-2676372021.03,2.0,1761775861290000.0,119,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2751637368.41,26574170.7035,-2751637368.41,-2732846592.1,-2770428144.72,-2768549067.09,-2734725669.73,2.0,706186548576000.0,14,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2757059194.67,14723930.378,-2757059194.67,-2746647803.66,-2767470585.69,-2766429446.59,-2747688942.76,2.0,216794125775000.0,86,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-578.4,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2762280636.39,10120111.2979,-2762280636.39,-2755124637.07,-2769436635.72,-2768721035.78,-2755840237.0,2.0,102416652681000.0,141,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2768214384.34,34062354.5274,-2768214384.34,-2744128662.47,-2792300106.21,-2789891534.03,-2746537234.66,2.0,1160243995950000.0,111,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-312.7,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2770095017.53,5116099.41487,-2770095017.53,-2766477388.94,-2773712646.12,-2773350883.26,-2766839151.8,2.0,26174473222800.0,166,0.142903225806,0.14285765017,0.00291640272006,0.142857142857,3.6761913905299995e-14
720.0,-135.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2791354686.29,18835760.5249,-2791354686.29,-2778035792.29,-2804673580.29,-2803341690.89,-2779367681.69,2.0,354785874551000.0,56,0.142822580645,0.0714270494897,0.000728671109714,0.0714285714286,0.0
720.0,-401.3,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2819923319.79,7133153.75182,-2819923319.79,-2814879418.4,-2824967221.18,-2824462831.04,-2815383808.54,2.0,50881882447100.0,31,0.142903225806,0.0714270494897,0.0014581651117,0.142857142857,3.6761913905299995e-14
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2826888677.77,7025638.23932,-2826888677.77,-2821920801.33,-2831856554.21,-2831359766.57,-2822417588.97,2.0,49359592669800.0,128,0.0714516129032,0.142855874575,0.000729091617934,0.0714285714286,0.0
720.0,-667.0,-7858.5,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2829158395.59,4537995.59679,-2829158395.59,-2825949548.13,-2832367243.05,-2832046358.31,-2826270432.88,2.0,20593404036500.0,133,0.0714516129032,0.14285765017,0.00145820136003,0.142857142857,3.6761913905299995e-14
