smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1507392146.47,653405.420078,-1507389623.57,-1506594551.77,-1508194786.96,-1508076170.92,-1506711654.07,4.0,426938642987.0,82,0.249981948155,0.249992724848,0.0155950624366,0.249546279492,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1507963006.79,322438.772581,-1507854545.38,-1507714341.22,-1508428595.19,-1508352969.17,-1507724890.39,4.0,103966762063.0,66,0.250018051845,0.250007275152,0.00782747168739,0.125226860254,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1516214354.6,563496.537051,-1516294320.33,-1515558862.18,-1516709915.58,-1516702130.22,-1515614626.97,4.0,317528347268.0,119,0.124990974078,0.250007275152,0.00782634136657,0.250453720508,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1549591958.38,298660.606679,-1549533828.78,-1549305953.47,-1549994222.49,-1549939082.41,-1549326215.78,4.0,89198157981.7,87,0.249981948155,0.250007275152,0.0155959701145,0.249546279492,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1551459796.82,358822.185554,-1551512238.37,-1550992840.77,-1551821869.77,-1551794284.27,-1551051891.21,4.0,128753360846.0,71,0.250018051845,0.125002976198,0.00391371513664,0.125226860254,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1557919454.87,652108.64333,-1558042990.16,-1557069135.02,-1558522704.15,-1558492942.34,-1557173018.0,4.0,425245682706.0,124,0.124990974078,0.125002976198,0.00391314997922,0.250453720508,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1568682600.48,342167.816837,-1568672982.51,-1568274736.88,-1569109700.01,-1569049262.19,-1568329403.92,4.0,117078814879.0,103,0.124990974078,0.12498974865,0.0038985593187,0.249546279492,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1587105056.39,445262.949519,-1587141406.29,-1586619219.2,-1587518193.79,-1587507347.45,-1586651875.48,4.0,198259094215.0,108,0.124990974078,0.249992724848,0.00779753121829,0.249546279492,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1592740166.39,741461.039895,-1592777831.98,-1591868573.78,-1593536427.82,-1593475962.34,-1591951638.61,4.0,549764473683.0,92,0.249981948155,0.250007275152,0.0155959701145,0.249546279492,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1629773523.13,948605.511313,-1630042969.84,-1628458312.56,-1630549840.27,-1630523774.23,-1628646046.62,4.0,899852416094.0,113,0.124990974078,0.250007275152,0.00779798505727,0.249546279492,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1634575960.82,561975.536014,-1634516136.09,-1634088475.57,-1635183095.52,-1635144353.46,-1634091322.8,4.0,315816503078.0,97,0.249981948155,0.125002976198,0.00779794379918,0.249546279492,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1657041752.57,165594.29507,-1657012274.07,-1656880925.19,-1657261536.95,-1657232603.46,-1656892171.57,4.0,27421470559.7,76,0.249981948155,0.12498974865,0.00391273589804,0.125226860254,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1658626770.99,717892.768959,-1658293539.23,-1658217973.22,-1659702032.26,-1659493606.06,-1658226460.37,4.0,515370027724.0,81,0.249981948155,0.249992724848,0.00782588587727,0.125226860254,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1671944095.82,442178.795961,-1671869338.71,-1671532696.17,-1672505009.69,-1672441745.54,-1671551106.05,4.0,195522087598.0,118,0.124990974078,0.250007275152,0.00779798505727,0.249546279492,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1700524330.01,663635.849702,-1700633957.18,-1699751426.19,-1701077979.46,-1701077893.41,-1699817288.55,4.0,440412541010.0,86,0.249981948155,0.250007275152,0.00782634136657,0.125226860254,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1714086497.43,372368.275843,-1714181374.54,-1713562566.26,-1714420674.37,-1714396297.68,-1713643869.22,4.0,138658132854.0,123,0.124990974078,0.125002976198,0.00389897189959,0.249546279492,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1727842856.1,380001.95572,-1727871935.25,-1727350393.25,-1728277160.65,-1728218425.78,-1727426575.61,4.0,144401486351.0,102,0.124990974078,0.12498974865,0.0038985593187,0.249546279492,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1742276138.36,344260.259607,-1742142116.19,-1742037194.77,-1742783126.29,-1742694834.19,-1742045073.58,4.0,118515126345.0,107,0.124990974078,0.249992724848,0.00779753121829,0.249546279492,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1742732747.21,262341.790165,-1742712491.15,-1742447814.8,-1743058191.76,-1743020782.06,-1742473070.86,4.0,68823214866.7,91,0.249981948155,0.250007275152,0.00782634136657,0.125226860254,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1784164021.23,312232.639832,-1784169694.52,-1783781601.18,-1784535094.72,-1784490041.99,-1783830057.88,4.0,97489221376.4,112,0.124990974078,0.250007275152,0.00779798505727,0.249546279492,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1785122235.66,980192.007271,-1785359702.35,-1783753719.49,-1786015818.46,-1785950642.47,-1783961375.5,4.0,960776371117.0,96,0.249981948155,0.125002976198,0.00391314997922,0.125226860254,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1827133591.56,521343.295739,-1827014385.5,-1826686666.41,-1827818928.83,-1827734612.21,-1826699459.4,4.0,271798832012.0,117,0.124990974078,0.250007275152,0.00779798505727,0.249546279492,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1869224468.08,645669.177436,-1869128250.7,-1868541700.88,-1870099670.03,-1869954062.65,-1868629577.83,4.0,416888686691.0,122,0.124990974078,0.125002976198,0.00389897189959,0.249546279492,3.46688419418e-13
