smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-446652563.723,2424779.45704,-446652563.723,-444937985.726,-448367141.72,-448195683.92,-445109443.526,2.0,5879555415270.0,0.125018050542,0.249546279492,1.83230531396e-13,120,0.0038997672965,0.125001398296
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-447026817.996,5691030.0681,-447026817.996,-443002652.043,-451050983.949,-450648567.354,-443405068.638,2.0,32387823236000.0,0.25,0.125226860254,1.83230531396e-13,79,0.00782678820604,0.250003495741
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-501843694.684,6846454.34822,-501843694.684,-497002520.387,-506684868.981,-506200751.551,-497486637.817,2.0,46873937142300.0,0.125018050542,0.250453720508,1.83230531396e-13,10,0.00391375124775,0.124995105963
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-511995996.325,2463819.84157,-511995996.325,-510253812.607,-513738180.042,-513563961.67,-510428030.979,2.0,6070408211700.0,0.125018050542,0.249546279492,1.83230531396e-13,90,0.00779955640487,0.250003495741
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-521954659.6,6112374.35073,-521954659.6,-517632558.247,-526276760.952,-525844550.817,-518064768.383,2.0,37361120203500.0,0.25,0.125226860254,1.83230531396e-13,104,0.003913383159,0.125001398296
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-523346168.529,5294334.2058,-523346168.529,-519602508.911,-527089828.148,-526715462.186,-519976874.872,2.0,28029974682700.0,0.125018050542,0.250453720508,1.83230531396e-13,35,0.00782769951624,0.249996504259
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-598195311.808,1650986.64211,-598195311.808,-597027887.958,-599362735.658,-599245993.273,-597144630.343,2.0,2725756892430.0,0.125018050542,0.249546279492,1.83230531396e-13,115,0.0038997672965,0.125001398296
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-598655354.978,10360705.9042,-598655354.978,-591329229.576,-605981480.381,-605248867.841,-592061842.116,2.0,107344226833000.0,0.125018050542,0.250453720508,1.83230531396e-13,60,0.00782791842816,0.250003495741
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-658401472.245,2054963.1384,-658401472.245,-656948393.875,-659854550.615,-659709242.778,-657093701.712,2.0,4222873500170.0,0.125018050542,0.125226860254,1.83230531396e-13,5,0.00195687562387,0.124995105963
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-671824135.945,2923356.78664,-671824135.945,-669757010.537,-673891261.353,-673684548.812,-669963723.078,2.0,8546014901990.0,0.125018050542,0.250453720508,1.83230531396e-13,85,0.00782791842816,0.250003495741
