smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-580998123.255,1888385.72748,-580485923.129,-579493199.316,-583527447.445,-583201599.222,-579511727.464,4.0,3566000655750.0,0.00782634136657,0.250007275152,86,0.125226860254,0.249981948155,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-584995783.465,2114500.42582,-584693696.943,-583026060.65,-587569679.322,-587313405.786,-583101082.274,4.0,4471112050810.0,0.00391273589804,0.12498974865,76,0.125226860254,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-607012022.757,1135348.63811,-606948669.802,-605809695.845,-608341055.581,-608217520.171,-605895219.482,4.0,1289016530070.0,0.00782634136657,0.250007275152,119,0.250453720508,0.124990974078,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-623576687.516,637049.90601,-623576384.657,-622823232.058,-624330748.69,-624247817.165,-622905981.868,4.0,405832582747.0,0.00782634136657,0.250007275152,91,0.125226860254,0.249981948155,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-650855182.715,2048203.65471,-650787324.62,-648495205.923,-653350875.696,-653059911.736,-648745455.026,4.0,4195138211150.0,0.00391314997922,0.125002976198,124,0.250453720508,0.124990974078,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-667267516.986,2362155.56034,-667040685.149,-665100613.27,-669888084.376,-669699884.191,-665152714.353,4.0,5579778891260.0,0.00391314997922,0.125002976198,96,0.125226860254,0.249981948155,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-667267596.742,1842456.45771,-667226059.423,-665078112.826,-669540155.298,-669243029.92,-665350315.811,4.0,3394645798550.0,0.00779753121829,0.249992724848,108,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-678001534.711,1279368.92504,-677739163.136,-676876799.444,-679651013.128,-679458322.128,-676912067.498,4.0,1636784846360.0,0.0038985593187,0.12498974865,103,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-712386712.533,1554214.90247,-712097386.929,-710822106.778,-714529969.497,-714185701.438,-710992779.475,4.0,2415583963070.0,0.00779798505727,0.250007275152,113,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-753467792.315,2808442.00311,-753038323.583,-750855405.739,-756939116.356,-756576950.591,-750959890.264,4.0,7887346484810.0,0.00779798505727,0.250007275152,118,0.249546279492,0.124990974078,3.46688419418e-13
