smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2028997326.99,680836.968956,-2029039359.48,-2028144880.4,-2029765708.59,-2029684820.26,-2028250988.23,4.0,463538978297.0,0.249981948155,3.46688419418e-13,0.00779794379918,0.125002976198,0.249546279492,97
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2034994855.22,430721.239171,-2035025967.56,-2034536859.67,-2035390626.11,-2035381944.81,-2034564208.37,4.0,185520785873.0,0.124990974078,3.46688419418e-13,0.00779798505727,0.250007275152,0.249546279492,117
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2048333543.21,699247.092208,-2048603950.71,-2047308105.09,-2048818166.33,-2048805653.66,-2047482862.26,4.0,488946495961.0,0.250018051845,3.46688419418e-13,0.00782747168739,0.250007275152,0.125226860254,61
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2050619557.19,288489.014891,-2050643025.22,-2050258483.66,-2050933694.67,-2050904913.08,-2050301346.07,4.0,83225911713.0,0.250018051845,3.46688419418e-13,0.00782747168739,0.250007275152,0.125226860254,41
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2051932812.0,117871.084707,-2051893665.68,-2051844897.18,-2052099019.46,-2052074274.21,-2051846154.63,4.0,13893592610.0,0.249981948155,3.46688419418e-13,0.00391273589804,0.12498974865,0.125226860254,76
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2052732808.6,497871.139174,-2052872859.69,-2052019150.04,-2053166364.99,-2053131288.24,-2052138257.44,4.0,247875671223.0,0.249981948155,3.46688419418e-13,0.00782588587727,0.249992724848,0.125226860254,81
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2061599847.68,28760.5543947,-2061591193.31,-2061576507.36,-2061640496.74,-2061634331.76,-2061577479.73,4.0,827169489.091,0.124990974078,3.46688419418e-13,0.00195657498961,0.125002976198,0.125226860254,21
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2077568148.88,625765.93049,-2077519370.89,-2076884610.45,-2078349243.3,-2078257048.55,-2076947538.41,4.0,391582999762.0,0.124990974078,3.46688419418e-13,0.00389897189959,0.125002976198,0.249546279492,122
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2090296627.35,258758.04814,-2090388712.99,-2089921124.2,-2090487959.23,-2090481489.12,-2089982845.7,4.0,66955727477.1,0.250018051845,3.46688419418e-13,0.00782747168739,0.250007275152,0.125226860254,66
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2091819270.75,326000.805365,-2091786048.49,-2091472730.74,-2092232255.28,-2092182418.97,-2091502633.68,4.0,106276525098.0,0.250018051845,3.46688419418e-13,0.00391371513664,0.125002976198,0.125226860254,46
