smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2745346626.83,724851.442241,-2745312448.51,-2744495958.17,-2746265652.14,-2746130642.68,-2744610460.64,4.0,525409613319.0,3.46688419418e-13,0.00782634136657,0.250453720508,0.124990974078,119,0.250007275152
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2777091417.78,238184.762806,-2777092975.73,-2776828704.5,-2777351015.14,-2777331804.05,-2776848850.37,4.0,56731981233.1,3.46688419418e-13,0.00391314997922,0.250453720508,0.124990974078,124,0.125002976198
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2816669713.75,321101.154542,-2816687849.95,-2816353601.82,-2816949553.26,-2816948602.59,-2816365434.21,4.0,103105951448.0,3.46688419418e-13,0.0038985593187,0.249546279492,0.124990974078,103,0.12498974865
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2824933998.83,784970.48638,-2825162300.52,-2823800700.31,-2825610693.96,-2825548191.19,-2824000184.09,4.0,616178664487.0,3.46688419418e-13,0.00779753121829,0.249546279492,0.124990974078,108,0.249992724848
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2856355806.38,349284.69428,-2856390017.28,-2855950665.9,-2856692525.07,-2856678278.93,-2855985438.58,4.0,121999797658.0,3.46688419418e-13,0.00779798505727,0.249546279492,0.124990974078,113,0.250007275152
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2888163351.84,414254.499354,-2888160811.47,-2887665976.61,-2888665807.79,-2888603032.85,-2887727227.33,4.0,171606790235.0,3.46688419418e-13,0.00779798505727,0.249546279492,0.124990974078,118,0.250007275152
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2920497623.62,1119904.27944,-2920386094.39,-2919307783.87,-2921910521.83,-2921742387.8,-2919409000.36,4.0,1254185595100.0,3.46688419418e-13,0.00389897189959,0.249546279492,0.124990974078,123,0.125002976198
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2959244130.56,473888.750151,-2959258449.46,-2958650605.68,-2959809017.62,-2959731094.97,-2958737119.67,4.0,224570547520.0,3.46688419418e-13,0.0038985593187,0.249546279492,0.124990974078,102,0.12498974865
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2964388496.25,670723.866148,-2964291859.41,-2963682180.71,-2965288085.47,-2965154664.28,-2963757619.8,4.0,449870504620.0,3.46688419418e-13,0.00779753121829,0.249546279492,0.124990974078,107,0.249992724848
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2995865273.58,593097.890498,-2995719555.12,-2995394382.5,-2996627601.57,-2996539993.82,-2995394559.18,4.0,351765107713.0,3.46688419418e-13,0.00779798505727,0.249546279492,0.124990974078,112,0.250007275152
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3029203230.4,425194.09537,-3029343067.36,-3028596368.21,-3029530418.68,-3029520041.2,-3028690647.86,4.0,180790018738.0,3.46688419418e-13,0.00779798505727,0.249546279492,0.124990974078,117,0.250007275152
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3062274744.01,626422.324667,-3062084283.7,-3061769825.54,-3063160583.08,-3063026182.1,-3061789950.34,4.0,392404928841.0,3.46688419418e-13,0.00389897189959,0.249546279492,0.124990974078,122,0.125002976198
