smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1226995017.04,163505.088491,-1226995017.04,-1226879401.49,-1227110632.6,-1227099071.05,-1226890963.04,2.0,26733913962.5,20,0.125018050542,0.00389940739611,0.249546279492,3.66466187075e-13,0.12498986221
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1251149833.8,323285.454446,-1251149833.8,-1250921236.46,-1251378431.14,-1251355571.4,-1250944096.2,2.0,104513485056.0,45,0.125018050542,0.00779925103585,0.249546279492,3.66466187075e-13,0.249993707579
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1261379230.51,106342.490672,-1261379230.51,-1261304035.02,-1261454426.01,-1261446906.46,-1261311554.57,2.0,11308725322.3,104,0.25,0.0039134597688,0.125226860254,3.66466187075e-13,0.125003845369
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1291290053.1,505280.603025,-1291290053.1,-1290932765.76,-1291647340.44,-1291611611.71,-1290968494.5,2.0,255308487794.0,70,0.125018050542,0.00779964365513,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1331997541.03,1473107.43566,-1331997541.03,-1330955896.77,-1333039185.28,-1332935020.86,-1331060061.2,2.0,2170045516980.0,95,0.125018050542,0.00779964365513,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1371370619.72,15838.9374542,-1371370619.72,-1371359419.9,-1371381819.54,-1371380699.56,-1371360539.88,2.0,250871939.677,120,0.125018050542,0.00389984363975,0.249546279492,3.66466187075e-13,0.125003845369
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1389541017.42,149445.722191,-1389541017.42,-1389435343.33,-1389646691.5,-1389636124.09,-1389445910.74,2.0,22334023881.1,15,0.125018050542,0.00389940739611,0.249546279492,3.66466187075e-13,0.12498986221
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1408219112.4,51605.8448747,-1408219112.4,-1408182621.56,-1408255603.24,-1408251954.16,-1408186270.64,2.0,2663163225.23,40,0.125018050542,0.00779925103585,0.249546279492,3.66466187075e-13,0.249993707579
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1447440059.32,596960.161124,-1447440059.32,-1447017944.74,-1447862173.9,-1447819962.44,-1447060156.2,2.0,356361433969.0,65,0.125018050542,0.00779964365513,0.249546279492,3.66466187075e-13,0.250006292421
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1488315070.65,783345.221268,-1488315070.65,-1487761161.93,-1488868979.37,-1488813588.49,-1487816552.8,2.0,613629735684.0,90,0.125018050542,0.00779964365513,0.249546279492,3.66466187075e-13,0.250006292421
