smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2006823454.48,1513197.80147,-2006823454.48,-2005753462.05,-2007893446.9,-2007786447.66,-2005860461.29,2.0,2289767586390.0,0.142857142857,0.142822580645,0.142859494415,2.43433201164e-13,234,0.00291479452315
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2033753201.9,618432.586393,-2033753201.9,-2033315904.02,-2034190499.77,-2034146769.99,-2033359633.81,2.0,382458863912.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,217,0.00145823218654
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2035854145.17,594439.461085,-2035854145.17,-2035433813.0,-2036274477.35,-2036232444.13,-2035475846.22,2.0,353358272895.0,0.142857142857,0.0714516129032,0.071417989418,2.43433201164e-13,193,0.000728990076317
720.0,-616.5,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2037037794.58,2400431.61338,-2037037794.58,-2035340433.11,-2038735156.05,-2038565419.9,-2035510169.25,2.0,5762071930490.0,0.142857142857,0.142822580645,0.142860670194,2.43433201164e-13,242,0.00291481851283
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2061500804.97,685360.815851,-2061500804.97,-2061016181.69,-2061985428.25,-2061936965.92,-2061064644.02,2.0,469719447904.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,225,0.00145823218654
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2088665831.52,731289.109761,-2088665831.52,-2088148732.04,-2089182931.01,-2089131221.06,-2088200441.98,2.0,534783762055.0,0.142857142857,0.0714516129032,0.142859494415,2.43433201164e-13,233,0.00145822018493
720.0,-705.1,-11041.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2116868714.55,1671893.91884,-2116868714.55,-2115686507.02,-2118050922.08,-2117932701.32,-2115804727.77,2.0,2795229275860.0,0.142857142857,0.0714516129032,0.142860670194,2.43433201164e-13,241,0.00145823218654
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3413706118.91,0.0,-3413706118.91,-3413706118.91,-3413706118.91,-3413706118.91,-3413706118.91,2.0,0.0,0.0714285714286,0.0714516129032,0.071417989418,2.43433201164e-13,1,0.000364495038159
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3441718357.34,0.0,-3441718357.34,-3441718357.34,-3441718357.34,-3441718357.34,-3441718357.34,2.0,0.0,0.0714285714286,0.0714516129032,0.142848912404,2.43433201164e-13,9,0.000729056085198
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3469735668.69,0.0,-3469735668.69,-3469735668.69,-3469735668.69,-3469735668.69,-3469735668.69,2.0,0.0,0.0714285714286,0.0714516129032,0.142860670194,2.43433201164e-13,17,0.000729116093271
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3497752518.88,0.0,-3497752518.88,-3497752518.88,-3497752518.88,-3497752518.88,-3497752518.88,2.0,0.0,0.0714285714286,0.0714516129032,0.142860670194,2.43433201164e-13,25,0.000729116093271
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3525769830.23,0.0,-3525769830.23,-3525769830.23,-3525769830.23,-3525769830.23,-3525769830.23,2.0,0.0,0.0714285714286,0.0714516129032,0.142860670194,2.43433201164e-13,33,0.000729116093271
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3553786680.42,0.0,-3553786680.42,-3553786680.42,-3553786680.42,-3553786680.42,-3553786680.42,2.0,0.0,0.0714285714286,0.0714516129032,0.142859494415,2.43433201164e-13,41,0.000729110092464
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-3581803530.6,0.0,-3581803530.6,-3581803530.6,-3581803530.6,-3581803530.6,-3581803530.6,2.0,0.0,0.0714285714286,0.0714516129032,0.142860670194,2.43433201164e-13,49,0.000729116093271
