smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1613137143.89,370981.931005,-1613100754.89,-1612778866.48,-1613568199.3,-1613530956.77,-1612794275.61,4.0,137627593132.0,0.250007275152,0.250453720508,0.00782634136657,119,3.46688419418e-13,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1618819479.34,329498.172597,-1618725716.63,-1618565334.13,-1619261149.97,-1619204184.32,-1618566042.15,4.0,108569045745.0,0.125002976198,0.125226860254,0.00391314997922,96,3.46688419418e-13,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1655513996.58,527292.255773,-1655447118.78,-1654983774.0,-1656177974.75,-1656102413.71,-1655019208.36,4.0,278037122998.0,0.125002976198,0.250453720508,0.00391314997922,124,3.46688419418e-13,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1663972030.77,255616.5096,-1663886615.36,-1663775327.15,-1664339565.2,-1664280902.1,-1663782741.0,4.0,65339799980.1,0.12498974865,0.249546279492,0.0038985593187,103,3.46688419418e-13,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1682551350.58,182753.669265,-1682621531.67,-1682282559.89,-1682679779.11,-1682675289.43,-1682329158.22,4.0,33398903629.9,0.249992724848,0.249546279492,0.00779753121829,108,3.46688419418e-13,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1724654959.79,521462.114655,-1724649280.49,-1724064844.79,-1725256433.38,-1725199843.73,-1724118026.86,4.0,271922737021.0,0.250007275152,0.249546279492,0.00779798505727,113,3.46688419418e-13,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1767223261.88,380622.422953,-1767232520.17,-1766769702.82,-1767658304.38,-1767615509.23,-1766818052.94,4.0,144873428855.0,0.250007275152,0.249546279492,0.00779798505727,118,3.46688419418e-13,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1809859481.83,615305.03817,-1809741669.65,-1809244746.66,-1810709841.36,-1810573509.22,-1809310391.5,4.0,378600289998.0,0.125002976198,0.249546279492,0.00389897189959,123,3.46688419418e-13,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1821759953.78,630056.128261,-1821875788.1,-1820928005.67,-1822360233.24,-1822323000.12,-1821034739.38,4.0,396970724759.0,0.12498974865,0.249546279492,0.0038985593187,102,3.46688419418e-13,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1836180411.14,439292.574323,-1836297104.75,-1835588519.57,-1836538915.49,-1836531269.54,-1835666181.68,4.0,192977965855.0,0.249992724848,0.249546279492,0.00779753121829,107,3.46688419418e-13,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1878039100.01,810243.723776,-1877967946.9,-1877123028.27,-1879097477.98,-1878928344.44,-1877249469.93,4.0,656494891919.0,0.250007275152,0.249546279492,0.00779798505727,112,3.46688419418e-13,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1921125185.67,178966.026431,-1921114040.57,-1920928057.6,-1921344603.92,-1921319988.63,-1920945985.83,4.0,32028838616.7,0.250007275152,0.249546279492,0.00779798505727,117,3.46688419418e-13,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1963453965.51,627686.621558,-1963232962.55,-1962998541.41,-1964351395.51,-1964211991.11,-1963005344.04,4.0,393990494882.0,0.125002976198,0.249546279492,0.00389897189959,122,3.46688419418e-13,0.124990974078
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1979017987.75,527073.730589,-1978863257.28,-1978598553.7,-1979746882.73,-1979644023.06,-1978608575.09,4.0,277806717477.0,0.12498974865,0.125226860254,0.00195636794902,101,3.46688419418e-13,0.124990974078
