smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1173279304.45,1204971.64525,-1173279304.45,-1172427260.83,-1174131348.07,-1174046143.71,-1172512465.19,2.0,1451956665860.0,79,3.66466187075e-13,0.125226860254,0.250006292421,0.25,0.00782687576092
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1195182299.98,1105720.0283,-1195182299.98,-1194400437.85,-1195964162.11,-1195885975.9,-1194478624.06,2.0,1222616780980.0,125,3.66466187075e-13,0.125226860254,0.125003845369,0.125018050542,0.00195701244467
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1205255922.54,632078.005917,-1205255922.54,-1204808975.89,-1205702869.18,-1205658174.52,-1204853670.56,2.0,399522605565.0,20,3.66466187075e-13,0.249546279492,0.12498986221,0.125018050542,0.00389940739611
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1214564672.93,410703.058588,-1214564672.93,-1214274262.01,-1214855083.85,-1214826042.75,-1214303303.1,2.0,168677002334.0,104,3.66466187075e-13,0.125226860254,0.125003845369,0.25,0.0039134597688
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1229005308.98,207399.237315,-1229005308.98,-1228858655.57,-1229151962.39,-1229137297.05,-1228873320.91,2.0,43014443639.0,45,3.66466187075e-13,0.249546279492,0.249993707579,0.125018050542,0.00779925103585
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1268530863.11,81549.899346,-1268530863.11,-1268473198.62,-1268588527.6,-1268582761.15,-1268478965.07,2.0,6650386083.34,70,3.66466187075e-13,0.249546279492,0.250006292421,0.125018050542,0.00779964365513
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1308871886.76,821601.596937,-1308871886.76,-1308290926.7,-1309452846.82,-1309394750.81,-1308349022.7,2.0,675029184090.0,95,3.66466187075e-13,0.249546279492,0.250006292421,0.125018050542,0.00779964365513
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1349476885.46,590650.526565,-1349476885.46,-1349059232.47,-1349894538.45,-1349852773.15,-1349100997.77,2.0,348868044531.0,120,3.66466187075e-13,0.249546279492,0.125003845369,0.125018050542,0.00389984363975
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1366615250.56,908011.175546,-1366615250.56,-1365973189.7,-1367257311.42,-1367193105.33,-1366037395.79,2.0,824484294916.0,15,3.66466187075e-13,0.249546279492,0.12498986221,0.125018050542,0.00389940739611
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1385863063.14,301976.505004,-1385863063.14,-1385649533.5,-1386076592.77,-1386055239.81,-1385670886.47,2.0,91189809574.2,40,3.66466187075e-13,0.249546279492,0.249993707579,0.125018050542,0.00779925103585
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1425662256.63,540255.998573,-1425662256.63,-1425280237.95,-1426044275.31,-1426006073.44,-1425318439.82,2.0,291876543994.0,65,3.66466187075e-13,0.249546279492,0.250006292421,0.125018050542,0.00779964365513
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1465929230.99,652039.068721,-1465929230.99,-1465468169.74,-1466390292.23,-1466344186.11,-1465514275.86,2.0,425154947138.0,90,3.66466187075e-13,0.249546279492,0.250006292421,0.125018050542,0.00779964365513
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1506069144.7,203990.920783,-1506069144.7,-1505924901.34,-1506213388.07,-1506198963.73,-1505939325.68,2.0,41612295761.7,115,3.66466187075e-13,0.249546279492,0.125003845369,0.125018050542,0.00389984363975
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1528181767.53,110222.016058,-1528181767.53,-1528103828.8,-1528259706.27,-1528251912.39,-1528111622.67,2.0,12148892823.9,10,3.66466187075e-13,0.250453720508,0.12498986221,0.125018050542,0.00391358705936
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1543890796.0,247456.643773,-1543890796.0,-1543715817.73,-1544065774.27,-1544048276.45,-1543733315.56,2.0,61234790547.4,35,3.66466187075e-13,0.250453720508,0.249993707579,0.125018050542,0.00782761194871
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1584289996.05,272561.38367,-1584289996.05,-1584097266.04,-1584482726.05,-1584463453.05,-1584116539.04,2.0,74289707868.1,60,3.66466187075e-13,0.250453720508,0.250006292421,0.125018050542,0.00782800599569
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1624277815.44,159731.954029,-1624277815.44,-1624164867.89,-1624390762.98,-1624379468.23,-1624176162.64,2.0,25514297138.0,85,3.66466187075e-13,0.250453720508,0.250006292421,0.125018050542,0.00782800599569
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1664646582.81,539285.640184,-1664646582.81,-1664265250.28,-1665027915.35,-1664989782.09,-1664303383.53,2.0,290829001709.0,110,3.66466187075e-13,0.250453720508,0.125003845369,0.125018050542,0.00391402488934
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1687237620.4,266871.48198,-1687237620.4,-1687048913.77,-1687426327.03,-1687407456.37,-1687067784.43,2.0,71220387894.2,5,3.66466187075e-13,0.125226860254,0.12498986221,0.125018050542,0.00195679352968
