npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,PointProbability,prefix
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,270275661.482,551323.626516,270275661.482,270665506.157,269885816.807,269924801.275,270626521.69,2.0,303957741155.0,0.125026522385,0.00389622993185,0.124986205628,0.249333333333,1.0406674226900002e-12,103
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,268861171.43,1379219.66923,268861171.43,269836427.01,267885915.849,267983441.407,269738901.452,2.0,1902246895990.0,0.125026522385,0.00779303321812,0.249990803752,0.249333333333,1.0406674226900002e-12,108
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,239971975.086,2153320.18099,239971975.086,241494602.388,238449347.784,238601610.514,241342339.658,2.0,4636787801870.0,0.125026522385,0.00779360657253,0.250009196248,0.249333333333,1.0406674226900002e-12,113
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,209176146.687,435877.822705,209176146.687,209484358.852,208867934.523,208898755.74,209453537.635,2.0,189989476326.0,0.125026522385,0.00779360657253,0.250009196248,0.249333333333,1.0406674226900002e-12,118
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,180190523.512,73980.4769799,180190523.512,180242835.609,180138211.415,180143442.625,180237604.399,2.0,5473110974.18,0.125026522385,0.00389680328627,0.125004598124,0.249333333333,1.0406674226900002e-12,123
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,174363215.909,186050.985321,174363215.909,174494773.823,174231657.996,174244813.787,174481618.031,2.0,34614969138.9,0.125026522385,0.00779303321812,0.249990803752,0.249333333333,1.0406674226900002e-12,107
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,172564210.958,477502.399358,172564210.958,172901856.143,172226565.774,172260330.292,172868091.625,2.0,228008541393.0,0.125026522385,0.00389622993185,0.124986205628,0.249333333333,1.0406674226900002e-12,102
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,144820306.984,508893.232012,144820306.984,145180148.839,144460465.128,144496449.314,145144164.653,2.0,258972321588.0,0.125026522385,0.00779360657253,0.250009196248,0.249333333333,1.0406674226900002e-12,112
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,115895880.746,1057702.50992,115895880.746,116643789.363,115147972.129,115222762.99,116568998.502,2.0,1118734599500.0,0.125026522385,0.00779360657253,0.250009196248,0.249333333333,1.0406674226900002e-12,117
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,86000918.1527,3242.08769051,86000918.1527,86003210.6549,85998625.6506,85998854.9008,86002981.4047,2.0,10511132.593,0.125026522385,0.00389680328627,0.125004598124,0.249333333333,1.0406674226900002e-12,122
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,79734501.9392,2464086.10391,79734501.9392,81476873.9327,77992129.9457,78166367.145,81302636.7333,2.0,6071720327470.0,0.125026522385,0.00391735359627,0.249990803752,0.125333333333,1.0406674226900002e-12,106
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,73848597.337,197840.610947,73848597.337,73988491.7746,73708702.8994,73722692.3432,73974502.3309,2.0,39140907339.9,0.125026522385,0.00195853269302,0.124986205628,0.125333333333,1.0406674226900002e-12,101
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,49354903.5202,716669.250361,49354903.5202,49861665.207,48848141.8334,48898818.002,49810989.0383,2.0,513614814413.0,0.125026522385,0.00391764180651,0.250009196248,0.125333333333,1.0406674226900002e-12,111
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,21240014.4323,986897.185133,21240014.4323,21937856.1243,20542172.7404,20611956.9096,21868071.9551,2.0,973966054023.0,0.125026522385,0.00391764180651,0.250009196248,0.125333333333,1.0406674226900002e-12,116
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-9683068.37828,1550078.79682,-9683068.37828,-8586997.14967,-10779139.6069,-10669532.484,-8696604.27253,2.0,2402744276340.0,0.125026522385,0.00195882090326,0.125004598124,0.125333333333,1.0406674226900002e-12,121
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109885659525.0,9.23739154875,-109885659525.0,-109885659518.0,-109885659531.0,-109885659530.0,-109885659519.0,2.0,85.3294026249,0.124973477615,0.00195770175,0.124986205628,0.125333333333,1.0406674226900002e-12,1
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109915184983.0,74.3726768467,-109915184983.0,-109915184931.0,-109915185036.0,-109915185031.0,-109915184936.0,2.0,5531.29506134,0.124973477615,0.00391569158796,0.249990803752,0.125333333333,1.0406674226900002e-12,6
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109944715061.0,188.349915092,-109944715061.0,-109944714928.0,-109944715194.0,-109944715181.0,-109944714941.0,2.0,35475.6905151,0.124973477615,0.00391597967592,0.250009196248,0.125333333333,1.0406674226900002e-12,11
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109974244456.0,275.685176863,-109974244456.0,-109974244261.0,-109974244651.0,-109974244631.0,-109974244280.0,2.0,76002.3167418,0.124973477615,0.00391597967592,0.250009196248,0.125333333333,1.0406674226900002e-12,16
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110003774656.0,100.60859777,-110003774656.0,-110003774585.0,-110003774727.0,-110003774720.0,-110003774592.0,2.0,10122.0899452,0.124973477615,0.00195798983796,0.125004598124,0.125333333333,1.0406674226900002e-12,21
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440629113886.0,525682.506159,-440629113886.0,-440628742172.0,-440629485600.0,-440629448428.0,-440628779344.0,2.0,276342097281.0,0.25,0.00779080681749,0.124986205628,0.249333333333,1.0406674226900002e-12,27
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440658898620.0,60829.9680365,-440658898620.0,-440658855607.0,-440658941633.0,-440658937332.0,-440658859908.0,2.0,3700285011.32,0.25,0.0155827601005,0.249990803752,0.249333333333,1.0406674226900002e-12,32
