npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,837547540.821,5986313.11738,837547540.821,841780503.42,833314578.221,833737874.481,841357207.16,2.0,35835944739300.0,0.00781280028334,1.74117872884e-13,0.25,35,0.249995200952,0.125007204196
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,821909020.888,2380089.21712,821909020.888,823591998.113,820226043.663,820394341.385,823423700.391,2.0,5664824681430.0,0.00390621683414,1.74117872884e-13,0.25,10,0.124991734973,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,808015296.29,5340874.27467,808015296.29,811791864.707,804238727.873,804616384.715,811414207.865,2.0,28524938017800.0,0.00779006882203,1.74117872884e-13,0.124645892351,79,0.250004799048,0.249985591609
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,783542456.565,2140641.13263,783542456.565,785056118.426,782028794.704,782180160.89,784904752.239,2.0,4582344458710.0,0.00781313356976,1.74117872884e-13,0.25,60,0.250005865503,0.125007204196
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,766608609.461,1380743.71897,766608609.461,767584942.708,765632276.214,765729909.539,767487309.383,2.0,1906453217480.0,0.00389503441102,1.74117872884e-13,0.124645892351,104,0.125002399524,0.249985591609
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,734838819.301,5175830.89259,734838819.301,738498684.423,731178954.179,731544940.691,738132697.911,2.0,26789225428700.0,0.00781310024112,1.74117872884e-13,0.25,85,0.250004799048,0.125007204196
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,682091877.073,4230795.25707,682091877.073,685083501.089,679100253.057,679399415.458,684784338.687,2.0,17899628507300.0,0.00390655012056,1.74117872884e-13,0.25,110,0.125002399524,0.125007204196
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,675745257.368,7210431.28343,675745257.368,680843802.224,670646712.512,671156566.998,680333947.738,2.0,51990319293100.0,0.00389533385232,1.74117872884e-13,0.124645892351,30,0.249995200952,0.125007204196
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,639719982.645,1684343.53686,639719982.645,640910993.382,638528971.908,638648072.982,640791892.308,2.0,2837013150170.0,0.00194757553204,1.74117872884e-13,0.124645892351,5,0.124991734973,0.125007204196
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,615119083.14,16973835.9342,615119083.14,627121397.632,603116768.648,604317000.098,625921166.183,2.0,288111106320000.0,0.00389550002345,1.74117872884e-13,0.124645892351,55,0.250005865503,0.125007204196
