npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight
769.0,-174.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-19664674.7965,25229812.5762,-19664674.7965,-1824503.23577,-37504846.3572,-35720829.2011,-3608520.39184,2.0,636543442632000.0,100,0.125008698073,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-620.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-77896125.5502,2789546.91254,-77896125.5502,-75923618.0119,-79868633.0885,-79671382.3347,-76120868.7657,2.0,7781571977270.0,108,0.249982603855,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00779885513362
769.0,-620.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-99707917.3151,14364156.9112,-99707917.3151,-89550924.5572,-109864910.073,-108849210.797,-90566623.833,2.0,206329003768000.0,84,0.250017396145,0.250000900828,4.2140306427499993e-14,0.249579831933,0.0155998811385
769.0,-620.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-123774128.368,2920875.08622,-123774128.368,-121708757.788,-125839498.949,-125632961.891,-121915294.846,2.0,8531511269330.0,60,0.125008698073,0.250000900828,4.2140306427499993e-14,0.249579831933,0.00779994056927
769.0,-323.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-144301820.331,36732222.4499,-144301820.331,-118328216.748,-170275423.913,-167678063.555,-120925577.107,2.0,1349256166110000.0,119,0.250017396145,0.125000450414,4.2140306427499993e-14,0.250420168067,0.00782620299543
769.0,-323.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-163153340.622,47250185.4713,-163153340.622,-129742414.063,-196564267.182,-193223174.526,-133083506.719,2.0,2232580027070000.0,95,0.125008698073,0.250000900828,4.2140306427499993e-14,0.250420168067,0.00782620299543
769.0,-769.0,-11399.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-237817130.608,31706776.5073,-237817130.608,-215397053.93,-260237207.286,-257995199.618,-217639061.598,2.0,1005319676490000.0,103,0.249982603855,0.125000450414,4.2140306427499993e-14,0.125210084034,0.00391255695256
769.0,-472.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-249517645.092,1331553.91461,-249517645.092,-248576094.29,-250459195.895,-250365040.814,-248670249.37,2.0,1773035827520.0,114,0.250017396145,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00779994056927
769.0,-769.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-259132297.005,6352754.8589,-259132297.005,-254640220.965,-263624373.045,-263175165.441,-255089428.569,2.0,40357494297200.0,79,0.250017396145,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00782620299543
769.0,-174.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-289590210.445,7283973.58869,-289590210.445,-284439663.326,-294740757.563,-294225702.852,-284954718.038,2.0,53056271240700.0,125,0.125008698073,0.125000450414,4.2140306427499993e-14,0.125210084034,0.00195655074886
769.0,-769.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,1387618.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-326599063.452,26588867.5969,-326599063.452,-307797894.87,-345400232.033,-343520115.175,-309678011.728,2.0,706967880088000.0,55,0.125008698073,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-472.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-329894501.026,8222070.48117,-329894501.026,-324080619.234,-335708382.819,-335126994.64,-324662007.413,2.0,67602442997300.0,90,0.125008698073,0.250000900828,4.2140306427499993e-14,0.249579831933,0.00779994056927
769.0,-620.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-383758256.011,2660721.00651,-383758256.011,-381876842.145,-385639669.878,-385451528.491,-382064983.531,2.0,7079436274510.0,109,0.250017396145,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00779994056927
769.0,-323.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-413096909.891,11563492.9397,-413096909.891,-404920285.619,-421273534.163,-420455871.735,-405737948.046,2.0,133714368966000.0,120,0.125008698073,0.125000450414,4.2140306427499993e-14,0.250420168067,0.00391310149772
769.0,-620.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-414036588.275,1310205.54329,-414036588.275,-413110133.051,-414963043.5,-414870397.977,-413202778.573,2.0,1716638565660.0,85,0.125008698073,0.250000900828,4.2140306427499993e-14,0.249579831933,0.00779994056927
769.0,-769.0,-7806.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-532654547.094,7406678.56004,-532654547.094,-527417234.458,-537891859.73,-537368128.466,-527940965.721,2.0,54858887291800.0,104,0.250017396145,0.125000450414,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-769.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2081427.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-585105168.618,33241955.8454,-585105168.618,-561599556.22,-608610781.016,-606260219.776,-563950117.46,2.0,1105027628430000.0,80,0.125008698073,0.250000900828,4.2140306427499993e-14,0.125210084034,0.00391310149772
769.0,-472.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-603429294.936,58379611.9477,-603429294.936,-562148675.445,-644709914.428,-640581852.479,-566276737.394,2.0,3408179091170000.0,115,0.125008698073,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00389997028464
769.0,-620.0,-4213.0,-1e+200,-1e+200,-1e+200,-1e+200,2775236.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-749654284.61,3381843.38034,-749654284.61,-747262960.222,-752045608.997,-751806476.558,-747502092.661,2.0,11436864649200.0,110,0.125008698073,0.125000450414,4.2140306427499993e-14,0.249579831933,0.00389997028464
