smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-378591248.59,4354254.65261,-378591248.59,-375512325.598,-381670171.582,-381362279.283,-375820217.897,2.0,18959533579800.0,40,0.125018050542,0.249546279492,1.83230531396e-13,0.249996504259,0.0077993382861
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-383926404.332,2811354.62903,-383926404.332,-381938476.41,-385914332.255,-385715539.463,-382137269.202,2.0,7903714850160.0,95,0.125018050542,0.249546279492,1.83230531396e-13,0.250003495741,0.00779955640487
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-423180668.819,1826716.41816,-423180668.819,-421888985.252,-424472352.385,-424343184.029,-422018153.609,2.0,3336892872390.0,54,0.25,0.125226860254,1.83230531396e-13,0.250003495741,0.00782678820604
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-433607629.923,2298528.05179,-433607629.923,-431982325.151,-435232934.695,-435070404.218,-432144855.628,2.0,5283231204860.0,109,0.25,0.250453720508,1.83230531396e-13,0.125001398296,0.00782676631801
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-458223878.601,5333539.20362,-458223878.601,-454452496.862,-461995260.34,-461618122.166,-454829635.036,2.0,28446640436600.0,65,0.125018050542,0.249546279492,1.83230531396e-13,0.250003495741,0.00779955640487
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-459165638.397,479987.934435,-459165638.397,-458826235.674,-459505041.12,-459471100.848,-458860175.946,2.0,230388417203.0,120,0.125018050542,0.249546279492,1.83230531396e-13,0.125001398296,0.0038997672965
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-508613883.964,4279960.65952,-508613883.964,-505587494.759,-511640273.17,-511337634.249,-505890133.679,2.0,18318063247000.0,79,0.25,0.125226860254,1.83230531396e-13,0.250003495741,0.00782678820604
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-533469367.646,4083089.73547,-533469367.646,-530582187.206,-536356548.086,-536067830.042,-530870905.25,2.0,16671621787900.0,10,0.125018050542,0.250453720508,1.83230531396e-13,0.124995105963,0.00391375124775
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-540862025.341,1626199.15701,-540862025.341,-539712128.89,-542011921.793,-541896932.148,-539827118.535,2.0,2644523698270.0,35,0.125018050542,0.250453720508,1.83230531396e-13,0.249996504259,0.00782769951624
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-547964562.219,9922200.92208,-547964562.219,-540948506.663,-554980617.775,-554279012.22,-541650112.218,2.0,98450071138100.0,90,0.125018050542,0.249546279492,1.83230531396e-13,0.250003495741,0.00779955640487
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-582757749.429,4833849.98892,-582757749.429,-579339701.323,-586175797.536,-585833992.725,-579681506.134,2.0,23366105715400.0,104,0.25,0.125226860254,1.83230531396e-13,0.125001398296,0.003913383159
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-627163519.62,16107429.4622,-627163519.62,-615773847.02,-638553192.22,-637414224.96,-616912814.28,2.0,259449283879000.0,60,0.125018050542,0.250453720508,1.83230531396e-13,0.250003495741,0.00782791842816
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-628349565.562,2338497.74082,-628349565.562,-626695997.951,-630003133.172,-629837776.411,-626861354.712,2.0,5468571683820.0,115,0.125018050542,0.249546279492,1.83230531396e-13,0.125001398296,0.0038997672965
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-688374688.691,392919.843822,-688374688.691,-688096852.405,-688652524.977,-688624741.348,-688124636.033,2.0,154386003669.0,5,0.125018050542,0.125226860254,1.83230531396e-13,0.124995105963,0.00195687562387
