smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-966157748.76,2165409.29279,-966157748.76,-964626573.166,-967688924.355,-967535806.796,-964779690.725,2.0,4688997405300.0,104,0.25,3.66466187075e-13,0.125226860254,0.0039134597688,0.125003845369
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-967355096.951,343103.741575,-967355096.951,-967112485.969,-967597707.934,-967573446.835,-967136747.067,2.0,117720177483.0,95,0.125018050542,3.66466187075e-13,0.249546279492,0.00779964365513,0.250006292421
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1005667732.11,1125006.8349,-1005667732.11,-1004872232.15,-1006463232.08,-1006383682.08,-1004951782.15,2.0,1265640378570.0,120,0.125018050542,3.66466187075e-13,0.249546279492,0.00389984363975,0.125003845369
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1038282054.09,1047073.83105,-1038282054.09,-1037541661.08,-1039022447.09,-1038948407.79,-1037615700.38,2.0,1096363607680.0,15,0.125018050542,3.66466187075e-13,0.249546279492,0.00389940739611,0.12498986221
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1044421863.12,1460612.40753,-1044421863.12,-1043389054.18,-1045454672.05,-1045351391.16,-1043492335.07,2.0,2133388605040.0,40,0.125018050542,3.66466187075e-13,0.249546279492,0.00779925103585,0.249993707579
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1082032069.72,1000724.54988,-1082032069.72,-1081324450.61,-1082739688.84,-1082668926.93,-1081395212.52,2.0,1001449624740.0,65,0.125018050542,3.66466187075e-13,0.249546279492,0.00779964365513,0.250006292421
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1121106102.07,1064805.60603,-1121106102.07,-1120353170.8,-1121859033.33,-1121783740.21,-1120428463.93,2.0,1133810978640.0,90,0.125018050542,3.66466187075e-13,0.249546279492,0.00779964365513,0.250006292421
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1162166392.18,1009945.50132,-1162166392.18,-1161452252.86,-1162880531.49,-1162809117.56,-1161523666.79,2.0,1019989915630.0,115,0.125018050542,3.66466187075e-13,0.249546279492,0.00389984363975,0.125003845369
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1199067958.83,78625.0028756,-1199067958.83,-1199012362.56,-1199123555.11,-1199117995.48,-1199017922.19,2.0,6181891077.18,10,0.125018050542,3.66466187075e-13,0.250453720508,0.00391358705936,0.12498986221
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1199902915.76,911731.821836,-1199902915.76,-1199258224.0,-1200547607.51,-1200483138.34,-1199322693.18,2.0,831254914949.0,35,0.125018050542,3.66466187075e-13,0.250453720508,0.00782761194871,0.249993707579
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1239520865.8,1730094.23434,-1239520865.8,-1238297504.44,-1240744227.17,-1240621891.03,-1238419840.57,2.0,2993226059710.0,60,0.125018050542,3.66466187075e-13,0.250453720508,0.00782800599569,0.250006292421
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1278746032.11,425545.609065,-1278746032.11,-1278445125.93,-1279046938.3,-1279016847.68,-1278475216.55,2.0,181089065394.0,85,0.125018050542,3.66466187075e-13,0.250453720508,0.00782800599569,0.250006292421
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1318749396.14,1789488.10659,-1318749396.14,-1317484036.96,-1320014755.31,-1319888219.39,-1317610572.88,2.0,3202267683620.0,110,0.125018050542,3.66466187075e-13,0.250453720508,0.00391402488934,0.125003845369
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1354999000.67,1155721.36121,-1354999000.67,-1354181782.26,-1355816219.08,-1355734497.24,-1354263504.1,2.0,1335691864760.0,30,0.125018050542,3.66466187075e-13,0.125226860254,0.00391380597435,0.249993707579
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1357654138.39,231712.871932,-1357654138.39,-1357490292.64,-1357817984.13,-1357801599.56,-1357506677.22,2.0,53690855019.2,5,0.125018050542,3.66466187075e-13,0.125226860254,0.00195679352968,0.12498986221
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1395255681.54,234121.695445,-1395255681.54,-1395090132.5,-1395421230.58,-1395404675.67,-1395106687.4,2.0,54812968278.1,55,0.125018050542,3.66466187075e-13,0.125226860254,0.00391400299785,0.250006292421
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1433128995.54,521657.950882,-1433128995.54,-1432760127.67,-1433497863.42,-1433460976.63,-1432797014.46,2.0,272127017719.0,80,0.125018050542,3.66466187075e-13,0.125226860254,0.00391400299785,0.250006292421
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1471667768.78,714883.367113,-1471667768.78,-1471162269.9,-1472173267.66,-1472122717.77,-1471212819.79,2.0,511058228575.0,105,0.125018050542,3.66466187075e-13,0.125226860254,0.00195701244467,0.125003845369
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-17115088704.4,90717.3539909,-17115088704.4,-17115024557.5,-17115152851.2,-17115146436.5,-17115030972.2,2.0,8229638315.11,1,0.125018050542,3.66466187075e-13,0.125226860254,0.00195679352968,0.12498986221
