npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,238695063.005,119951.227506,238695063.005,238779881.331,238610244.679,238618726.511,238771399.499,2.0,14388296980.3,0.0078336194825,1.0563053673200001e-12,54,0.25000913242,0.25,0.125333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,217276339.769,500727.640629,217276339.769,217630407.679,216922271.859,216957678.65,217595000.888,2.0,250728170090.0,0.0078336194825,1.0563053673200001e-12,79,0.25000913242,0.25,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,217143513.74,24199.6299309,217143513.74,217160625.462,217126402.017,217128113.19,217158914.29,2.0,585622088.792,0.00391596029216,1.0563053673200001e-12,100,0.25000913242,0.124972890913,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,195975851.248,264489.76544,195975851.248,196162873.755,195788828.741,195807530.992,196144171.504,2.0,69954836022.7,0.00195798014608,1.0563053673200001e-12,125,0.12500456621,0.124972890913,0.125333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,195626438.937,779470.919569,195626438.937,196177608.11,195075269.764,195130386.681,196122491.193,2.0,607574914453.0,0.00391680974125,1.0563053673200001e-12,104,0.12500456621,0.25,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,191112029.568,228299.76093,191112029.568,191273461.877,190950597.259,190966740.49,191257318.647,2.0,52120780840.5,0.00389456158541,1.0563053673200001e-12,20,0.12498630137,0.124972890913,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,182044771.118,479997.626799,182044771.118,182384180.695,181705361.541,181739302.499,182350239.738,2.0,230397721733.0,0.00778969230155,1.0563053673200001e-12,45,0.24999086758,0.124972890913,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,160427806.506,876418.019369,160427806.506,161047527.63,159808085.381,159870057.494,160985555.518,2.0,768108544674.0,0.00779026143228,1.0563053673200001e-12,70,0.25000913242,0.124972890913,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,139615262.522,56744.2507151,139615262.522,139655386.766,139575138.277,139579150.702,139651374.342,2.0,3219909989.21,0.00779026143228,1.0563053673200001e-12,95,0.25000913242,0.124972890913,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,117998543.647,466460.101055,117998543.647,118328380.747,117668706.546,117701690.256,118295397.037,2.0,217585025876.0,0.00389513071614,1.0563053673200001e-12,120,0.12500456621,0.124972890913,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,105487046.703,25360.9483772,105487046.703,105504979.602,105469113.804,105470907.094,105503186.312,2.0,643177702.59,0.00389456158541,1.0563053673200001e-12,15,0.12498630137,0.124972890913,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,101760464.986,134566.268265,101760464.986,101855617.707,101665312.265,101674827.537,101846102.435,2.0,18108080554.7,0.00778969230155,1.0563053673200001e-12,40,0.24999086758,0.124972890913,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,80206054.8708,177256.724645,80206054.8708,80331394.3028,80080715.4388,80093249.382,80318860.3596,2.0,31419946431.9,0.00779026143228,1.0563053673200001e-12,65,0.25000913242,0.124972890913,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,58045909.3064,396639.643802,58045909.3064,58326375.8882,57765442.7246,57793489.3827,58298329.23,2.0,157323007036.0,0.00779026143228,1.0563053673200001e-12,90,0.25000913242,0.124972890913,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,36869343.2065,348305.079972,36869343.2065,37115632.0904,36623054.3225,36647683.2109,37091003.202,2.0,121316428734.0,0.00389513071614,1.0563053673200001e-12,115,0.12500456621,0.124972890913,0.249333333333
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,19442970.0364,430392.671651,19442970.0364,19747303.6131,19138636.4597,19169069.8174,19716870.2554,2.0,185237851811.0,0.00783134841011,1.0563053673200001e-12,35,0.24999086758,0.124972890913,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,19357506.1816,392344.615066,19357506.1816,19634935.7195,19080076.6437,19107819.5975,19607192.7657,2.0,153934296971.0,0.00391538811795,1.0563053673200001e-12,10,0.12498630137,0.124972890913,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-2960581.45749,900035.824896,-2960581.45749,-2324160.02239,-3597002.89258,-3533360.74907,-2387802.1659,2.0,810064486097.0,0.00783192058432,1.0563053673200001e-12,60,0.25000913242,0.124972890913,0.250666666667
