smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-528581109.31,4469454.60665,-529451446.577,-522394306.759,-533027237.326,-532555256.935,-523388489.51,4.0,19976024480900.0,0.00779765499392,0.124990974078,1.7334191682000001e-13,108,0.249996693157,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-539068989.19,3114597.83324,-539344147.695,-535077693.157,-542509968.212,-542150310.071,-535602446.401,4.0,9700719662820.0,0.00782621714084,0.124990974078,1.7334191682000001e-13,119,0.250003306843,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-600306961.03,4370741.04241,-600786451.612,-594779300.149,-604875640.749,-604509249.122,-595433386.125,4.0,19103377259800.0,0.00391311892231,0.249981948155,1.7334191682000001e-13,96,0.125001984106,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-611760658.984,4450290.28779,-611410537.195,-607065191.066,-617156370.48,-616594663.419,-607416825.053,4.0,19805083645600.0,0.00779786128164,0.124990974078,1.7334191682000001e-13,113,0.250003306843,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-629221014.758,2633166.18509,-628565129.805,-626963038.853,-632790760.572,-632310575.636,-627049692.816,4.0,6933564158280.0,0.00391311892231,0.124990974078,1.7334191682000001e-13,124,0.125001984106,0.250453720508
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-653311439.626,4426038.43644,-653550804.561,-648127315.523,-658016833.862,-657676229.519,-648611538.826,4.0,19589816240800.0,0.00389871403872,0.124990974078,1.7334191682000001e-13,102,0.124994709051,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-685141411.663,4048080.04003,-685586162.861,-680010987.1,-689382333.83,-689036870.084,-680623301.565,4.0,16386952010500.0,0.00779765499392,0.124990974078,1.7334191682000001e-13,107,0.249996693157,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-701705076.553,5688097.55108,-703214870.247,-694185718.037,-706204847.68,-706176829.113,-695119612.821,4.0,32354453750600.0,0.00779786128164,0.124990974078,1.7334191682000001e-13,118,0.250003306843,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-771188033.976,4994897.877,-770033622.597,-766881510.406,-777803380.304,-776971185.641,-767021058.241,4.0,24949004801700.0,0.00779786128164,0.124990974078,1.7334191682000001e-13,112,0.250003306843,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-785639872.489,3141504.09256,-784989727.437,-782569039.032,-790010996.051,-789308120.352,-782881827.7,4.0,9869047963580.0,0.0038989409552,0.124990974078,1.7334191682000001e-13,123,0.125001984106,0.249546279492
