smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-369371953.152,26254852.8189,-358332020.022,-344108156.725,-422107943.549,-415978349.737,-346629332.576,10.0,689317296542000.0,0.250007275152,117,0.249546279492,0.00779798505727,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-397216728.976,33822201.979,-410217872.292,-345921143.814,-436260713.845,-431760098.383,-347468034.416,10.0,1143941346710000.0,0.125002976198,122,0.249546279492,0.00389897189959,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-446219619.352,44533881.1906,-461409829.792,-366336100.712,-515474280.683,-498943711.591,-379286279.517,10.0,1983266573900000.0,0.249992724848,106,0.125226860254,0.00391294293863,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-463380648.896,25082399.6268,-456752914.108,-430490078.244,-514907384.812,-500896253.059,-435455423.978,10.0,629126771039000.0,0.250007275152,111,0.125226860254,0.00391317068328,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-486687749.465,39641508.182,-493810687.391,-416601132.114,-529734022.365,-528044784.936,-426845713.747,10.0,1571449170940000.0,0.12498974865,101,0.125226860254,0.00195636794902,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-521949844.517,36446822.0287,-534386173.699,-451100385.086,-563466480.448,-559899615.62,-459204777.198,10.0,1328370835990000.0,0.250007275152,116,0.125226860254,0.00391317068328,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-559750894.871,39979442.6986,-563061434.189,-503992124.337,-626630982.746,-615793263.795,-509944003.79,10.0,1598355838490000.0,0.125002976198,121,0.125226860254,0.00195657498961,0.124990974078,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161405281926.0,8774.36059051,-161405278924.0,-161405266691.0,-161405293438.0,-161405292799.0,-161405270280.0,10.0,76989403.7723,0.12498974865,1,0.125226860254,0.00195636794902,0.124990974078,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161450576216.0,8038.30331702,-161450578323.0,-161450559807.0,-161450586265.0,-161450584687.0,-161450563605.0,10.0,64614320.2164,0.249992724848,6,0.125226860254,0.00391294293863,0.124990974078,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161495875963.0,7088.87276215,-161495875150.0,-161495865525.0,-161495885405.0,-161495885157.0,-161495866410.0,10.0,50252117.038,0.250007275152,11,0.125226860254,0.00391317068328,0.124990974078,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161541180055.0,5822.08196594,-161541180806.0,-161541166959.0,-161541187534.0,-161541186565.0,-161541171078.0,10.0,33896638.4181,0.250007275152,16,0.125226860254,0.00391317068328,0.124990974078,3.46688419418e-13
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161586478551.0,7714.67673611,-161586477711.0,-161586470392.0,-161586494515.0,-161586489498.0,-161586470429.0,10.0,59516237.1427,0.125002976198,21,0.125226860254,0.00195657498961,0.124990974078,3.46688419418e-13
