smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1644724716.09,20681192.6086,-1644724716.09,-1630100904.56,-1659348527.63,-1657886146.48,-1631563285.71,2.0,427711727715000.0,5.2351036610599995e-14,0.249963898917,103,0.125226860254,0.00391278678529,0.125000399509
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1647062777.35,4711661.25967,-1647062777.35,-1643731129.73,-1650394424.98,-1650061260.22,-1644064294.49,2.0,22199751825900.0,5.2351036610599995e-14,0.125018050542,60,0.250453720508,0.00782784024501,0.250000998773
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1662868999.44,55341436.5882,-1662868999.44,-1623736694.35,-1702001304.53,-1698088074.02,-1627649924.86,2.0,3062674603650000.0,5.2351036610599995e-14,0.125018050542,95,0.249546279492,0.00779947850499,0.250000998773
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1724118245.08,5149280.75292,-1724118245.08,-1720477153.74,-1727759336.42,-1727395227.29,-1720841262.88,2.0,26515092272400.0,5.2351036610599995e-14,0.25,79,0.125226860254,0.00782671003417,0.250000998773
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1750394126.59,7802744.68025,-1750394126.59,-1744876752.91,-1755911500.26,-1755359762.9,-1745428490.28,2.0,60882824545200.0,5.2351036610599995e-14,0.25,114,0.249546279492,0.00779834615812,0.125000399509
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1825757132.83,17270400.9863,-1825757132.83,-1813545115.17,-1837969150.48,-1836747948.71,-1814766316.94,2.0,298266750229000.0,5.2351036610599995e-14,0.125018050542,90,0.249546279492,0.00779947850499,0.250000998773
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1835746125.76,7394813.53063,-1835746125.76,-1830517202.97,-1840975048.56,-1840452156.28,-1831040095.25,2.0,54683267152800.0,5.2351036610599995e-14,0.125018050542,55,0.125226860254,0.0039139201225,0.250000998773
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1848009181.86,37536331.4024,-1848009181.86,-1821466987.38,-1874551376.33,-1871897156.89,-1824121206.83,2.0,1408976175150000.0,5.2351036610599995e-14,0.125018050542,125,0.125226860254,0.00195695849761,0.125000399509
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1912761601.11,19260969.9407,-1912761601.11,-1899142038.65,-1926381163.57,-1925019207.32,-1900503994.9,2.0,370984963055000.0,5.2351036610599995e-14,0.25,109,0.250453720508,0.00782670378051,0.125000399509
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1983755551.38,2674780.17111,-1983755551.38,-1981864196.18,-1985646906.58,-1985457771.06,-1982053331.7,2.0,7154448963780.0,5.2351036610599995e-14,0.125018050542,85,0.250453720508,0.00782784024501,0.250000998773
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1993108403.91,9471564.0402,-1993108403.91,-1986410996.75,-1999805811.08,-1999136070.36,-1987080737.47,2.0,89710525367500.0,5.2351036610599995e-14,0.125018050542,120,0.249546279492,0.00389973613654,0.125000399509
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2098273491.11,61560055.4625,-2098273491.11,-2054743958.44,-2141803023.78,-2137450070.51,-2059096911.71,2.0,3789640428540000.0,5.2351036610599995e-14,0.25,104,0.125226860254,0.00391335189026,0.125000399509
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2176400342.83,19530915.9841,-2176400342.83,-2162589899.7,-2190210785.97,-2188829741.65,-2163970944.01,2.0,381456679179000.0,5.2351036610599995e-14,0.125018050542,80,0.125226860254,0.0039139201225,0.250000998773
