smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
720.0,-224.1,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2587717611.82,8695052.83669,-2587717611.82,-2581569280.99,-2593865942.64,-2593251109.56,-2582184114.08,2.0,75603943832900.0,0.0,0.0714285714286,0.0714229782537,0.00072862957654,48,0.142822580645
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2590492708.96,3477864.30504,-2590492708.96,-2588033487.52,-2592951930.39,-2592706008.25,-2588279409.66,2.0,12095540124300.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,14,0.142822580645
720.0,-401.3,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2596357892.96,2186236.61168,-2596357892.96,-2594811990.22,-2597903795.69,-2597749205.42,-2594966580.5,2.0,4779630522250.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291630355421,95,0.142903225806
720.0,-401.3,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2602912966.4,3317275.9758,-2602912966.4,-2600567298.06,-2605258634.73,-2605024067.9,-2600801864.89,2.0,11004319899600.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145808199845,31,0.142903225806
720.0,-224.1,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2617155396.63,4293707.35436,-2617155396.63,-2614119287.05,-2620191506.22,-2619887895.26,-2614422898.01,2.0,18435922844900.0,0.0,0.0714285714286,0.14285279261,0.00145732889235,112,0.142822580645
720.0,-667.0,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2647695453.71,7833877.56059,-2647695453.71,-2642156065.77,-2653234841.66,-2652680902.86,-2642710004.56,2.0,61369637634300.0,1.28667840979e-13,0.142857142857,0.14285279261,0.0014581517771,70,0.0714516129032
720.0,-667.0,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2690064492.19,3493284.50426,-2690064492.19,-2687594367.02,-2692534617.35,-2692287604.83,-2687841379.54,2.0,12203036627700.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.000729040999226,6,0.0714516129032
720.0,-312.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2702077618.67,884852.086231,-2702077618.67,-2701451933.76,-2702703303.58,-2702640735.09,-2701514502.25,2.0,782963214507.0,0.0,0.0714285714286,0.0714229782537,0.000729040999226,40,0.142903225806
720.0,-489.9,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2705678364.98,12817661.5115,-2705678364.98,-2696614909.61,-2714741820.35,-2713835474.82,-2697521255.14,2.0,164292446623000.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,87,0.142822580645
720.0,-489.9,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2709798062.07,10835346.9288,-2709798062.07,-2702136314.78,-2717459809.36,-2716693634.63,-2702902489.5,2.0,117404743067000.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,23,0.142822580645
