smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3368540831.5,20005112.2969,-3368540831.5,-3354395080.93,-3382686582.06,-3381272007.0,-3355809655.99,2.0,400204518010000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,111
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3376652121.34,22014590.4177,-3376652121.34,-3361085455.17,-3392218787.51,-3390662120.89,-3362642121.79,2.0,484642191258000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,150
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3396930033.72,37750204.6102,-3396930033.72,-3370236608.05,-3423623459.39,-3420954116.83,-3372905950.62,2.0,1425077948110000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,47
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3406444092.42,22510858.8108,-3406444092.42,-3390526511.51,-3422361673.34,-3420769915.24,-3392118269.6,2.0,506738764399000.0,0.0714206061936,9.835748238069999e-14,0.0714534883721,0.000364517961013,0.0714285714286,64
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3411664855.44,27419149.9382,-3411664855.44,-3392276588.59,-3431053122.3,-3429114295.61,-3394215415.27,2.0,751809783334000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,22
960.0,-784.1,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3475285114.67,12658623.0701,-3475285114.67,-3466334116.45,-3484236112.88,-3483341013.06,-3467229216.27,2.0,160240738030000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,78
960.0,-784.1,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3486541527.76,21789139.0814,-3486541527.76,-3471134279.76,-3501948775.76,-3500408050.96,-3472675004.56,2.0,474766581907000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,142
960.0,-415.6,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3489003960.78,26230356.4616,-3489003960.78,-3470456297.86,-3507551623.71,-3505696857.42,-3472311064.15,2.0,688031600100000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,103
960.0,-415.6,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3507833631.55,32821069.799,-3507833631.55,-3484625630.53,-3531041632.57,-3528720832.47,-3486946430.63,2.0,1077222622750000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,39
960.0,-415.6,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3511172542.19,32102700.2405,-3511172542.19,-3488472505.16,-3533872579.23,-3531602575.52,-3490742508.86,2.0,1030583362730000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,167
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3522326940.39,98780085.9155,-3522326940.39,-3452478871.8,-3592175008.99,-3585190202.13,-3459463678.66,2.0,9757505373480000.0,0.142850352821,9.835748238069999e-14,0.0714534883721,0.000729082573159,0.0714285714286,128
960.0,-784.1,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3530709885.5,12571446.6566,-3530709885.5,-3521820530.32,-3539599240.68,-3538710305.17,-3522709465.84,2.0,158041271040000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,14
960.0,-169.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3579508953.67,44981902.7013,-3579508953.67,-3547701945.23,-3611315962.1,-3608135261.25,-3550882646.08,2.0,2023371570630000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00145757191396,0.0714285714286,120
960.0,-907.0,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3586018966.7,5069220.24069,-3586018966.7,-3582434486.7,-3589603446.71,-3589244998.71,-3582792934.7,2.0,25696993848600.0,0.142850352821,9.835748238069999e-14,0.0714534883721,0.00145816514632,0.142857142857,70
960.0,-169.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3595226095.51,11606064.3055,-3595226095.51,-3587019368.74,-3603432822.28,-3602612149.61,-3587840041.41,2.0,134700728664000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.000728739324824,0.0714285714286,56
960.0,-538.4,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3634557885.58,10825701.9121,-3634557885.58,-3626902958.35,-3642212812.81,-3641447320.09,-3627668451.07,2.0,117195821889000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,159
960.0,-538.4,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3648048935.04,59072072.9678,-3648048935.04,-3606278671.66,-3689819198.41,-3685642172.07,-3610455698.0,2.0,3489509804710000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,95
960.0,-538.4,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3650399153.36,5950791.99367,-3650399153.36,-3646191307.99,-3654606998.73,-3654186214.19,-3646612092.52,2.0,35411925351900.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,31
960.0,-907.0,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3670781659.72,1661020.95504,-3670781659.72,-3669607140.54,-3671956178.9,-3671838726.99,-3669724592.46,2.0,2758990613100.0,0.0714206061936,9.835748238069999e-14,0.0714534883721,0.000729035922026,0.142857142857,6
960.0,-907.0,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3681434895.85,62561693.7608,-3681434895.85,-3637197097.95,-3725672693.75,-3721248913.96,-3641620877.74,2.0,3913965526220000.0,0.142859493254,9.835748238069999e-14,0.0714534883721,0.00145825844858,0.142857142857,134
960.0,-292.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3718831703.63,29802360.1849,-3718831703.63,-3697758252.65,-3739905154.61,-3737797809.52,-3699865597.75,2.0,888180672589000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.000728739324824,0.0714285714286,48
960.0,-661.3,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3765996692.67,45343955.8186,-3765996692.67,-3733933674.03,-3798059711.32,-3794853409.45,-3737139975.89,2.0,2056074329280000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,87
