smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-254.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-460214020.011,10919638.5583,-460214020.011,-452492669.538,-467935370.484,-467163235.436,-453264804.585,2.0,119238506245000.0,168,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-479742702.563,13127159.8708,-479742702.563,-470460398.801,-489025006.325,-488096775.949,-471388629.177,2.0,172322326273000.0,27,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-47.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-498568622.724,14734943.4628,-498568622.724,-488149444.281,-508987801.167,-507945883.322,-489191362.125,2.0,217118558852000.0,100,0.055548424363,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.000171717279105
720.0,-185.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-520469623.517,5589594.40762,-520469623.517,-516517183.408,-524422063.627,-524026819.616,-516912427.419,2.0,31243565641700.0,79,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-323.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-524353177.4,2552982.99059,-524353177.4,-522547945.815,-526158408.985,-525977885.827,-522728468.974,2.0,6517722150220.0,158,0.111128939092,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136420151812
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-527246469.2,18161000.3823,-527246469.2,-514404702.676,-540088235.723,-538804059.071,-515688879.328,2.0,329821934886000.0,127,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-391.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-527646602.319,6151696.50102,-527646602.319,-523296696.007,-531996508.63,-531561517.999,-523731686.638,2.0,37843369840600.0,48,0.111128939092,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000682088768685
720.0,-598.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-547915959.509,2439486.84745,-547915959.509,-546190981.817,-549640937.202,-549468439.432,-546363479.586,2.0,5951096078890.0,17,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-566452931.418,8565914.62169,-566452931.418,-560395915.102,-572509947.735,-571904246.103,-561001616.734,2.0,73374893306100.0,69,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-598.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-602837172.868,2800921.46443,-602837172.868,-600856622.307,-604817723.429,-604619668.373,-601054677.363,2.0,7845161049930.0,117,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
