smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-430.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-390297787.186,14686609.5943,-388532311.893,-377434389.073,-406692135.883,-405492763.118,-377574476.663,4.0,215696501375000.0,0.110483870968,3.4776821570799994e-14,0.111109748728,515,0.111103979461,0.00136389413545
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-411071490.213,3174969.88607,-411628458.711,-406713548.182,-414315495.248,-413946914.667,-407416309.862,4.0,10080433777500.0,0.0556451612903,3.4776821570799994e-14,0.111111596344,241,0.111103979461,0.000686936206245
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-413568927.583,7771537.30619,-414447423.482,-403275764.498,-422105098.869,-421053162.072,-404854798.835,4.0,60396792101500.0,0.0556451612903,3.4776821570799994e-14,0.111109748728,411,0.111136071887,0.000687123202027
720.0,-361.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-419495047.912,5205732.99345,-420965301.547,-412100203.65,-423949384.905,-423667820.328,-413263920.408,4.0,27099655999100.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,606,0.111103979461,0.000686915437701
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-424887478.631,7724359.01603,-423726958.826,-418273108.635,-433822888.239,-433078571.12,-418321113.87,4.0,59665722208500.0,0.111290322581,3.4776821570799994e-14,0.111111596344,332,0.111136071887,0.00137426925605
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2315304.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-436071978.526,2033990.08143,-435714974.796,-433991663.848,-438866300.664,-438408787.481,-434234974.793,4.0,4137115651340.0,0.0556451612903,3.4776821570799994e-14,0.111111596344,71,0.0555519897304,0.000343468103122
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-439062909.814,20183272.6803,-433225483.782,-422387256.189,-467413415.502,-463185936.753,-423112279.32,4.0,407364496088000.0,0.111290322581,3.4776821570799994e-14,0.111111428379,423,0.111136071887,0.0013742671786
720.0,-567.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-439956321.964,7987676.22215,-436357707.002,-435203413.492,-451906460.358,-449609787.499,-435340917.374,4.0,63802971429900.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,503,0.111103979461,0.000686915437701
720.0,-498.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-443505851.514,9602594.18278,-439838888.795,-436968200.25,-457377428.217,-455151573.543,-436993877.293,4.0,92209815039100.0,0.110483870968,3.4776821570799994e-14,0.111109748728,514,0.111103979461,0.00136389413545
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-449423906.005,5307721.98407,-447878203.549,-444881252.969,-457057963.951,-455777211.093,-445234584.354,4.0,28171912660200.0,0.111290322581,3.4776821570799994e-14,0.111111428379,162,0.111103979461,0.00137387033564
