smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-787425533.303,13125553.9617,-787425533.303,-778144365.09,-796706701.517,-795778584.695,-779072481.912,2.0,172280166801000.0,1.8375228834e-12,0.25,0.125000979682,0.250079948833,119,0.00781505965071
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1052645.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-796214402.245,3660963.4269,-796214402.245,-793625710.18,-798803094.31,-798544225.103,-793884579.386,2.0,13402653213100.0,1.8375228834e-12,0.125,0.250001603116,0.125039974416,80,0.0039075242572
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-797007669.926,7042498.69567,-797007669.926,-792027871.342,-801987468.51,-801489488.652,-792525851.2,2.0,49596787878500.0,1.8375228834e-12,0.25,0.125000979682,0.249920051167,108,0.00781006280951
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-804241268.496,21883801.101,-804241268.496,-788767084.339,-819715452.652,-818168034.237,-790314502.755,2.0,478900750628000.0,1.8375228834e-12,0.125,0.125000979682,0.125039974416,125,0.00195376491268
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-809172791.557,9639538.61546,-809172791.557,-802356608.434,-815988974.679,-815307356.367,-803038226.746,2.0,92920704719000.0,1.8375228834e-12,0.25,0.125000979682,0.250079948833,114,0.00781505965071
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-828748253.115,14036088.1683,-828748253.115,-818823239.99,-838673266.24,-837680764.928,-819815741.302,2.0,197011771069000.0,1.8375228834e-12,0.125,0.125000979682,0.249920051167,103,0.00390503140475
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-834505458.956,9044402.12331,-834505458.956,-828110100.883,-840900817.029,-840261281.222,-828749636.69,2.0,81801209768000.0,1.8375228834e-12,0.25,0.125000979682,0.125039974416,120,0.00390752982536
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-841551931.333,3104014.98054,-841551931.333,-839357061.291,-843746801.374,-843527314.37,-839576548.295,2.0,9634908999390.0,1.8375228834e-12,0.25,0.125000979682,0.250079948833,109,0.00781505965071
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-880175956.754,1810941.44329,-880175956.754,-878895427.779,-881456485.729,-881328432.831,-879023480.676,2.0,3279508911020.0,1.8375228834e-12,0.25,0.125000979682,0.125039974416,115,0.00390752982536
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,1403527.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-886073185.732,5305034.42528,-886073185.732,-882321959.915,-889824411.548,-889449288.966,-882697082.497,2.0,28143390253400.0,1.8375228834e-12,0.125,0.125000979682,0.250079948833,104,0.00390752982536
