smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1903417065.82,18499878.8554,-1903417065.82,-1890335676.03,-1916498455.61,-1915190316.63,-1891643815.01,2.0,342245517664000.0,0.25,2.6175466018599997e-14,0.250000499385,0.125226860254,0.0078266944,79
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1918026516.56,3303404.93717,-1918026516.56,-1915690656.53,-1920362376.59,-1920128790.59,-1915924242.53,2.0,10912484178900.0,0.249963898917,2.6175466018599997e-14,0.125000249693,0.249546279492,0.00779721069797,113
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1981800380.28,45088219.8072,-1981800380.28,-1949918194.3,-2013682566.25,-2010494347.66,-1953106412.9,2.0,2032947565380000.0,0.25,2.6175466018599997e-14,0.125000249693,0.249546279492,0.00779833681159,119
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2000031857.53,5785038.13132,-2000031857.53,-1995941217.84,-2004122497.22,-2003713433.26,-1996350281.81,2.0,33466666180900.0,0.249963898917,2.6175466018599997e-14,0.125000249693,0.250453720508,0.00782556419142,108
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2061369950.2,43996707.1855,-2061369950.2,-2030259580.2,-2092480320.2,-2089369283.2,-2033370617.2,2.0,1935710243170000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.250453720508,0.00782782460857,85
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2120582699.54,5232860.97651,-2120582699.54,-2116882508.06,-2124282891.02,-2123912871.88,-2117252527.21,2.0,27382833999500.0,0.249963898917,2.6175466018599997e-14,0.125000249693,0.125226860254,0.00391278209571,103
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2135940796.1,49544131.2701,-2135940796.1,-2100907804.91,-2170973787.29,-2167470488.17,-2104411104.03,2.0,2454620943310000.0,0.125018050542,2.6175466018599997e-14,0.125000249693,0.125226860254,0.00195695615214,125
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2144784712.53,9774339.36022,-2144784712.53,-2137873210.88,-2151696214.17,-2151005064.01,-2138564361.05,2.0,95537709928800.0,0.25,2.6175466018599997e-14,0.125000249693,0.249546279492,0.00779833681159,114
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2205507831.79,12681450.1259,-2205507831.79,-2196540692.41,-2214474971.17,-2213578257.23,-2197437406.35,2.0,160819177295000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00391391230429,80
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2237004323.11,11842404.7007,-2237004323.11,-2228630478.44,-2245378167.78,-2244540783.31,-2229467862.91,2.0,140242549094000.0,0.125018050542,2.6175466018599997e-14,0.125000249693,0.249546279492,0.0038997314626,120
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2305428297.41,4953236.76633,-2305428297.41,-2301925830.1,-2308930764.71,-2308580517.98,-2302276076.83,2.0,24534554463300.0,0.25,2.6175466018599997e-14,0.125000249693,0.250453720508,0.0078266944,109
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2458328416.82,51353134.046,-2458328416.82,-2422016267.5,-2494640566.13,-2491009351.2,-2425647482.43,2.0,2637144376350000.0,0.25,2.6175466018599997e-14,0.125000249693,0.125226860254,0.0039133472,104
