smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2620029961.77,1170413.03389,-2620029961.77,-2619202354.77,-2620857568.76,-2620774808.06,-2619285115.47,2.0,1369866669890.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,111
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2621964420.55,962422.717445,-2621964420.55,-2621283884.92,-2622644956.18,-2622576902.61,-2621351938.48,2.0,926257487054.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,86
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2623998744.22,584786.218026,-2623998744.22,-2623585237.92,-2624412250.52,-2624370899.89,-2623626588.55,2.0,341974920794.0,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,47
720.0,-224.1,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2644076397.69,66532.5538217,-2644076397.69,-2644029352.07,-2644123443.31,-2644118738.75,-2644034056.64,2.0,4426580718.04,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,175
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2648769873.1,334710.929292,-2648769873.1,-2648533196.73,-2649006549.47,-2648982881.83,-2648556864.37,2.0,112031406187.0,0.00291480813247,0.142860161433,2.57338880493e-13,0.142857142857,0.142822580645,150
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2659046574.7,418230.132466,-2659046574.7,-2658750841.33,-2659342308.06,-2659312734.72,-2658780414.67,2.0,174916443702.0,0.000364496484229,0.0714182727564,0.0,0.0714285714286,0.0714516129032,64
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2659412212.44,909576.477661,-2659412212.44,-2658769044.74,-2660055380.13,-2659991063.36,-2658833361.51,2.0,827329368715.0,0.00145716314576,0.0714182727564,2.57338880493e-13,0.142857142857,0.142822580645,22
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2684691347.23,1695672.04371,-2684691347.23,-2683492326.03,-2685890368.43,-2685770466.31,-2683612228.15,2.0,2875303679810.0,0.000729050060791,0.142847732002,0.0,0.0714285714286,0.0714516129032,128
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2706332078.83,1153912.60037,-2706332078.83,-2705516139.4,-2707148018.25,-2707066424.31,-2705597733.34,2.0,1331514289280.0,0.000729113496717,0.142860161433,0.0,0.0714285714286,0.0714516129032,192
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,57469.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2715122988.3,3299969.81445,-2715122988.3,-2712789557.27,-2717456419.34,-2717223076.23,-2713022900.37,2.0,10889800776300.0,0.00291455453197,0.142847732002,2.57338880493e-13,0.142857142857,0.142822580645,78
