smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3645270898.73,14823905.6799,-3639908820.69,-3634388929.66,-3666877023.87,-3663262621.0,-3634786085.71,4.0,219748179607000.0,4.95258127397e-14,0.250000944804,61,0.125226860254,0.250018051845,0.00782727349068
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3647226374.26,35158710.7357,-3658076949.97,-3596817280.24,-3675934316.88,-3674356512.09,-3604905430.45,4.0,1236134940600000.0,4.95258127397e-14,0.250000944804,118,0.249546279492,0.124990974078,0.00779778760718
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3667762887.17,26558728.9539,-3669701752.13,-3640975536.07,-3690672508.36,-3690648493.55,-3642162869.85,4.0,705366083648000.0,4.95258127397e-14,0.250000944804,67,0.249546279492,0.250018051845,0.0155978276082
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3686295453.75,28848127.9667,-3686027948.84,-3651263434.43,-3721862482.89,-3716705819.48,-3656259594.9,4.0,832214487186000.0,4.95258127397e-14,0.250000944804,92,0.249546279492,0.249981948155,0.0155955752144
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3689172651.78,40643690.8313,-3700051919.63,-3633991189.35,-3722595578.5,-3721717111.38,-3641397217.18,4.0,1651909604390000.0,4.95258127397e-14,0.125000566882,99,0.250453720508,0.249981948155,0.0078261491138
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3698337692.0,16506678.0732,-3700822746.97,-3677342225.83,-3714363048.21,-3713431404.93,-3679764902.1,4.0,272470421012000.0,4.95258127397e-14,0.125000566882,73,0.249546279492,0.250018051845,0.00779891969886
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3713002407.22,3537135.97154,-3712980371.04,-3708788809.69,-3717260077.12,-3716754401.15,-3709281263.94,4.0,12511330881200.0,4.95258127397e-14,0.250000944804,42,0.249546279492,0.250018051845,0.0155978276082
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3733238083.37,18536803.108,-3730586924.97,-3717056609.78,-3754721873.74,-3752918392.73,-3717269395.75,4.0,343613069465000.0,4.95258127397e-14,0.250000944804,36,0.125226860254,0.250018051845,0.00782727349068
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3740516140.61,19940561.5042,-3736811705.75,-3723277239.92,-3765163911.03,-3762623775.55,-3723594714.49,4.0,397625993103000.0,4.95258127397e-14,0.125000566882,48,0.249546279492,0.250018051845,0.00779891969886
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3748676600.53,2154035.16208,-3748195823.15,-3746629646.37,-3751685109.47,-3751211029.95,-3746815259.46,4.0,4639867479490.0,4.95258127397e-14,0.249999055196,6,0.125226860254,0.124990974078,0.00391304202267
