smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-186952820.687,16874748.9107,-181659992.72,-169171986.553,-225437909.487,-215337528.084,-171528094.226,10.0,284757150800000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,617,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-187659379.228,15799877.0162,-187302060.695,-169356849.194,-219172609.542,-212149609.268,-170459764.307,10.0,249636113726000.0,1.73883786583e-14,0.11111130707,0.111290322581,0.00137426567821,323,0.111136071887
720.0,-567.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-210183108.561,22507102.1028,-214001757.744,-177503239.155,-242409993.422,-240329604.495,-178027993.615,10.0,506569645064000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,513,0.111103979461
720.0,-705.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-212752624.82,19503839.7712,-214032792.623,-178842412.344,-243095324.325,-238376821.567,-182766891.704,10.0,380399765820000.0,1.73883786583e-14,0.0555547717199,0.0556451612903,0.000343461757187,501,0.111103979461
720.0,-154.0,-2139.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-217878095.807,25853709.5046,-217214468.43,-162991989.725,-261958337.866,-249885172.61,-182264280.679,10.0,668414295150000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000343461757187,909,0.0555519897304
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-220088824.629,24881304.1857,-227312620.094,-185023337.594,-252845299.854,-248920954.739,-186184870.733,10.0,619079297982000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,603,0.111103979461
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-223999799.92,19902842.8941,-219787592.634,-190117345.019,-255226833.245,-252209684.994,-197751629.082,10.0,396123155268000.0,1.73883786583e-14,0.11111130707,0.111290322581,0.00137426567821,322,0.111136071887
720.0,-430.0,-5601.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-229853170.488,25311845.2199,-235088367.188,-190386932.192,-271793018.774,-262906927.261,-193139716.834,10.0,640689508436000.0,1.73883786583e-14,0.0555547717199,0.110483870968,0.000681945807749,705,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-235218720.5,8029512.90503,-235576261.656,-223668544.444,-246104505.772,-245427534.76,-225098369.085,10.0,64473077492000.0,1.73883786583e-14,0.11111130707,0.111290322581,0.00137386883568,132,0.111103979461
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-240389020.656,55650873.6464,-262889419.868,-162115582.673,-308014176.617,-303374524.505,-166639164.45,10.0,3097019737600000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,807,0.111103979461
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-249923486.355,26803358.1533,-244914303.642,-213596466.576,-283150683.743,-282522881.328,-216260243.311,10.0,718420008296000.0,1.73883786583e-14,0.111110467246,0.110483870968,0.0013639029554,615,0.111103979461
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-253732308.42,17309700.4684,-256395212.2,-225413427.654,-283519674.605,-276657514.376,-231413603.911,10.0,299625730307000.0,1.73883786583e-14,0.11111130707,0.110483870968,0.00136430723127,425,0.111136071887
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-261433895.185,7540268.32787,-262568933.042,-251391154.775,-277008023.365,-271456561.063,-251824825.332,10.0,56855646456300.0,1.73883786583e-14,0.11111130707,0.0556451612903,0.00068693441784,131,0.111103979461
720.0,-636.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-268417474.415,20631428.6605,-269808718.073,-242764096.36,-309269503.067,-298037731.347,-243220795.779,10.0,425655848572000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,512,0.111103979461
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-269781365.903,16139954.2885,-270009920.306,-250202547.577,-302321141.113,-294587259.446,-251083688.705,10.0,260498124434000.0,1.73883786583e-14,0.11111130707,0.0556451612903,0.000687132839105,321,0.111136071887
720.0,-223.0,-5601.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-273546599.572,20241707.4316,-269890784.869,-251207873.892,-322499914.111,-305400796.328,-254149907.479,10.0,409726719747000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137385845143,718,0.111103979461
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-287210300.541,19462455.3256,-286907268.674,-256346753.956,-323145623.645,-314114715.688,-262974190.502,10.0,378787167302000.0,1.73883786583e-14,0.11111130707,0.110483870968,0.00136430723127,424,0.111136071887
720.0,-636.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-300135354.365,23549720.4932,-306635433.449,-254417559.139,-339528779.438,-327257719.914,-261463830.271,10.0,554589335306000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,602,0.111103979461
