npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,651428596.453,7084233.4149,651428596.453,656437905.94,646419286.966,646920217.914,655936974.991,2.0,50186363076700.0,55,0.00390585806049,0.250000340497,0.125,0.124987287705,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,648366195.898,27689100.6697,648366195.898,667945346.747,628787045.05,630744960.135,665987431.662,2.0,766686295894000.0,83,0.0156266103201,0.250000340497,0.25,0.250025424591,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,580289965.351,47577766.8439,580289965.351,613932526.921,546647403.782,550011659.939,610568270.764,2.0,2263643897850000.0,95,0.00781171612099,0.250000340497,0.25,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,505966891.126,62544399.4713,505966891.126,550192460.117,461741322.134,466163879.033,545769903.218,2.0,3911801905230000.0,78,0.00781330516007,0.250000340497,0.125,0.250025424591,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,491746916.34,45594741.6526,491746916.34,523987267.349,459506565.331,462730600.431,520763232.248,2.0,2078880466370000.0,84,0.0156250212811,0.250000340497,0.25,0.25,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,373670149.316,141441335.022,373670149.316,473684276.45,273656022.181,283657434.895,463682863.736,2.0,2.00056512529e+16,90,0.00781171612099,0.250000340497,0.25,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,267780715.555,63040153.4474,267780715.555,312356835.545,223204595.566,227662207.565,307899223.546,2.0,3974060946680000.0,79,0.00781251064053,0.250000340497,0.125,0.25,8.656992832709999e-15
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,219358647.346,123691561.478,219358647.346,306821789.242,131895505.45,140641819.639,298075475.053,2.0,1.52996023807e+16,85,0.00781171612099,0.250000340497,0.25,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,138596179.737,11178808.841,138596179.737,146500791.274,130691568.2,131482029.354,145710330.12,2.0,124965767104000.0,101,0.00195292849827,0.125000136199,0.125,0.124987287705,8.656992832709999e-15
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,114913767.17,832558.336382,114913767.17,115502474.816,114325059.525,114383930.289,115443604.051,2.0,693153383480.0,113,0.00781330303175,0.125000136199,0.25,0.250025424591,8.656992832709999e-15
