smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1496855992.4,13457945.1524,-1491334894.36,-1487904226.58,-1516849954.31,-1513190104.72,-1488251417.35,4.0,181116287726000.0,0.125226860254,0.249981948155,4.95258127397e-14,86,0.00782614319848,0.250000944804
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1513793031.16,14764575.865,-1511988868.96,-1497963747.53,-1533230639.22,-1530507692.47,-1499604196.95,4.0,217992700473000.0,0.249546279492,0.249981948155,4.95258127397e-14,93,0.0155955752144,0.250000944804
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1560893202.8,10701455.7601,-1563993216.2,-1545705396.22,-1569880982.59,-1569378676.55,-1548067710.3,4.0,114521155386000.0,0.250453720508,0.124990974078,4.95258127397e-14,114,0.00782614319848,0.250000944804
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1572096763.94,13844212.9014,-1567752902.5,-1560837218.3,-1592044032.46,-1588776524.25,-1561498409.65,4.0,191662230860000.0,0.249546279492,0.124990974078,4.95258127397e-14,107,0.00779772866837,0.249999055196
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1575533288.41,10820945.4097,-1571438551.15,-1567755204.05,-1591500847.28,-1588651774.88,-1568147434.09,4.0,117092859560000.0,0.125226860254,0.250018051845,4.95258127397e-14,71,0.00391363970343,0.125000566882
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1648349125.38,16757303.2184,-1644249332.87,-1632955547.54,-1671942288.23,-1668201940.71,-1634236019.56,4.0,280807211154000.0,0.249546279492,0.249981948155,4.95258127397e-14,92,0.0155955752144,0.250000944804
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1665142904.44,12107879.0713,-1661723302.98,-1655009616.24,-1682115395.58,-1679593928.02,-1655479322.92,4.0,146600735606000.0,0.250453720508,0.249981948155,4.95258127397e-14,99,0.0078261491138,0.125000566882
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1711478144.95,15680210.2862,-1710703236.37,-1694076278.45,-1730429828.61,-1728385807.47,-1695655354.44,4.0,245868994620000.0,0.125226860254,0.124990974078,4.95258127397e-14,120,0.00391307159924,0.250000944804
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1719526474.17,12461491.8014,-1724101313.12,-1701136202.92,-1728767067.52,-1728135728.97,-1704512444.84,4.0,155288777916000.0,0.249546279492,0.124990974078,4.95258127397e-14,113,0.00779778760718,0.250000944804
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1723900562.78,7508577.47132,-1726003903.91,-1713243554.28,-1730350888.99,-1729938596.91,-1714917851.05,4.0,56378735642800.0,0.125226860254,0.124990974078,4.95258127397e-14,106,0.00391304202267,0.249999055196
