smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-646794703.444,15008223.8426,-646794703.444,-636182286.592,-657407120.297,-656345878.612,-637243528.277,2.0,225246782910000.0,0.25,95,0.00781257694194,0.125,0.250002462142,6.12351299001e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-688603376.664,5966843.49248,-688603376.664,-684384181.169,-692822572.16,-692400652.611,-684806100.718,2.0,35603221263700.0,0.125,54,0.00781257694194,0.25,0.250002462142,6.12351299001e-14
1200.0,-747.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-689051349.918,2793044.95352,-689051349.918,-687076368.891,-691026330.945,-690828832.842,-687273866.994,2.0,7801100112370.0,0.25,109,0.00781256155355,0.25,0.125000984857,6.12351299001e-14
1200.0,-347.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-757086726.868,1701138.78918,-757086726.868,-755883840.094,-758289613.641,-758169324.964,-756004128.771,2.0,2893873180060.0,0.25,120,0.00390628077678,0.125,0.125000984857,6.12351299001e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-761474164.714,2494712.33446,-761474164.714,-759710136.705,-763238192.723,-763061789.922,-759886539.506,2.0,6223589631710.0,0.25,65,0.00781257694194,0.125,0.250002462142,6.12351299001e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-805848593.611,1035681.6394,-805848593.611,-805116256.101,-806580931.122,-806507697.37,-805189489.852,2.0,1072636458190.0,0.125,79,0.00781257694194,0.25,0.250002462142,6.12351299001e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-843484003.117,4263161.95378,-843484003.117,-840469492.39,-846498513.844,-846197062.771,-840770943.463,2.0,18174549844200.0,0.25,10,0.00390614228128,0.125,0.124996553001,6.12351299001e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-866157155.869,10776755.5525,-866157155.869,-858536838.939,-873777472.799,-873015441.106,-859298870.632,2.0,116138460238000.0,0.25,90,0.00781257694194,0.125,0.250002462142,6.12351299001e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-868576028.212,5956688.75659,-868576028.212,-864364013.198,-872788043.225,-872366841.724,-864785214.7,2.0,35482140942900.0,0.25,35,0.00781242305806,0.125,0.249997537858,6.12351299001e-14
1200.0,-947.0,-8720.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-901154390.051,12612513.7576,-901154390.051,-892235996.045,-910072784.057,-909180944.656,-893127835.446,2.0,159075503285000.0,0.125,104,0.00390628077678,0.25,0.125000984857,6.12351299001e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,507693.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-971834438.821,8956873.82059,-971834438.821,-965500972.604,-978167905.037,-977534558.416,-966134319.226,2.0,80225588638000.0,0.25,60,0.00781257694194,0.125,0.250002462142,6.12351299001e-14
1200.0,-547.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-985752748.4,1539510.79172,-985752748.4,-984664149.879,-986841346.92,-986732487.068,-984773009.731,2.0,2370093477810.0,0.25,115,0.00390628077678,0.125,0.125000984857,6.12351299001e-14
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1063718265.51,2271029.25133,-1063718265.51,-1062112405.33,-1065324125.69,-1065163539.67,-1062272991.34,2.0,5157573860380.0,0.125,5,0.00195307114064,0.125,0.124996553001,6.12351299001e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,761540.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1092447767.65,70108.4612984,-1092447767.65,-1092398193.48,-1092497341.82,-1092492384.4,-1092403150.9,2.0,4915196345.63,0.25,85,0.00781257694194,0.125,0.250002462142,6.12351299001e-14
1200.0,-947.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,253847.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1105681274.95,1426899.20596,-1105681274.95,-1104672304.85,-1106690245.06,-1106589348.05,-1104773201.86,2.0,2036041343960.0,0.125,30,0.00390621152903,0.125,0.249997537858,6.12351299001e-14
1200.0,-747.0,-3694.0,-1e+200,-1e+200,-1e+200,-1e+200,1015386.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1212719765.8,9030113.44654,-1212719765.8,-1206334511.35,-1219105020.26,-1218466494.81,-1206973036.8,2.0,81542948857400.0,0.25,110,0.00390628077678,0.125,0.125000984857,6.12351299001e-14
