npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-123952261.174,16636298.7599,-123952261.174,-112188621.507,-135715900.841,-134539536.875,-113364985.474,2.0,276766436428000.0,0.250006184017,2.78193391732e-13,0.125210084034,0.0039129119137,0.125,116
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-132936934.386,19485802.5984,-132936934.386,-119158391.232,-146715477.54,-145337623.225,-120536245.547,2.0,379696502903000.0,0.250006184017,2.78193391732e-13,0.125210084034,0.00782582382741,0.25,66
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-161803074.071,19240567.8785,-161803074.071,-148197938.05,-175408210.092,-174047696.489,-149558451.652,2.0,370199452286000.0,0.125002473607,2.78193391732e-13,0.125210084034,0.00391289255617,0.25,96
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-166873254.544,7785950.57076,-166873254.544,-161367756.097,-172378752.99,-171828203.146,-161918305.942,2.0,60621026290300.0,0.250006184017,2.78193391732e-13,0.125210084034,0.00782582382741,0.25,41
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-187719808.279,8348055.15784,-187719808.279,-181816841.867,-193622774.691,-193032478.05,-182407138.508,2.0,69690024918300.0,0.125002473607,2.78193391732e-13,0.125210084034,0.00391289255617,0.25,71
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-190706448.038,19523214.3523,-190706448.038,-176901450.779,-204511445.297,-203130945.571,-178281950.505,2.0,381155898646000.0,0.125002473607,2.78193391732e-13,0.125210084034,0.00195644627809,0.125,121
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-204570280.208,899496.69621,-204570280.208,-203934239.994,-205206320.421,-205142716.4,-203997844.015,2.0,809094306493.0,0.125002473607,2.78193391732e-13,0.125210084034,0.00391289255617,0.25,46
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160368882869.0,4168500.48932,-160368882869.0,-160365935294.0,-160371830444.0,-160371535686.0,-160366230051.0,2.0,17376396329500.0,0.124991342377,2.78193391732e-13,0.250420168067,0.00782508824124,0.25,79
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160449209992.0,52139385.0361,-160449209992.0,-160412341880.0,-160486078105.0,-160482391294.0,-160416028691.0,2.0,2718515471950000.0,0.249993815983,2.78193391732e-13,0.250420168067,0.0156508733536,0.25,84
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160466524560.0,5005505.25122,-160466524560.0,-160462985134.0,-160470063987.0,-160469710044.0,-160463339076.0,2.0,25055082820000.0,0.250006184017,2.78193391732e-13,0.250420168067,0.0156516476548,0.25,89
