npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-125341225.165,2230508.29087,-125341225.165,-123764017.627,-126918432.703,-126760711.949,-123921738.381,2.0,4975167235630.0,0.0155977277282,84,0.25000088556,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-125780727.462,1260968.74441,-125780727.462,-124889087.912,-126672367.012,-126583203.057,-124978251.867,2.0,1590042174380.0,0.00779779684211,65,0.25000088556,4.07233133368e-14,0.124974348451,0.249579831933
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-131698870.446,1225472.6175,-131698870.446,-130832330.448,-132565410.444,-132478756.444,-130918984.448,2.0,1501783136230.0,0.00391199831061,30,0.24999911444,4.07233133368e-14,0.124974348451,0.125210084034
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-141388407.483,1724435.19068,-141388407.483,-140169047.666,-142607767.3,-142485831.318,-140290983.647,2.0,2973676726850.0,0.00391309663984,103,0.12500044278,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-153012363.316,5925611.72811,-153012363.316,-148822323.08,-157202403.551,-156783399.528,-149241327.103,2.0,35112874352300.0,0.00391202602517,100,0.25000088556,4.07233133368e-14,0.124974348451,0.125210084034
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160749808.094,21140677.4475,-160749808.094,-145801091.712,-175698524.476,-174203652.838,-147295963.351,2.0,446928242939000.0,0.00782512266501,119,0.12500044278,4.07233133368e-14,0.249982898967,0.250420168067
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-287592843.183,25968731.5694,-287592843.183,-269230176.991,-305955509.374,-304119242.755,-271066443.611,2.0,674375019324000.0,0.00782405205033,95,0.25000088556,4.07233133368e-14,0.124974348451,0.250420168067
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-291296073.608,15859288.5832,-291296073.608,-280081863.106,-302510284.11,-301388863.06,-281203284.156,2.0,251517034366000.0,0.00779886386412,114,0.12500044278,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-297467638.183,36710848.5998,-297467638.183,-271509148.195,-323426128.171,-320830279.173,-274104997.194,2.0,1347686404920000.0,0.00782512266501,79,0.25000088556,4.07233133368e-14,0.249982898967,0.125210084034
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-304862980.402,7300712.6837,-304862980.402,-299700596.956,-310025363.848,-309509125.504,-300216835.301,2.0,53300405689900.0,0.00779779684211,60,0.25000088556,4.07233133368e-14,0.124974348451,0.249579831933
