smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-249107627.96,5467971.27397,-249107627.96,-245241188.393,-252974067.528,-252587423.571,-245627832.35,2.0,29898709853000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137378433512,235
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-259751618.84,6792061.91796,-259751618.84,-254948905.8,-264554331.881,-264074060.577,-255429177.104,2.0,46132105097400.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,115
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-261570892.314,6782318.58326,-261570892.314,-256775068.852,-266366715.777,-265887133.431,-257254651.198,2.0,45999845364900.0,0.111096848726,3.6760970142599995e-14,0.0556451612903,0.055553937791,0.00034343455821,5
720.0,-323.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-282793598.164,8936795.5233,-282793598.164,-276474329.448,-289112866.881,-288480940.009,-277106256.319,2.0,79866314225200.0,0.111128939092,3.6760970142599995e-14,0.110483870968,0.055553937791,0.000682088768685,57
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-309730692.062,4345462.64795,-309730692.062,-306657985.956,-312803398.168,-312496127.557,-306965256.567,2.0,18883045624700.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,136
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-310117074.61,22218294.4972,-310117074.61,-294406367.905,-325827781.316,-324256710.645,-295977438.576,2.0,493652610363000.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.00068708947863,403
720.0,-529.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-312458326.659,5310766.66725,-312458326.659,-308703047.535,-316213605.783,-315838077.87,-309078575.448,2.0,28204242594000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000686869116419,26
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2190197.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-315371240.741,1211594.08981,-315371240.741,-314514514.344,-316227967.138,-316142294.498,-314600186.984,2.0,1467960238460.0,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.000343445534943,701
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-319129087.3,14707884.8349,-319129087.3,-308729042.197,-329529132.404,-328489127.894,-309769046.707,2.0,216321876317000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137378433512,225
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-320403083.793,24690227.3231,-320403083.793,-302944456.624,-337861710.962,-336115848.246,-304690319.341,2.0,609607325265000.0,0.111096848726,3.6760970142599995e-14,0.0556451612903,0.111109828737,0.000686881190826,105
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-321326276.72,7090222.5738,-321326276.72,-316312732.258,-326339821.182,-325838466.736,-316814086.704,2.0,50271256146100.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137378213977,314
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-321944611.175,2715076.26414,-321944611.175,-320024762.337,-323864460.013,-323672475.129,-320216747.221,2.0,7371639120080.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137418115324,612
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-331351106.476,6352277.21413,-331351106.476,-326859368.182,-335842844.77,-335393670.941,-327308542.012,2.0,40351425805200.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137418115324,523
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-335222333.564,2777058.16779,-335222333.564,-333258656.901,-337186010.226,-336989642.559,-333455024.568,2.0,7712052067300.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.111111426772,0.00136382719673,345
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-339597606.952,12021697.587,-339597606.952,-331096983.067,-348098230.837,-347248168.449,-331947045.456,2.0,144521212872000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137378213977,434
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-342452845.269,9409355.87729,-342452845.269,-335799425.922,-349106264.617,-348440922.682,-336464767.856,2.0,88535978025500.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137415919343,167
