npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-140564260.547,16875238.5932,-140564260.547,-128631664.904,-152496856.19,-151303596.626,-129824924.468,2.0,284773677576000.0,30,0.125210084034,0.24999911444,0.124974348451,4.07233133368e-14,0.00391199831061
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-148034058.447,22048342.5949,-148034058.447,-132443525.884,-163624591.01,-162065537.754,-134002579.141,2.0,486129411180000.0,54,0.125210084034,0.25000088556,0.249982898967,4.07233133368e-14,0.00782512266501
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-176458705.195,17200344.6451,-176458705.195,-164296224.857,-188621185.532,-187404937.498,-165512472.891,2.0,295851855912000.0,65,0.249579831933,0.25000088556,0.124974348451,4.07233133368e-14,0.00779779684211
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-197033916.971,2104477.71648,-197033916.971,-195545826.506,-198522007.435,-198373198.388,-195694635.553,2.0,4428826459160.0,89,0.249579831933,0.25000088556,0.249982898967,4.07233133368e-14,0.0155977277282
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-217628212.08,509255.899999,-217628212.08,-217268113.78,-217988310.38,-217952300.55,-217304123.61,2.0,259341571684.0,100,0.125210084034,0.25000088556,0.124974348451,4.07233133368e-14,0.00391202602517
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-225912590.313,25402870.0206,-225912590.313,-207950048.66,-243875131.966,-242078877.801,-209746302.825,2.0,645305805286000.0,113,0.249579831933,0.12500044278,0.250017101033,4.07233133368e-14,0.00779993088613
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-336545359.987,18499345.7061,-336545359.987,-323464347.19,-349626372.783,-348318271.503,-324772448.47,2.0,342225791554000.0,84,0.249579831933,0.25000088556,0.249982898967,4.07233133368e-14,0.0155977277282
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-338580502.174,2710498.24883,-338580502.174,-336663890.482,-340497113.866,-340305452.697,-336855551.651,2.0,7346800756890.0,60,0.249579831933,0.25000088556,0.124974348451,4.07233133368e-14,0.00779779684211
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-364686658.458,16026891.7091,-364686658.458,-353353934.649,-376019382.266,-374886109.886,-354487207.03,2.0,256861257855000.0,108,0.249579831933,0.12500044278,0.250017101033,4.07233133368e-14,0.00779993088613
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-369603477.205,5081775.02956,-369603477.205,-366010119.621,-373196834.788,-372837499.03,-366369455.379,2.0,25824437451100.0,95,0.250420168067,0.25000088556,0.124974348451,4.07233133368e-14,0.00782405205033
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-424072123.782,38348286.5584,-424072123.782,-396955790.309,-451188457.254,-448476823.907,-399667423.657,2.0,1470591081970000.0,119,0.250420168067,0.12500044278,0.249982898967,4.07233133368e-14,0.00782512266501
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-507715838.22,24055168.594,-507715838.22,-490706265.385,-524725411.056,-523024453.772,-492407222.668,2.0,578651136087000.0,103,0.125210084034,0.12500044278,0.250017101033,4.07233133368e-14,0.00391309663984
