npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159674265176.0,3996287.01927,-159674265176.0,-159671439374.0,-159677090977.0,-159676808397.0,-159671721954.0,2.0,15970309940400.0,0.250420168067,84,0.249993815983,0.0156508733536,2.78193391732e-13,0.25
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159746369605.0,44565362.8226,-159746369605.0,-159714857135.0,-159777882075.0,-159774730828.0,-159718008382.0,2.0,1986071563510000.0,0.250420168067,89,0.250006184017,0.0156516476548,2.78193391732e-13,0.25
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159778576899.0,13797686.76,-159778576899.0,-159768820461.0,-159788333337.0,-159787357693.0,-159769796105.0,2.0,190376159927000.0,0.250420168067,94,0.250006184017,0.0156516476548,2.78193391732e-13,0.25
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159804188466.0,1005057.54013,-159804188466.0,-159803477783.0,-159804899149.0,-159804828081.0,-159803548851.0,2.0,1010140658960.0,0.250420168067,99,0.125002473607,0.00782578511235,2.78193391732e-13,0.25
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160151433888.0,3749.13533183,-160151433888.0,-160151431237.0,-160151436539.0,-160151436274.0,-160151431502.0,2.0,14056015.7364,0.125210084034,1,0.124991342377,0.00195627206031,2.78193391732e-13,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160195701546.0,703.562723502,-160195701546.0,-160195701048.0,-160195702043.0,-160195701993.0,-160195701098.0,2.0,495000.505902,0.125210084034,6,0.249993815983,0.0039127183384,2.78193391732e-13,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160239979703.0,1821.50393935,-160239979703.0,-160239978415.0,-160239980991.0,-160239980863.0,-160239978544.0,2.0,3317876.60108,0.125210084034,11,0.250006184017,0.0039129119137,2.78193391732e-13,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160284253493.0,3527.4554138,-160284253493.0,-160284250999.0,-160284255987.0,-160284255738.0,-160284251248.0,2.0,12442941.6964,0.125210084034,16,0.250006184017,0.0039129119137,2.78193391732e-13,0.125
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160328531939.0,6038.59258234,-160328531939.0,-160328527669.0,-160328536209.0,-160328535782.0,-160328528096.0,2.0,36464600.3755,0.125210084034,21,0.125002473607,0.00195644627809,2.78193391732e-13,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614417748801.0,6177009.84211,-614417748801.0,-614413380995.0,-614422116606.0,-614421679825.0,-614413817776.0,2.0,38155450589600.0,0.125210084034,105,0.124991342377,0.00195627206031,2.78193391732e-13,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614481312962.0,25049755.3423,-614481312962.0,-614463600110.0,-614499025813.0,-614497254528.0,-614465371395.0,2.0,627490242711000.0,0.125210084034,110,0.249993815983,0.0039127183384,2.78193391732e-13,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614523459415.0,20822368.2378,-614523459415.0,-614508735777.0,-614538183052.0,-614536710689.0,-614510208141.0,2.0,433571019030000.0,0.125210084034,115,0.250006184017,0.0039129119137,2.78193391732e-13,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614553891441.0,866175.467394,-614553891441.0,-614553278962.0,-614554503919.0,-614554442671.0,-614553340210.0,2.0,750259940316.0,0.125210084034,120,0.250006184017,0.0039129119137,2.78193391732e-13,0.125
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614609596076.0,16607581.3945,-614609596076.0,-614597852742.0,-614621339409.0,-614620165076.0,-614599027076.0,2.0,275811759775000.0,0.125210084034,125,0.125002473607,0.00195644627809,2.78193391732e-13,0.125
