npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight
769.0,-754.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,949510001.272,7761535.161,948338044.37,958655273.148,942708643.2,942817572.546,957843169.66,4.0,60241428055400.0,0.25,1.66935855854e-12,0.125210084034,0.250037108505,91,0.00782679184187
769.0,-754.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,942696816.155,15632131.5228,947569083.588,954885896.642,920763200.8010001,923990673.5189999,954581784.383,4.0,244363535946000.0,0.25,1.66935855854e-12,0.125210084034,0.125018554253,96,0.00391339592093
769.0,-754.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,936094046.605,20374626.5778,940709504.612,955089758.9489999,907867418.247,912080704.9480001,953645747.0519999,4.0,415125408184000.0,0.25,1.66935855854e-12,0.125210084034,0.250037108505,86,0.00782679184187
769.0,-308.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,932545884.488,27731783.7024,944158553.94,950546130.147,891320299.923,898850742.746,949983288.996,4.0,769051827315000.0,0.125,1.66935855854e-12,0.25042016806699996,0.249962891495,109,0.00782446866234
769.0,-308.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,931527177.9189999,2683591.16018,930916993.391,935308752.988,928965971.906,929256954.8460001,934651659.3310001,4.0,7201661515000.0,0.125,1.66935855854e-12,0.25042016806699996,0.250037108505,114,0.00782679184187
769.0,-308.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,926914722.2260001,10630605.1134,927728431.56,938406959.0589999,913795066.725,915271095.032,937419156.353,4.0,113009765076000.0,0.125,1.66935855854e-12,0.25042016806699996,0.125018554253,124,0.00391339592093
769.0,-754.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,926742022.935,20680490.6004,936415798.377,938343328.589,895793166.397,901689204.344,938251555.908,4.0,427682691473000.0,0.25,1.66935855854e-12,0.125210084034,0.249962891495,81,0.00782446866234
769.0,-308.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,904916789.9760001,35856270.3994,911474646.4310001,941270951.33,855446915.71,863696935.786,936955645.127,4.0,1285672126950000.0,0.125,1.66935855854e-12,0.25042016806699996,0.250037108505,119,0.00782679184187
769.0,-308.0,-4007.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,893430098.3989999,19438651.143,895631475.752,911517527.138,870939914.954,872834522.46,910943746.0439999,4.0,377861158259000.0,0.125,1.66935855854e-12,0.25042016806699996,0.12494433724199999,104,0.0039110727414
769.0,-754.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,858321895.7160001,6718567.48099,860597280.0960001,863531843.621,848561179.05,850194011.015,863264242.2839999,4.0,45139148996700.0,0.25,1.66935855854e-12,0.125210084034,0.12494433724199999,76,0.0039110727414
