npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-366.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,840654180.668,536679.743002,840654180.668,841033670.553,840274690.782,840312639.771,840995721.565,2.0,288025146548.0,414,0.111098576997,0.0013599550988,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,305842.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,838369655.595,131244.90227,838369655.595,838462459.756,838276851.435,838286131.851,838453179.34,2.0,17225224371.9,291,0.0555566454786,0.000343835959105,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,836252208.273,371467.672302,836252208.273,836514875.583,835989540.963,836015807.694,836488608.852,2.0,137988231565.0,342,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-366.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,835787191.306,6978.51471259,835787191.306,835792125.861,835782256.751,835782750.207,835791632.406,2.0,48699667.5939,404,0.0555402966334,0.00067986748019,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-507.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,830096122.094,375143.965024,830096122.094,830361388.936,829830855.252,829857381.937,830334862.252,2.0,140732994494.0,321,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,237877.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,827694709.732,62678.2030383,827694709.732,827739029.915,827650389.55,827654821.568,827734597.897,2.0,3928557136.11,373,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,826463523.985,641704.697474,826463523.985,826917277.728,826009770.241,826055145.616,826871902.353,2.0,411784918761.0,445,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-366.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,825100123.064,1332741.69922,825100123.064,826042513.757,824157732.371,824251971.44,825948274.688,2.0,1776200436850.0,424,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,821648853.804,1750146.82711,821648853.804,822886394.494,820411313.115,820535067.183,822762640.425,2.0,3063013916430.0,352,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,815038974.166,268311.774223,815038974.166,815228699.241,814849249.091,814868221.599,815209726.734,2.0,71991208186.8,331,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-273.0,-6852.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,812331976.705,75659.909309,812331976.705,812385476.339,812278477.07,812283827.033,812380126.376,2.0,5724421876.64,506,0.0555402966334,0.000687177883202,0.111090154659,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,811898031.794,458221.798719,811898031.794,812222043.535,811574020.053,811606421.227,812189642.361,2.0,209967216821.0,455,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-507.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,811761471.686,711127.951995,811761471.686,812264315.083,811258628.289,811308912.629,812214030.743,2.0,505702964109.0,301,0.0555402966334,0.000343734777315,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,811534837.912,464663.895825,811534837.912,811863404.904,811206270.92,811239127.62,811830548.205,2.0,215912536083.0,383,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-366.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,810174103.215,192449.446382,810174103.215,810310185.524,810038020.907,810051629.138,810296577.293,2.0,37036789412.6,434,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,807593812.28,16159.6398067,807593812.28,807605238.871,807582385.689,807583528.348,807604096.212,2.0,261133958.683,362,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,804371035.516,619290.226618,804371035.516,804808939.834,803933131.197,803976921.629,804765149.403,2.0,383520384785.0,413,0.111098576997,0.0013745782719,0.111090154659,7.306929298600001e-13,0.111374407583
522.0,-507.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,799295225.554,332046.729089,799295225.554,799530018.048,799060433.06,799083912.31,799506538.798,2.0,110255030299.0,341,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-273.0,-6852.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,798340718.036,303115.860251,798340718.036,798555053.316,798126382.755,798147816.283,798533619.788,2.0,91879224735.5,516,0.111098576997,0.0013745782719,0.111090154659,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,797744456.994,652590.254475,797744456.994,798205907.988,797283006.0,797329151.099,798159762.889,2.0,425874040236.0,465,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,305842.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,796749574.727,293930.567206,796749574.727,796957415.024,796541734.429,796562518.459,796936630.994,2.0,86395178338.3,393,0.0555566454786,0.00068767191821,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-366.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,795160904.728,886599.253207,795160904.728,795787825.072,794533984.384,794596676.418,795725133.038,2.0,786058235788.0,444,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,237877.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,792675053.762,535835.474353,792675053.762,793053946.66,792296160.865,792334050.155,793016057.37,2.0,287119655575.0,372,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,790877706.364,241328.180437,790877706.364,791048351.156,790707061.571,790724126.05,791031286.677,2.0,58239290673.1,423,0.111114925842,0.00137478054962,0.111090154659,7.306929298600001e-13,0.111374407583
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,786685576.708,386910.309079,786685576.708,786959163.612,786411989.805,786439348.495,786931804.921,2.0,149699587272.0,403,0.0555402966334,0.000687177883202,0.111090154659,7.306929298600001e-13,0.111374407583
522.0,-507.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,783923940.115,644999.431906,783923940.115,784380023.587,783467856.643,783513464.99,784334415.24,2.0,416024267160.0,351,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-273.0,-6852.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,783314055.457,528910.660741,783314055.457,783688051.772,782940059.143,782977458.774,783650652.141,2.0,279746487046.0,526,0.111114925842,0.00137478054962,0.111090154659,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,237877.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,782705490.883,327418.705594,782705490.883,782937010.87,782473970.896,782497122.895,782913858.871,2.0,107203008773.0,475,0.111114925842,0.00136015522463,0.111090154659,7.306929298600001e-13,0.11018957346
