smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2312305100.74,3193516.05402,-2312827365.25,-2308339719.8,-2315225952.67,-2315121484.03,-2308757547.14,4.0,10198544787300.0,0.124994709051,104,0.124990974078,1.7334191682000001e-13,0.00391289118068,0.250453720508
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2320608912.7,4172761.90672,-2322564045.37,-2314370787.35,-2322936772.72,-2322934696.49,-2315545943.17,4.0,17411941930200.0,0.249996693157,109,0.124990974078,1.7334191682000001e-13,0.00782601010299,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2320911829.89,2598508.62646,-2321001653.92,-2317660965.28,-2323983046.44,-2323587811.29,-2318110094.85,4.0,6752247081810.0,0.250003306843,86,0.249981948155,1.7334191682000001e-13,0.00782621714084,0.125226860254
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2361080457.41,2035166.26821,-2361431164.49,-2358403899.63,-2363055601.02,-2362923912.35,-2358746012.55,4.0,4141901739250.0,0.250003306843,91,0.249981948155,1.7334191682000001e-13,0.00782621714084,0.125226860254
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2362518024.57,5815625.99107,-2362805685.89,-2355288766.82,-2369171959.68,-2368448475.93,-2356184847.37,4.0,33821505668000.0,0.250003306843,114,0.124990974078,1.7334191682000001e-13,0.00782621714084,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2399860657.66,3174768.45185,-2400468410.65,-2395489922.73,-2403015886.62,-2402704116.92,-2396166344.22,4.0,10079154722800.0,0.125001984106,96,0.249981948155,1.7334191682000001e-13,0.00391311892231,0.125226860254
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2400502602.8,3433334.05287,-2399308108.76,-2397856440.42,-2405537753.26,-2404645037.95,-2398032459.3,4.0,11787782718600.0,0.250003306843,119,0.124990974078,1.7334191682000001e-13,0.00782621714084,0.250453720508
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2451508579.6,2243355.24607,-2451375426.63,-2449379992.59,-2453903472.54,-2453756549.6,-2449447023.75,4.0,5032642760080.0,0.125001984106,124,0.124990974078,1.7334191682000001e-13,0.00391311892231,0.250453720508
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2456063955.83,4546951.169,-2454810593.14,-2452117562.81,-2462517074.22,-2461497993.14,-2452384626.28,4.0,20674764933300.0,0.124994709051,103,0.124990974078,1.7334191682000001e-13,0.00389871403872,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2462211875.77,3664332.9318,-2463633851.32,-2456777818.33,-2464801982.1,-2464628739.68,-2457804246.08,4.0,13427335835100.0,0.249996693157,108,0.124990974078,1.7334191682000001e-13,0.00779765499392,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2503086251.13,3450096.70662,-2503525838.28,-2498606667.98,-2506686659.96,-2506373163.5,-2499183916.73,4.0,11903167285000.0,0.250003306843,113,0.124990974078,1.7334191682000001e-13,0.00779786128164,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2548541440.34,2581277.86524,-2548975019.78,-2545101351.55,-2551114370.22,-2550907646.38,-2545568223.07,4.0,6662995417570.0,0.250003306843,118,0.124990974078,1.7334191682000001e-13,0.00779786128164,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2592683265.99,3461466.6136,-2593825368.43,-2587621724.19,-2595460602.91,-2595221727.21,-2588545861.36,4.0,11981751117100.0,0.125001984106,123,0.124990974078,1.7334191682000001e-13,0.0038989409552,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2598371823.43,3838019.78701,-2598517122.46,-2593576397.12,-2602876651.66,-2602321048.01,-2594219180.2,4.0,14730395885500.0,0.249996693157,107,0.124990974078,1.7334191682000001e-13,0.00779765499392,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2600042577.21,2485744.01854,-2600183353.11,-2596957187.23,-2602846415.38,-2602559004.86,-2597329063.29,4.0,6178923325700.0,0.124994709051,102,0.124990974078,1.7334191682000001e-13,0.00389871403872,0.249546279492
