npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,203975557.467,12475533.3598,203975557.467,212797091.705,195154023.23,196036176.653,211914938.281,2.0,155638932610000.0,0.00781251064053,0.125,8.656992832709999e-15,77,0.250000340497,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,139256887.148,2897568.28413,139256887.148,141305777.331,137207996.966,137412885.984,141100888.313,2.0,8395901961220.0,0.00781171612099,0.25,8.656992832709999e-15,60,0.250000340497,0.124987287705
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,124522446.337,64944580.3073,124522446.337,170445199.474,78599693.2004,83191968.5141,165852924.16,2.0,4217798511290000.0,0.0156266103201,0.25,8.656992832709999e-15,83,0.250000340497,0.250025424591
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,74329456.9353,45416684.2716,74329456.9353,106443902.363,42215011.5078,45426456.0506,103232457.82,2.0,2062675210230000.0,0.0156250212811,0.25,8.656992832709999e-15,94,0.250000340497,0.25
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,73980358.157,61085599.7845,73980358.157,117174399.997,30786316.3165,35105720.5006,112854995.813,2.0,3731450501030000.0,0.00390585806049,0.125,8.656992832709999e-15,100,0.250000340497,0.124987287705
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,10112625.3258,8556309.79972,10112625.3258,16162850.0071,4062400.6445,4667423.11263,15557827.539,2.0,73210437388800.0,0.0156250212811,0.25,8.656992832709999e-15,89,0.250000340497,0.25
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-105798353.799,20058260.2333,-105798353.799,-91615021.9693,-119981685.629,-118563352.446,-93033355.1523,2.0,402333803587000.0,0.00781171612099,0.25,8.656992832709999e-15,95,0.250000340497,0.124987287705
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-116034352.537,77671017.7656,-116034352.537,-61112649.1737,-170956055.901,-165463885.565,-66604819.5101,2.0,6032787000750000.0,0.00781330516007,0.125,8.656992832709999e-15,78,0.250000340497,0.250025424591
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-157979631.73,19362365.9521,-157979631.73,-144288371.465,-171670891.994,-170301765.968,-145657497.492,2.0,374901215262000.0,0.00390585806049,0.125,8.656992832709999e-15,55,0.250000340497,0.124987287705
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-280010314.956,40870056.8703,-280010314.956,-251110820.595,-308909809.316,-306019859.88,-254000770.031,2.0,1670361548580000.0,0.0156250212811,0.25,8.656992832709999e-15,84,0.250000340497,0.25
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-299454496.613,933531.9083,-299454496.613,-298794389.87,-300114603.356,-300048592.682,-298860400.545,2.0,871481823815.0,0.00195292849827,0.125,8.656992832709999e-15,101,0.125000136199,0.124987287705
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-330442818.874,39842234.8301,-330442818.874,-302270104.448,-358615533.3,-355798261.857,-305087375.89,2.0,1587403676260000.0,0.00781251064053,0.125,8.656992832709999e-15,79,0.250000340497,0.25
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-407481648.396,17404164.1989,-407481648.396,-395175045.87,-419788250.922,-418557590.669,-396405706.122,2.0,302904931463000.0,0.00781250851242,0.25,8.656992832709999e-15,107,0.125000136199,0.25
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-412974365.967,76576557.7573,-412974365.967,-358826562.697,-467122169.237,-461707388.91,-364241343.024,2.0,5863969197960000.0,0.00781171612099,0.25,8.656992832709999e-15,90,0.250000340497,0.124987287705
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-498085368.521,63184408.0854,-498085368.521,-453407245.099,-542763491.944,-538295679.601,-457875057.441,2.0,3992269425100000.0,0.00781330303175,0.25,8.656992832709999e-15,113,0.125000136199,0.250025424591
