npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,345496114.971,339040.034673,345522613.838,345819762.1,345119470.107,345146936.342,345808195.185,4.0,114948145111.0,1.0406674226900002e-12,91,0.250009196248,0.25,0.00783362148244,0.125333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,336892870.483,1221224.72058,337374835.728,337726918.992,335094891.486,335406654.666,337704334.958,4.0,1491389818150.0,1.0406674226900002e-12,113,0.250009196248,0.125026522385,0.00779360657253,0.249333333333
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,318716892.396,1318350.04324,318257440.386,320612814.389,317739874.426,317765238.69,320311778.919,4.0,1738046836520.0,1.0406674226900002e-12,96,0.125004598124,0.25,0.00391681074122,0.125333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,308366357.421,1277310.87076,308683437.226,309447112.313,306651442.917,306875149.957,309413653.156,4.0,1631523060560.0,1.0406674226900002e-12,118,0.250009196248,0.125026522385,0.00779360657253,0.249333333333
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,281159927.275,1043858.87619,280861085.055,282655499.534,280262039.455,280328810.96,282409422.698,4.0,1089641353410.0,1.0406674226900002e-12,123,0.125004598124,0.125026522385,0.00389680328627,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,272039522.044,866731.620254,271695077.805,273312274.5,271455658.065,271466562.945,273094703.077,4.0,751223701548.0,1.0406674226900002e-12,107,0.249990803752,0.125026522385,0.00779303321812,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,257111698.111,1545654.86667,256880190.689,259179443.354,255506967.712,255664435.319,258883071.294,4.0,2389048966850.0,1.0406674226900002e-12,102,0.124986205628,0.125026522385,0.00389622993185,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,244964581.15,1645782.40803,244820045.168,246900829.336,243317404.928,243407727.178,246723785.497,4.0,2708599734580.0,1.0406674226900002e-12,112,0.250009196248,0.125026522385,0.00779360657253,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,215608278.228,1428778.24933,215647500.191,217119560.316,214018552.213,214141498.956,217020146.751,4.0,2041407285760.0,1.0406674226900002e-12,117,0.250009196248,0.125026522385,0.00779360657253,0.249333333333
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,188395819.811,937993.229633,188384303.272,189278163.06,187536509.641,187551314.515,189256448.262,4.0,879831298837.0,1.0406674226900002e-12,122,0.125004598124,0.125026522385,0.00389680328627,0.249333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,178020064.829,1573792.95351,178452147.634,179414371.577,175761592.472,176153415.81,179281797.921,4.0,2476824260510.0,1.0406674226900002e-12,106,0.249990803752,0.125026522385,0.00391735359627,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,157986689.081,434701.293356,157913050.883,158513423.229,157607231.329,157614188.956,158462282.683,4.0,188965214445.0,1.0406674226900002e-12,101,0.124986205628,0.125026522385,0.00195853269302,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,150108303.505,2057610.77327,150107407.658,152524491.178,147693907.524,147948077.754,152269783.441,4.0,4233762094270.0,1.0406674226900002e-12,111,0.250009196248,0.125026522385,0.00391764180651,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,121626850.775,840814.885616,121759238.018,122505144.366,120483782.698,120665702.332,122402657.078,4.0,706969671874.0,1.0406674226900002e-12,116,0.250009196248,0.125026522385,0.00391764180651,0.125333333333
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,94261615.8801,1270153.27366,94593446.9699,95388254.8474,92471314.7333,92749224.8482,95309443.3863,4.0,1613289338580.0,1.0406674226900002e-12,121,0.125004598124,0.125026522385,0.00195882090326,0.125333333333
