smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-368056844.609,2036435.12177,-368056844.609,-366616867.525,-369496821.693,-369352823.985,-366760865.234,2.0,4147068005190.0,0.25,0.250079948833,0.250012469201,1.28632009175e-11,59,0.0156307763763
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-374360914.898,497756.0761,-374360914.898,-374008948.201,-374712881.595,-374677684.925,-374044144.871,2.0,247761111295.0,0.125,0.249920051167,0.125006234601,1.28632009175e-11,103,0.00390519556845
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-374536684.433,645914.771885,-374536684.433,-374079953.718,-374993415.149,-374947742.077,-374125626.79,2.0,417205892540.0,0.25,0.125039974416,0.124981296198,1.28632009175e-11,15,0.00390691451979
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-378456956.182,557514.665754,-378456956.182,-378062733.781,-378851178.582,-378811756.342,-378102156.021,2.0,310822602531.0,0.125,0.125039974416,0.125006234601,1.28632009175e-11,125,0.00195384704704
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-378599602.78,133525.772512,-378599602.78,-378505185.801,-378694019.76,-378684578.062,-378514627.499,2.0,17829131924.9,0.25,0.250079948833,0.125006234601,1.28632009175e-11,114,0.00781538818817
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-379128185.455,1289432.07979,-379128185.455,-378216419.288,-380039951.623,-379948775.006,-378307595.904,2.0,1662635088390.0,0.25,0.125039974416,0.249987530799,1.28632009175e-11,40,0.00781460861388
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-379546605.627,1622679.10825,-379546605.627,-378399198.226,-380694013.029,-380579272.288,-378513938.966,2.0,2633087488350.0,0.125,0.250079948833,0.249987530799,1.28632009175e-11,29,0.00781460861388
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-385380887.366,740499.307534,-385380887.366,-384857275.284,-385904499.448,-385852138.24,-384909636.493,2.0,548339224458.0,0.125,0.250079948833,0.124981296198,1.28632009175e-11,4,0.00390691451979
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-386305986.048,2324662.62986,-386305986.048,-384662201.338,-387949770.757,-387785392.286,-384826579.809,2.0,5404056342660.0,0.25,0.125039974416,0.250012469201,1.28632009175e-11,95,0.00781538818817
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-389036673.087,59892.8216016,-389036673.087,-388994322.466,-389079023.707,-389074788.645,-388998557.528,2.0,3587150079.4,0.25,0.250079948833,0.250012469201,1.28632009175e-11,84,0.0156307763763
