smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,7431957.35577,856802.64413,7431957.35577,8037808.31558,6826106.39597,6886691.49195,7977223.2196,2.0,734110770988.0,2.43433201164e-13,0.16666559696,0.00231491198794,0.166693548387,149,0.0833239271017
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-11344512.8384,492569.512271,-11344512.8384,-10996213.596,-11692812.0807,-11657982.1565,-11031043.5203,2.0,242624724419.0,2.43433201164e-13,0.16666559696,0.00463047728757,0.166693548387,170,0.166671369782
720.0,-498.4,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-11561320.5995,378331.497352,-11561320.5995,-11293799.8322,-11828841.3668,-11802089.2901,-11320551.9089,2.0,143134721888.0,2.43433201164e-13,0.16666559696,0.00231523864378,0.166693548387,192,0.0833356848912
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-14900268.892,631777.950679,-14900268.892,-14453534.4189,-15347003.3652,-15302329.9178,-14498207.8662,2.0,399143378964.0,2.43433201164e-13,0.166668806079,0.00463020711831,0.166693548387,208,0.166658436214
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-41132662.8799,1390500.06172,-41132662.8799,-40149430.857,-42115894.9028,-42017571.7005,-40247754.0593,2.0,1933490421630.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,177,0.166670194004
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-43857899.0622,1961428.75065,-43857899.0622,-42470959.4918,-45244838.6326,-45106144.6755,-42609653.4488,2.0,3847202743890.0,2.43433201164e-13,0.166668806079,0.00463053378044,0.166693548387,215,0.166670194004
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-46956083.9692,1107187.68657,-46956083.9692,-46173184.048,-47738983.8905,-47660693.8983,-46251474.0401,2.0,1225864573290.0,2.43433201164e-13,0.16666559696,0.00231393897388,0.0833064516129,155,0.166658436214
720.0,-601.8,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-71412235.2917,833051.020024,-71412235.2917,-70823179.2664,-72001291.3171,-71942385.7145,-70882084.8689,2.0,693974001963.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,184,0.166670194004
720.0,-291.8,-7332.1,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-74794223.9908,348088.422016,-74794223.9908,-74548088.3071,-75040359.6745,-75015746.1061,-74572701.8755,2.0,121165549542.0,2.43433201164e-13,0.166668806079,0.00463056644666,0.166693548387,222,0.166671369782
720.0,-705.1,-9928.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-80218999.1139,2566838.84982,-80218999.1139,-78403969.957,-82034028.2709,-81852525.3552,-78585472.8727,2.0,6588661680940.0,2.43433201164e-13,0.16666559696,0.00231410222279,0.0833064516129,162,0.166670194004
