npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,280763102.895,1557716.80767,280763102.895,281864575.013,279661630.777,279771777.989,281754427.801,2.0,2426481652900.0,0.249333333333,113,0.250009196248,0.125026522385,0.00779360657253,1.0406674226900002e-12
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,253004136.772,807408.759474,253004136.772,253575060.981,252433212.563,252490304.984,253517968.56,2.0,651908904875.0,0.125333333333,91,0.250009196248,0.25,0.00783362148244,1.0406674226900002e-12
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,252641668.552,548301.198273,252641668.552,253029376.048,252253961.057,252292731.806,252990605.298,2.0,300634204028.0,0.249333333333,118,0.250009196248,0.125026522385,0.00779360657253,1.0406674226900002e-12
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,223181134.954,637751.223622,223181134.954,223632093.169,222730176.739,222775272.561,223586997.347,2.0,406726623231.0,0.125333333333,96,0.125004598124,0.25,0.00391681074122,1.0406674226900002e-12
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,222054643.77,1825413.33106,222054643.77,223345405.915,220763881.625,220892957.84,223216329.701,2.0,3332133829200.0,0.249333333333,123,0.125004598124,0.125026522385,0.00389680328627,1.0406674226900002e-12
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,218395994.712,475931.429088,218395994.712,218732529.053,218059460.371,218093113.805,218698875.619,2.0,226510725193.0,0.249333333333,107,0.249990803752,0.125026522385,0.00779303321812,1.0406674226900002e-12
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,206248213.277,531766.496816,206248213.277,206624228.973,205872197.581,205909799.15,206586627.403,2.0,282775607136.0,0.249333333333,102,0.124986205628,0.125026522385,0.00389622993185,1.0406674226900002e-12
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,189722893.309,1380024.08658,189722893.309,190698717.699,188747068.919,188844651.358,190601135.26,2.0,1904466479550.0,0.249333333333,112,0.250009196248,0.125026522385,0.00779360657253,1.0406674226900002e-12
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,160320218.873,487920.482635,160320218.873,160665230.754,159975206.991,160009708.179,160630729.566,2.0,238066397375.0,0.249333333333,117,0.250009196248,0.125026522385,0.00779360657253,1.0406674226900002e-12
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,130757664.398,1736936.74656,130757664.398,131985864.15,129529464.646,129652284.621,131863044.174,2.0,3016949261540.0,0.249333333333,122,0.125004598124,0.125026522385,0.00389680328627,1.0406674226900002e-12
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,126080249.416,729411.321597,126080249.416,126596021.108,125564477.724,125616054.893,126544443.939,2.0,532040876073.0,0.125333333333,106,0.249990803752,0.125026522385,0.00391735359627,1.0406674226900002e-12
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,107334436.005,1049517.78687,107334436.005,108076557.149,106592314.861,106666526.976,108002345.035,2.0,1101487584960.0,0.125333333333,101,0.124986205628,0.125026522385,0.00195853269302,1.0406674226900002e-12
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,96166117.5486,2382790.67591,96166117.5486,97851004.9937,94481230.1035,94649718.848,97682516.2492,2.0,5677691405210.0,0.125333333333,111,0.250009196248,0.125026522385,0.00391764180651,1.0406674226900002e-12
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,68443141.0261,52111.6671015,68443141.0261,68479989.5392,68406292.5129,68409977.3642,68476304.6879,2.0,2715625848.09,0.125333333333,116,0.250009196248,0.125026522385,0.00391764180651,1.0406674226900002e-12
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,36391931.6571,875968.777273,36391931.6571,37011335.1197,35772528.1946,35834468.5409,36949394.7734,2.0,767321298758.0,0.125333333333,121,0.125004598124,0.125026522385,0.00195882090326,1.0406674226900002e-12
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110239159207.0,291.442654856,-110239159207.0,-110239159001.0,-110239159413.0,-110239159392.0,-110239159021.0,2.0,84938.8210695,0.125333333333,1,0.124986205628,0.124973477615,0.00195770175,1.0406674226900002e-12
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110268684509.0,490.836204139,-110268684509.0,-110268684162.0,-110268684856.0,-110268684821.0,-110268684197.0,2.0,240920.179293,0.125333333333,6,0.249990803752,0.124973477615,0.00391569158796,1.0406674226900002e-12
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110298214585.0,108.468374056,-110298214585.0,-110298214508.0,-110298214661.0,-110298214654.0,-110298214516.0,2.0,11765.3881704,0.125333333333,11,0.250009196248,0.124973477615,0.00391597967592,1.0406674226900002e-12
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110327744119.0,260.351211982,-110327744119.0,-110327743935.0,-110327744303.0,-110327744284.0,-110327743953.0,2.0,67782.7535807,0.125333333333,16,0.250009196248,0.124973477615,0.00391597967592,1.0406674226900002e-12
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110357274121.0,329.868971096,-110357274121.0,-110357273888.0,-110357274354.0,-110357274331.0,-110357273911.0,2.0,108813.538092,0.125333333333,21,0.125004598124,0.124973477615,0.00195798983796,1.0406674226900002e-12
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440886017800.0,58605.1077785,-440886017800.0,-440885976360.0,-440886059240.0,-440886055096.0,-440885980504.0,2.0,3434558657.72,0.249333333333,27,0.124986205628,0.25,0.00779080681749,1.0406674226900002e-12
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440915191020.0,846417.260025,-440915191020.0,-440914592513.0,-440915789527.0,-440915729677.0,-440914652363.0,2.0,716422178069.0,0.249333333333,32,0.249990803752,0.25,0.0155827601005,1.0406674226900002e-12
522.0,-413.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-440944816097.0,62628.3634509,-440944816097.0,-440944771813.0,-440944860382.0,-440944855954.0,-440944776241.0,2.0,3922311908.53,0.249333333333,37,0.250009196248,0.25,0.0155839065661,1.0406674226900002e-12
