npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1332179552.52,16294774.6442,1332179552.52,1343701698.17,1320657406.87,1321809621.43,1342549483.6,2.0,265519680706000.0,0.125002399524,1.74117872884e-13,0.125007204196,0.25,120,0.00390655012056
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1319426969.92,3099288.36576,1319426969.92,1321618497.74,1317235442.1,1317454594.89,1321399344.96,2.0,9605588374110.0,0.124991734973,1.74117872884e-13,0.249985591609,0.124645892351,4,0.00389470210706
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1315244778.76,6060536.90563,1315244778.76,1319530225.51,1310959332.02,1311387876.69,1319101680.83,2.0,36730107584500.0,0.250004799048,1.74117872884e-13,0.249985591609,0.124645892351,79,0.00779006882203
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1301229323.58,3929066.94992,1301229323.58,1304007593.46,1298451053.69,1298728880.68,1303729766.47,2.0,15437567097000.0,0.249995200952,1.74117872884e-13,0.125007204196,0.25,40,0.00781280028334
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1278782872.67,5939466.17669,1278782872.67,1282982709.48,1274583035.86,1275003019.54,1282562725.8,2.0,35277258464000.0,0.124991734973,1.74117872884e-13,0.125007204196,0.25,15,0.00390621683414
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1272084161.81,1026408.8216,1272084161.81,1272809942.44,1271358381.17,1271430959.23,1272737364.38,2.0,1053515069070.0,0.125002399524,1.74117872884e-13,0.249985591609,0.124645892351,104,0.00389503441102
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1262862785.76,6439862.2841,1262862785.76,1267416456.05,1258309115.46,1258764482.49,1266961089.02,2.0,41471826238200.0,0.250005865503,1.74117872884e-13,0.125007204196,0.25,65,0.00781313356976
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1218309386.54,2549542.8397,1218309386.54,1220112185.57,1216506587.51,1216686867.41,1219931905.67,2.0,6500168691460.0,0.250004799048,1.74117872884e-13,0.125007204196,0.25,90,0.00781310024112
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1174732996.17,574273.084461,1174732996.17,1175139068.56,1174326923.77,1174367531.01,1175098461.32,2.0,329789575536.0,0.125002399524,1.74117872884e-13,0.125007204196,0.25,115,0.00390655012056
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1138130567.83,1664082.94416,1138130567.83,1139307252.17,1136953883.5,1137071551.93,1139189583.74,2.0,2769172045060.0,0.249995200952,1.74117872884e-13,0.125007204196,0.25,35,0.00781280028334
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1126952253.68,2257047.09319,1126952253.68,1128548226.99,1125356280.38,1125515877.71,1128388629.66,2.0,5094261580860.0,0.124991734973,1.74117872884e-13,0.125007204196,0.25,10,0.00390621683414
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1111410200.22,11546824.0288,1111410200.22,1119575037.79,1103245362.65,1104061846.4,1118758554.03,2.0,133329145152000.0,0.250005865503,1.74117872884e-13,0.125007204196,0.25,60,0.00781313356976
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1071851656.12,1579379.41443,1071851656.12,1072968446.02,1070734866.23,1070846545.22,1072856767.03,2.0,2494439334730.0,0.250004799048,1.74117872884e-13,0.125007204196,0.25,85,0.00781310024112
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1028342271.81,6411843.45846,1028342271.81,1032876129.8,1023808413.82,1024261799.62,1032422744.0,2.0,41111736535800.0,0.125002399524,1.74117872884e-13,0.125007204196,0.25,110,0.00390655012056
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,987054076.049,16613832.1427,987054076.049,998801829.418,975306322.679,976481098.016,997627054.081,2.0,276019418464000.0,0.249995200952,1.74117872884e-13,0.125007204196,0.124645892351,30,0.00389533385232
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,967403516.384,6813188.15615,967403516.384,972221167.931,962585864.837,963067629.992,971739402.776,2.0,46419532851200.0,0.250005865503,1.74117872884e-13,0.125007204196,0.124645892351,55,0.00389550002345
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,955067181.229,3707078.27529,955067181.229,957688481.416,952445881.042,952708011.061,957426351.397,2.0,13742429339100.0,0.124991734973,1.74117872884e-13,0.125007204196,0.124645892351,5,0.00194757553204
