smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1522224090.35,300423.287226,-1522231563.24,-1521896585.73,-1522536649.16,-1522518072.82,-1521919645.82,4.0,90254151507.8,0.124990974078,0.12498974865,105,0.00195636794902,3.46688419418e-13,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1537971871.79,740200.721444,-1537942281.32,-1537156491.87,-1538846432.65,-1538759673.94,-1537225496.31,4.0,547897108026.0,0.124990974078,0.249992724848,110,0.00391294293863,3.46688419418e-13,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1555802793.47,438002.247805,-1555634391.19,-1555490935.52,-1556451455.98,-1556331897.78,-1555509452.35,4.0,191845969082.0,0.124990974078,0.250007275152,115,0.00391317068328,3.46688419418e-13,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1573774047.53,767564.358116,-1573539619.22,-1573135349.22,-1574881602.48,-1574696369.13,-1573179925.58,4.0,589155043850.0,0.124990974078,0.250007275152,120,0.00391317068328,3.46688419418e-13,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1593337309.05,1119627.23194,-1592825569.53,-1592688740.9,-1595009356.24,-1594696996.15,-1592694057.28,4.0,1253565138510.0,0.124990974078,0.125002976198,125,0.00195657498961,3.46688419418e-13,0.125226860254
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1651242215.32,261281.129551,-1651149786.72,-1651042779.87,-1651626507.98,-1651556716.79,-1651057113.9,4.0,68267828659.6,0.124990974078,0.12498974865,104,0.00391273589804,3.46688419418e-13,0.250453720508
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1654812023.94,926637.96388,-1655041482.32,-1653511603.59,-1655653527.55,-1655590072.36,-1653712733.8,4.0,858657916104.0,0.124990974078,0.249992724848,109,0.00782588587727,3.46688419418e-13,0.250453720508
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1675015095.93,614684.104861,-1675058025.91,-1674226847.1,-1675717484.81,-1675631615.68,-1674338474.21,4.0,377836548769.0,0.124990974078,0.250007275152,114,0.00782634136657,3.46688419418e-13,0.250453720508
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1695648086.21,460316.872416,-1695764588.02,-1695014916.51,-1696048252.31,-1696028817.45,-1695104252.45,4.0,211891623031.0,0.124990974078,0.250007275152,119,0.00782634136657,3.46688419418e-13,0.250453720508
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1716833701.75,657866.042063,-1716871748.4,-1716061770.06,-1717529540.15,-1717480097.73,-1716134040.47,4.0,432787729300.0,0.124990974078,0.125002976198,124,0.00391314997922,3.46688419418e-13,0.250453720508
