npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,160130975.516,18304636.3826,160130975.516,173074308.029,147187643.003,148481976.254,171779974.778,2.0,335059713101000.0,0.00195627206031,2.78193391732e-13,0.125210084034,0.124991342377,0.125,101
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,138209739.287,9424888.50616,138209739.287,144874141.862,131545336.712,132211776.97,144207701.604,2.0,88828523353600.0,0.0039129119137,2.78193391732e-13,0.125210084034,0.250006184017,0.125,111
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,101509028.518,983708.668473,101509028.518,102204615.589,100813441.448,100883000.155,102135056.882,2.0,967682744429.0,0.0039129119137,2.78193391732e-13,0.125210084034,0.250006184017,0.125,116
769.0,-754.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,46530889.2675,3952574.25852,46530889.2675,49325781.3288,43735997.2061,44015486.4123,49046292.1227,2.0,15622843269100.0,0.00195644627809,2.78193391732e-13,0.125210084034,0.125002473607,0.125,121
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159690472660.0,3014500.64848,-159690472660.0,-159688341086.0,-159692604234.0,-159692391076.0,-159688554243.0,2.0,9087214159700.0,0.00782508824124,2.78193391732e-13,0.250420168067,0.124991342377,0.25,79
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159736268706.0,2845390.24766,-159736268706.0,-159734256711.0,-159738280700.0,-159738079501.0,-159734457910.0,2.0,8096245661480.0,0.0156508733536,2.78193391732e-13,0.250420168067,0.249993815983,0.25,84
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159780892396.0,555899.858277,-159780892396.0,-159780499315.0,-159781285476.0,-159781246168.0,-159780538623.0,2.0,309024652432.0,0.0156516476548,2.78193391732e-13,0.250420168067,0.250006184017,0.25,89
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159855284288.0,47539657.3393,-159855284288.0,-159821668673.0,-159888899902.0,-159885538340.0,-159825030235.0,2.0,2260019019930000.0,0.0156516476548,2.78193391732e-13,0.250420168067,0.250006184017,0.25,94
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159904933364.0,8644643.73746,-159904933364.0,-159898820677.0,-159911046050.0,-159910434781.0,-159899431946.0,2.0,74729865347700.0,0.00782578511235,2.78193391732e-13,0.250420168067,0.125002473607,0.25,99
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159919052521.0,4621.27034395,-159919052521.0,-159919049254.0,-159919055789.0,-159919055462.0,-159919049580.0,2.0,21356139.5918,0.00195627206031,2.78193391732e-13,0.125210084034,0.124991342377,0.125,1
