smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-969821210.959,195605.442739,-969868757.754,-969554952.22,-969992376.109,-969984477.992,-969591378.414,4.0,38261489229.0,0.25,0.125,113,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-979368472.105,92603.0996004,-979389905.52,-979249675.245,-979444402.135,-979443674.32,-979263263.109,4.0,8575334055.6,0.25,0.125,118,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-163.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-988828351.716,250592.316127,-988736004.687,-988654804.842,-989186592.646,-989131041.192,-988654948.079,4.0,62796508901.9,0.25,0.125,123,2.13658146151e-11,0.125012430802,0.00390663846256
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-992368194.588,204442.832595,-992302114.983,-992203196.018,-992665352.368,-992614432.713,-992214467.91,4.0,41796871799.6,0.25,0.125,107,2.13658146151e-11,0.249979281997,0.0078118525624
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-993397099.548,109381.302996,-993407070.28,-993255824.671,-993518432.961,-993505105.374,-993275134.698,4.0,11964269445.1,0.25,0.125,102,2.13658146151e-11,0.124966851195,0.00390521409984
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1001952252.17,303996.067411,-1001909444.12,-1001647051.44,-1002343068.99,-1002295675.14,-1001668760.47,4.0,92413609001.6,0.25,0.125,112,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1011638900.37,269332.621404,-1011574437.61,-1011416994.13,-1011989732.15,-1011947835.75,-1011420212.86,4.0,72540060952.2,0.25,0.125,117,2.13658146151e-11,0.250020718003,0.0078131474376
240.0,-194.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1021312346.53,150599.429662,-1021347050.49,-1021114349.8,-1021440935.33,-1021437402.87,-1021138704.64,4.0,22680188214.5,0.25,0.125,122,2.13658146151e-11,0.125012430802,0.00390663846256
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1024582440.18,182396.897718,-1024572860.89,-1024379472.89,-1024804566.07,-1024779920.96,-1024398370.42,4.0,33268628297.3,0.125,0.125,106,2.13658146151e-11,0.249979281997,0.0039059262812
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1027170461.3,130115.83552,-1027208266.88,-1026986257.67,-1027279053.78,-1027273420.36,-1027014574.44,4.0,16930130653.1,0.125,0.125,101,2.13658146151e-11,0.124966851195,0.00195260704992
240.0,-225.0,-2529.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1034507932.91,168465.540904,-1034459284.71,-1034369144.62,-1034695369.41,-1034671760.94,-1034378158.63,3.0,28380638472.1,0.125,0.125,111,2.13658146151e-11,0.250020718003,0.0039065737188
