npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-17850304.9715,330023.924895,-17850304.9715,-17616942.8162,-18083667.1267,-18060330.9112,-17640279.0318,2.0,108915791003.0,0.25000913242,84,0.015667238965,0.25,1.0563053673200001e-12,0.250666666667
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-40213084.2049,424964.231902,-40213084.2049,-39912589.1148,-40513579.2951,-40483529.786,-39942638.6238,2.0,180594598396.0,0.25000913242,70,0.00779026143228,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-46459515.806,2277.30804785,-46459515.806,-46457905.506,-46461126.106,-46460965.076,-46458066.536,2.0,5186131.9448,0.12500456621,109,0.0078336194825,0.25,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-51207392.1737,273358.986107,-51207392.1737,-51014098.1809,-51400686.1665,-51381356.7672,-51033427.5802,2.0,74725135285.5,0.12498630137,4,0.00391623744292,0.25,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-52711749.1107,682504.461633,-52711749.1107,-52229145.5777,-53194352.6437,-53146092.2904,-52277405.931,2.0,465812340149.0,0.24999086758,29,0.00783304718417,0.25,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-69466024.265,372778.069837,-69466024.265,-69202430.3639,-69729618.166,-69703258.7759,-69228789.754,2.0,138963489352.0,0.25000913242,95,0.00779026143228,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-81678037.6182,575551.420249,-81678037.6182,-81271061.306,-82085013.9304,-82044316.2992,-81311758.9373,2.0,331259437351.0,0.25000913242,54,0.0078336194825,0.25,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-93988447.971,762514.520373,-93988447.971,-93449268.7829,-94527627.1591,-94473709.2403,-93503186.7017,2.0,581428393780.0,0.12498630137,15,0.00389456158541,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-98386060.6539,289196.97449,-98386060.6539,-98181567.5121,-98590553.7957,-98570104.4815,-98202016.8263,2.0,83634890054.4,0.12500456621,120,0.00389513071614,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-105987730.531,77378.1113732,-105987730.531,-105933015.944,-106042445.118,-106036973.659,-105938487.402,2.0,5987372119.69,0.24999086758,40,0.00778969230155,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-110868943.285,872159.082521,-110868943.285,-110252233.683,-111485652.886,-111423981.926,-110313904.644,2.0,760661465223.0,0.25000913242,79,0.0078336194825,0.25,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-134839703.838,22979.9112742,-134839703.838,-134823454.587,-134855953.089,-134854328.164,-134825079.512,2.0,528076322.17,0.25000913242,65,0.00779026143228,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-139696795.945,525252.037248,-139696795.945,-139325386.667,-140068205.222,-140031064.294,-139362527.595,2.0,275889702633.0,0.12500456621,104,0.00391680974125,0.25,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-163535727.073,120716.466863,-163535727.073,-163450367.64,-163621086.505,-163612550.562,-163458903.584,2.0,14572465372.0,0.25000913242,90,0.00779026143228,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-192957219.624,103147.238385,-192957219.624,-192884283.512,-193030155.736,-193022862.124,-192891577.123,2.0,10639352786.5,0.12500456621,115,0.00389513071614,0.124972890913,1.0563053673200001e-12,0.249333333333
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-193430546.148,144578.798031,-193430546.148,-193328313.499,-193532778.796,-193522555.532,-193338536.764,2.0,20903028840.1,0.12498630137,10,0.00391538811795,0.124972890913,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-201803639.44,368836.45352,-201803639.44,-201542832.682,-202064446.197,-202038365.521,-201568913.358,2.0,136040329445.0,0.24999086758,35,0.00783134841011,0.124972890913,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-231056292.302,171611.325989,-231056292.302,-230934944.77,-231177639.834,-231165505.081,-230947079.523,2.0,29450447207.7,0.25000913242,60,0.00783192058432,0.124972890913,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-260008262.693,163276.275174,-260008262.693,-259892808.932,-260123716.455,-260112171.079,-259904354.308,2.0,26659142034.6,0.25000913242,85,0.00783192058432,0.124972890913,1.0563053673200001e-12,0.250666666667
522.0,-428.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-288539340.982,210014.683906,-288539340.982,-288390838.175,-288687843.789,-288672993.509,-288405688.456,2.0,44106167456.0,0.12500456621,110,0.00391596029216,0.124972890913,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-292271844.802,235448.507053,-292271844.802,-292105357.566,-292438332.038,-292421683.314,-292122006.289,2.0,55435999473.4,0.12498630137,5,0.00195769405898,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-297585706.159,20191.6919766,-297585706.159,-297571428.476,-297599983.841,-297598556.073,-297572856.245,2.0,407704424.877,0.24999086758,30,0.00391567420506,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-326285316.947,180466.771667,-326285316.947,-326157707.669,-326412926.225,-326400165.298,-326170468.597,2.0,32568255675.9,0.25000913242,55,0.00391596029216,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-522.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-355650788.351,216700.975867,-355650788.351,-355497557.621,-355804019.08,-355788696.007,-355512880.694,2.0,46959312941.8,0.25000913242,80,0.00391596029216,0.124972890913,1.0563053673200001e-12,0.125333333333
